C:\Users\RaDeCC\Desktop\FRidge\3-saps009-3200B-180220-loki.txt
Start Time 2/20/2018  11:05:08
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.200  0000002  000.699  0000007
0020.02  000.000  0000000  000.200  0000002  000.749  0000008
0030.03  000.000  0000000  000.133  0000000  000.599  0000003
0040.03  000.000  0000000  000.150  0000002  000.624  0000007
0050.05  000.000  0000000  000.140  0000001  000.639  0000007
0060.07  000.000  0000000  000.150  0000002  000.633  0000006
0070.07  000.000  0000000  000.143  0000001  000.628  0000006
0080.08  000.000  0000000  000.137  0000001  000.624  0000006
0090.10  000.000  0000000  000.122  0000000  000.622  0000006
0100.10  000.000  0000000  000.110  0000000  000.599  0000004
0110.12  000.000  0000000  000.109  0000001  000.608  0000007
0120.12  000.000  0000000  000.117  0000002  000.616  0000007
0130.13  000.000  0000000  000.108  0000000  000.607  0000005
0140.15  000.000  0000000  000.100  0000000  000.628  0000009
0150.15  000.000  0000000  000.107  0000002  000.626  0000006
0160.17  000.000  0000000  000.106  0000001  000.631  0000007
0170.18  000.000  0000000  000.100  0000000  000.629  0000006
0180.18  000.000  0000000  000.100  0000001  000.633  0000007
0190.20  000.000  0000000  000.100  0000001  000.636  0000007
0200.22  000.000  0000000  000.095  0000000  000.639  0000007
0210.22  000.000  0000000  000.095  0000001  000.633  0000005
0220.23  000.000  0000000  000.100  0000002  000.658  0000012
0230.23  000.000  0000000  000.100  0000001  000.647  0000004
0240.25  000.000  0000000  000.096  0000000  000.645  0000006
0250.25  000.000  0000000  000.096  0000001  000.647  0000007
0260.27  000.000  0000000  000.092  0000000  000.634  0000003
0270.28  000.000  0000000  000.089  0000000  000.659  0000013
0280.28  000.000  0000000  000.089  0000001  000.660  0000007
0290.30  000.000  0000000  000.086  0000000  000.668  0000009
0300.30  000.000  0000000  000.093  0000003  000.696  0000015
0310.32  000.000  0000000  000.093  0000001  000.703  0000009
0320.33  000.000  0000000  000.094  0000001  000.730  0000016
0330.35  000.000  0000000  000.091  0000000  000.723  0000005
0340.35  000.000  0000000  000.088  0000000  000.717  0000005
0350.37  000.000  0000000  000.088  0000001  000.736  0000014
0360.38  000.000  0000000  000.086  0000000  000.749  0000012
0370.40  000.000  0000000  000.086  0000001  000.756  0000010
0380.38  000.000  0000000  000.084  0000000  000.757  0000008
0390.42  000.000  0000000  000.085  0000001  000.758  0000008
0400.43  000.000  0000000  000.085  0000001  000.767  0000011
0410.43  000.000  0000000  000.083  0000000  000.753  0000002
0420.43  000.000  0000000  000.083  0000001  000.766  0000013
0430.45  000.000  0000000  000.081  0000000  000.762  0000006
0440.47  000.002  0000001  000.082  0000001  000.779  0000015
0450.48  000.004  0000001  000.082  0000001  000.810  0000022
0460.47  000.004  0000000  000.085  0000002  000.817  0000011
0470.48  000.004  0000000  000.083  0000000  000.812  0000006
0480.50  000.004  0000000  000.083  0000001  000.822  0000013
0490.50  000.004  0000000  000.084  0000001  000.838  0000016
0500.52  000.004  0000000  000.086  0000002  000.855  0000017
0510.53  000.004  0000000  000.084  0000000  000.870  0000016
0520.55  000.004  0000000  000.085  0000001  000.886  0000017
0530.55  000.004  0000000  000.085  0000001  000.895  0000014
0540.57  000.004  0000000  000.083  0000000  000.888  0000005
0550.58  000.004  0000000  000.084  0000001  000.895  0000013
0560.58  000.004  0000000  000.084  0000001  000.901  0000012
0570.60  000.004  0000000  000.082  0000000  000.897  0000007
0580.60  000.003  0000000  000.081  0000000  000.901  0000011
0590.62  000.003  0000000  000.081  0000001  000.906  0000012
0600.63  000.003  0000000  000.083  0000002  000.909  0000011
Group 3 Stopped 2/20/2018  21:07:51
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0602.72  000.003  000002  000.083  000050  000.919  000554
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

