C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3600A-180513-thor.txt
Start Time 5/13/2018  20:47:31
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.500  0000005  002.000  0000020
0020.02  000.250  0000004  000.350  0000002  002.448  0000029
0030.03  000.200  0000001  000.366  0000004  002.297  0000020
0040.03  000.150  0000000  000.400  0000005  002.348  0000025
0050.05  000.160  0000002  000.420  0000005  002.438  0000028
0060.07  000.133  0000000  000.416  0000004  002.397  0000022
0070.07  000.128  0000001  000.414  0000004  002.512  0000032
0080.08  000.125  0000001  000.412  0000004  002.472  0000022
0090.10  000.111  0000000  000.411  0000004  002.508  0000028
0100.10  000.120  0000002  000.410  0000004  002.527  0000027
0110.12  000.109  0000000  000.463  0000010  002.634  0000037
0120.12  000.100  0000000  000.458  0000004  002.656  0000029
0130.13  000.108  0000002  000.484  0000008  002.774  0000042
0140.13  000.100  0000000  000.492  0000006  002.804  0000032
0150.15  000.093  0000000  000.486  0000004  002.824  0000031
0160.17  000.100  0000002  000.487  0000005  002.916  0000043
0170.18  000.094  0000000  000.511  0000009  003.026  0000048
0180.18  000.089  0000000  000.494  0000002  003.052  0000035
0190.20  000.089  0000001  000.473  0000001  003.039  0000028
0200.20  000.085  0000000  000.490  0000008  003.142  0000051
0210.22  000.086  0000001  000.490  0000005  003.201  0000044
0220.23  000.086  0000001  000.481  0000003  003.237  0000040
0230.23  000.083  0000000  000.482  0000005  003.275  0000041
0240.23  000.079  0000000  000.483  0000005  003.288  0000036
0250.25  000.076  0000000  000.472  0000002  003.325  0000042
0260.27  000.077  0000001  000.496  0000011  003.427  0000060
0270.27  000.074  0000000  000.500  0000006  003.493  0000052
0280.28  000.078  0000002  000.510  0000008  003.568  0000056
0290.30  000.076  0000000  000.520  0000008  003.631  0000054
0300.30  000.077  0000001  000.516  0000004  003.640  0000039
0310.32  000.077  0000001  000.528  0000009  003.696  0000054
0320.33  000.075  0000000  000.534  0000007  003.712  0000042
0330.35  000.076  0000001  000.551  0000011  003.769  0000056
0340.35  000.076  0000001  000.564  0000010  003.840  0000062
0350.35  000.080  0000002  000.597  0000017  003.973  0000085
0360.38  000.080  0000001  000.599  0000007  004.046  0000066
0370.38  000.078  0000000  000.599  0000006  004.090  0000057
0380.40  000.076  0000000  000.602  0000007  004.130  0000056
0390.40  000.082  0000003  000.589  0000001  004.183  0000062
0400.42  000.080  0000000  000.592  0000007  004.228  0000060
0410.42  000.078  0000000  000.597  0000008  004.249  0000051
0420.43  000.078  0000001  000.611  0000012  004.336  0000079
0430.45  000.079  0000001  000.618  0000009  004.393  0000068
0440.45  000.079  0000001  000.622  0000008  004.480  0000082
0450.47  000.080  0000001  000.613  0000002  004.486  0000048
0460.48  000.080  0000001  000.606  0000003  004.515  0000058
0470.48  000.083  0000002  000.621  0000013  004.574  0000073
0480.50  000.081  0000000  000.626  0000009  004.604  0000060
0490.50  000.084  0000002  000.634  0000010  004.650  0000069
0500.52  000.082  0000000  000.643  0000011  004.709  0000076
0510.53  000.082  0000001  000.650  0000010  004.770  0000078
0520.53  000.081  0000000  000.645  0000004  004.793  0000060
0530.55  000.079  0000000  000.652  0000010  004.842  0000074
0540.57  000.078  0000000  000.664  0000013  004.893  0000076
0550.57  000.078  0000001  000.667  0000008  004.955  0000083
0560.58  000.077  0000000  000.673  0000010  005.018  0000085
0570.58  000.079  0000002  000.668  0000004  005.026  0000055
0580.60  000.078  0000000  000.668  0000007  005.069  0000075
0590.62  000.078  0000001  000.667  0000006  005.100  0000069
Group 5 Stopped 5/14/2018  06:42:50
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0595.32  000.077  000046  000.669  000398  005.112  003043
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

