C:\Users\Desktop\Expedition_1\Standards and Calibration\1-acstd-171220-detector1.txt
Start Time 12/20/2017  20:41:48
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.000  0000000  000.300  0000003
0020.02  000.000  0000000  000.000  0000000  000.400  0000005
0030.02  000.000  0000000  000.000  0000000  000.300  0000001
0040.03  000.000  0000000  000.000  0000000  000.375  0000006
0050.03  000.000  0000000  000.000  0000000  000.340  0000002
0060.05  000.000  0000000  000.000  0000000  000.300  0000001
0070.07  000.000  0000000  000.000  0000000  000.300  0000003
0080.07  000.000  0000000  000.000  0000000  000.375  0000009
0090.08  000.000  0000000  000.000  0000000  000.377  0000004
0100.10  000.000  0000000  000.000  0000000  000.390  0000005
0110.10  000.000  0000000  000.009  0000001  000.418  0000007
0120.12  000.000  0000000  000.008  0000000  000.391  0000001
0130.13  000.000  0000000  000.008  0000000  000.377  0000002
0140.15  000.000  0000000  000.007  0000000  000.357  0000001
0150.15  000.000  0000000  000.007  0000000  000.353  0000003
0160.17  000.000  0000000  000.012  0000001  000.375  0000007
0170.17  000.000  0000000  000.012  0000000  000.364  0000002
0180.18  000.000  0000000  000.011  0000000  000.372  0000005
0190.20  000.000  0000000  000.011  0000000  000.373  0000004
0200.20  000.000  0000000  000.010  0000000  000.365  0000002
0210.22  000.000  0000000  000.010  0000000  000.362  0000003
0220.23  000.000  0000000  000.009  0000000  000.354  0000002
0230.23  000.000  0000000  000.009  0000000  000.352  0000003
0240.25  000.000  0000000  000.008  0000000  000.362  0000006
0250.25  000.000  0000000  000.008  0000000  000.360  0000003
0260.27  000.000  0000000  000.008  0000000  000.361  0000004
0270.27  000.000  0000000  000.007  0000000  000.370  0000006
0280.28  000.000  0000000  000.007  0000000  000.375  0000005
0290.30  000.000  0000000  000.007  0000000  000.369  0000002
0300.32  000.000  0000000  000.010  0000001  000.366  0000003
0310.32  000.000  0000000  000.010  0000000  000.358  0000001
0320.33  000.000  0000000  000.009  0000000  000.365  0000006
0330.35  000.000  0000000  000.012  0000001  000.372  0000006
0340.35  000.000  0000000  000.012  0000000  000.373  0000004
0350.35  000.000  0000000  000.011  0000000  000.374  0000004
0360.37  000.000  0000000  000.011  0000000  000.377  0000005
0370.38  000.000  0000000  000.011  0000000  000.378  0000004
0380.40  000.000  0000000  000.011  0000000  000.386  0000007
0390.40  000.000  0000000  000.010  0000000  000.387  0000004
0400.42  000.000  0000000  000.010  0000000  000.395  0000007
0410.43  000.000  0000000  000.010  0000000  000.397  0000005
0420.43  000.000  0000000  000.010  0000000  000.392  0000002
0430.45  000.000  0000000  000.009  0000000  000.395  0000005
0440.45  000.000  0000000  000.011  0000001  000.395  0000004
0450.47  000.000  0000000  000.011  0000000  000.400  0000006
0460.48  000.000  0000000  000.011  0000000  000.408  0000008
0470.48  000.000  0000000  000.011  0000000  000.408  0000004
0480.50  000.000  0000000  000.010  0000000  000.402  0000001
0490.50  000.000  0000000  000.010  0000000  000.402  0000004
0500.52  000.000  0000000  000.010  0000000  000.400  0000003
0510.52  000.000  0000000  000.010  0000000  000.400  0000004
0520.53  000.000  0000000  000.012  0000001  000.403  0000006
0530.55  000.000  0000000  000.011  0000000  000.405  0000005
0540.57  000.000  0000000  000.011  0000000  000.409  0000006
0550.57  000.000  0000000  000.011  0000000  000.409  0000004
0560.58  000.000  0000000  000.011  0000000  000.412  0000006
0570.58  000.000  0000000  000.011  0000000  000.410  0000003
0580.60  000.000  0000000  000.010  0000000  000.412  0000005
0590.62  000.000  0000000  000.012  0000001  000.411  0000004
0600.62  000.000  0000000  000.012  0000000  000.406  0000001
0610.63  000.000  0000000  000.011  0000000  000.404  0000003
0620.65  000.000  0000000  000.011  0000000  000.403  0000003
0630.67  000.000  0000000  000.011  0000000  000.409  0000008
0640.67  000.000  0000000  000.011  0000000  000.414  0000007
0650.67  000.000  0000000  000.011  0000000  000.410  0000002
0660.68  000.000  0000000  000.011  0000000  000.412  0000005
0670.68  000.000  0000000  000.010  0000000  000.412  0000004
0680.70  000.000  0000000  000.010  0000000  000.410  0000003
0690.72  000.000  0000000  000.010  0000000  000.414  0000007
0700.73  000.000  0000000  000.010  0000000  000.411  0000002
0710.73  000.000  0000000  000.010  0000000  000.407  0000001
0720.73  000.000  0000000  000.010  0000000  000.405  0000003
