C:\Program Files\RaDeCC\Data\ICY-LAB\Stds\green-blank-170806
Start Time 8/6/2017  15:57:31
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.000  0000000  001.300  0000013
0020.00  000.000  0000000  000.000  0000000  001.500  0000017
0030.00  000.000  0000000  000.000  0000000  001.600  0000018
0040.00  000.025  0000001  000.000  0000000  001.575  0000015
0050.00  000.020  0000000  000.000  0000000  001.340  0000004
0060.00  000.017  0000000  000.000  0000000  001.333  0000013
0070.00  000.014  0000000  000.000  0000000  001.271  0000009
0080.00  000.013  0000000  000.000  0000000  001.200  0000007
0090.00  000.011  0000000  000.011  0000001  001.233  0000015
0100.00  000.010  0000000  000.010  0000000  001.180  0000007
0110.00  000.009  0000000  000.009  0000000  001.145  0000008
0120.00  000.008  0000000  000.008  0000000  001.175  0000015
0130.00  000.008  0000000  000.008  0000000  001.200  0000015
0140.00  000.007  0000000  000.014  0000001  001.214  0000014
0150.00  000.007  0000000  000.013  0000000  001.200  0000010
0160.00  000.006  0000000  000.013  0000000  001.231  0000017
0170.00  000.006  0000000  000.012  0000000  001.235  0000013
0180.00  000.006  0000000  000.017  0000001  001.289  0000022
0190.00  000.005  0000000  000.016  0000000  001.279  0000011
0200.00  000.005  0000000  000.015  0000000  001.310  0000019
0210.00  000.005  0000000  000.014  0000000  001.319  0000015
0220.00  000.005  0000000  000.014  0000000  001.314  0000012
0230.00  000.004  0000000  000.013  0000000  001.313  0000013
0240.00  000.004  0000000  000.017  0000001  001.308  0000012
0250.00  000.004  0000000  000.016  0000000  001.336  0000020
0260.00  000.004  0000000  000.019  0000001  001.338  0000014
0270.00  000.004  0000000  000.019  0000000  001.356  0000018
0280.00  000.004  0000000  000.021  0000001  001.343  0000010
0290.00  000.003  0000000  000.021  0000000  001.345  0000014
0300.00  000.003  0000000  000.023  0000001  001.347  0000014
0310.00  000.003  0000000  000.026  0000001  001.339  0000011
0320.00  000.003  0000000  000.025  0000000  001.334  0000012
0330.00  000.003  0000000  000.024  0000000  001.333  0000013
0340.00  000.003  0000000  000.024  0000000  001.335  0000014
0350.00  000.003  0000000  000.023  0000000  001.326  0000010
0360.00  000.003  0000000  000.022  0000000  001.303  0000005
0370.00  000.003  0000000  000.022  0000000  001.303  0000013
0380.00  000.003  0000000  000.021  0000000  001.295  0000010
0390.00  000.003  0000000  000.021  0000000  001.285  0000009
0400.00  000.003  0000000  000.020  0000000  001.273  0000008
0410.00  000.002  0000000  000.020  0000000  001.266  0000010
0420.00  000.002  0000000  000.019  0000000  001.252  0000007
0430.00  000.002  0000000  000.019  0000000  001.249  0000011
Group 4 Stopped 8/6/2017  23:11:42

Count Summary
C:\Program Files\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0434.18  000.002  000001  000.018  000008  001.246  000541
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  22Feb02  219= Uset  220= Uset  Tot= Uset

