C:\Users\RaDeCC\Desktop\FRidge\5-saps009-3800a-190812-capn.txt
Start Time 8/12/2019  18:19:53
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.600  0000006  001.600  0000016
0020.02  000.050  0000000  000.550  0000005  001.499  0000014
0030.02  000.067  0000001  000.433  0000002  001.266  0000008
0040.03  000.050  0000000  000.425  0000004  001.249  0000012
0050.03  000.040  0000000  000.340  0000000  001.139  0000007
0060.05  000.050  0000001  000.333  0000003  001.116  0000010
0070.05  000.043  0000000  000.371  0000006  001.213  0000018
0080.07  000.037  0000000  000.362  0000003  001.174  0000009
0090.08  000.044  0000001  000.366  0000004  001.265  0000020
0100.08  000.040  0000000  000.340  0000001  001.249  0000011
0110.10  000.036  0000000  000.345  0000004  001.281  0000016
0120.12  000.033  0000000  000.350  0000004  001.340  0000020
0130.12  000.031  0000000  000.330  0000001  001.291  0000007
0140.13  000.029  0000000  000.335  0000004  001.327  0000018
0150.13  000.027  0000000  000.326  0000002  001.365  0000019
0160.15  000.031  0000001  000.318  0000002  001.417  0000022
0170.15  000.035  0000001  000.306  0000001  001.434  0000017
0180.17  000.033  0000000  000.311  0000004  001.521  0000030
0190.18  000.032  0000000  000.315  0000004  001.562  0000023
0200.18  000.035  0000001  000.305  0000001  001.564  0000016
0210.20  000.038  0000001  000.300  0000002  001.579  0000019
0220.22  000.045  0000002  000.295  0000002  001.612  0000023
0230.22  000.043  0000000  000.282  0000000  001.633  0000021
0240.23  000.042  0000000  000.279  0000002  001.657  0000022
0250.25  000.040  0000000  000.280  0000003  001.690  0000025
0260.25  000.038  0000000  000.280  0000003  001.718  0000024
0270.25  000.037  0000000  000.274  0000001  001.761  0000029
0280.27  000.036  0000000  000.275  0000003  001.795  0000027
0290.28  000.034  0000000  000.279  0000004  001.812  0000023
0300.28  000.033  0000000  000.286  0000005  001.838  0000026
0310.30  000.035  0000001  000.290  0000004  001.872  0000029
0320.32  000.034  0000000  000.290  0000003  001.920  0000034
0330.32  000.033  0000000  000.291  0000003  001.965  0000034
0340.33  000.035  0000001  000.291  0000003  002.004  0000033
0350.35  000.034  0000000  000.294  0000004  002.061  0000040
0360.35  000.033  0000000  000.300  0000005  002.095  0000033
0370.35  000.032  0000000  000.305  0000005  002.128  0000033
0380.37  000.034  0000001  000.308  0000004  002.177  0000040
0390.38  000.036  0000001  000.310  0000004  002.229  0000042
0400.38  000.035  0000000  000.312  0000004  002.260  0000035
0410.40  000.034  0000000  000.309  0000002  002.288  0000034
0420.42  000.033  0000000  000.304  0000001  002.317  0000035
0430.42  000.033  0000000  000.304  0000003  002.344  0000035
0440.43  000.032  0000000  000.307  0000004  002.414  0000054
0450.45  000.031  0000000  000.304  0000002  002.431  0000032
0460.45  000.030  0000000  000.313  0000007  002.491  0000052
0470.45  000.032  0000001  000.312  0000003  002.532  0000044
0480.47  000.031  0000000  000.308  0000001  002.570  0000044
0490.48  000.031  0000000  000.314  0000006  002.616  0000048
0500.48  000.030  0000000  000.318  0000005  002.645  0000041
0510.50  000.031  0000001  000.327  0000008  002.705  0000057
0520.52  000.031  0000000  000.330  0000005  002.718  0000034
0530.52  000.030  0000000  000.332  0000004  002.763  0000051
0540.53  000.031  0000001  000.331  0000003  002.819  0000058
0550.55  000.033  0000001  000.334  0000005  002.861  0000051
0560.55  000.032  0000000  000.337  0000005  002.885  0000042
0570.55  000.032  0000000  000.347  0000009  002.932  0000056
0580.58  000.031  0000000  000.350  0000005  002.983  0000059
0590.58  000.032  0000001  000.352  0000005  003.026  0000055
