C:\Users\RaDeCC\Desktop\FRidge\5-saps009-4100A-190815-loki.txt
Start Time 8/15/2019  21:42:42
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.200  0000002  000.600  0000006
0020.02  000.050  0000001  000.300  0000004  001.049  0000015
0030.03  000.067  0000001  000.233  0000001  000.966  0000008
0040.03  000.050  0000000  000.225  0000002  000.949  0000009
0050.05  000.040  0000000  000.200  0000001  000.999  0000012
0060.07  000.033  0000000  000.200  0000002  001.115  0000017
0070.07  000.029  0000000  000.186  0000001  001.070  0000008
0080.08  000.037  0000001  000.187  0000002  001.161  0000018
0090.08  000.044  0000001  000.178  0000001  001.210  0000016
0100.10  000.040  0000000  000.170  0000001  001.199  0000011
0110.10  000.045  0000001  000.163  0000001  001.226  0000015
0120.12  000.042  0000000  000.167  0000002  001.215  0000011
0130.13  000.038  0000000  000.169  0000002  001.253  0000017
0140.13  000.043  0000001  000.178  0000003  001.277  0000016
0150.15  000.040  0000000  000.173  0000001  001.332  0000021
0160.15  000.044  0000001  000.175  0000002  001.324  0000012
0170.17  000.041  0000000  000.165  0000000  001.316  0000012
0180.18  000.039  0000000  000.161  0000001  001.282  0000007
0190.18  000.037  0000000  000.174  0000004  001.336  0000023
0200.20  000.045  0000002  000.175  0000002  001.354  0000017
0210.22  000.043  0000000  000.171  0000001  001.365  0000016
0220.22  000.041  0000000  000.177  0000003  001.385  0000018
0230.23  000.039  0000000  000.174  0000001  001.399  0000017
0240.23  000.037  0000000  000.171  0000001  001.424  0000020
0250.25  000.036  0000000  000.184  0000005  001.487  0000030
0260.25  000.035  0000000  000.192  0000004  001.541  0000029
0270.27  000.033  0000000  000.196  0000003  001.573  0000024
0280.28  000.032  0000000  000.211  0000006  001.595  0000022
0290.28  000.034  0000001  000.210  0000002  001.612  0000021
0300.30  000.033  0000000  000.220  0000005  001.668  0000033
0310.32  000.032  0000000  000.222  0000003  001.689  0000023
0320.32  000.031  0000000  000.222  0000002  001.717  0000026
0330.33  000.033  0000001  000.221  0000002  001.747  0000027
0340.35  000.032  0000000  000.220  0000002  001.742  0000016
0350.35  000.031  0000000  000.217  0000001  001.764  0000025
0360.35  000.031  0000000  000.211  0000000  001.771  0000020
0370.37  000.030  0000000  000.224  0000007  001.809  0000032
0380.38  000.029  0000000  000.231  0000005  001.838  0000029
0390.38  000.028  0000000  000.238  0000005  001.878  0000034
0400.40  000.027  0000000  000.232  0000000  001.871  0000016
0410.42  000.027  0000000  000.229  0000001  001.874  0000020
0420.42  000.029  0000001  000.233  0000004  001.903  0000031
0430.42  000.028  0000000  000.232  0000002  001.891  0000014
0440.45  000.027  0000000  000.236  0000004  001.921  0000032
0450.45  000.027  0000000  000.235  0000002  001.945  0000030
0460.45  000.028  0000001  000.239  0000004  001.963  0000028
0470.48  000.028  0000000  000.240  0000003  001.981  0000028
0480.48  000.027  0000000  000.241  0000003  002.006  0000032
0490.48  000.027  0000000  000.239  0000001  002.020  0000027
0500.50  000.026  0000000  000.238  0000002  002.036  0000028
0510.52  000.027  0000001  000.237  0000002  002.063  0000034
0520.52  000.027  0000000  000.234  0000001  002.071  0000025
0530.52  000.030  0000002  000.232  0000001  002.096  0000034
0540.55  000.030  0000000  000.233  0000003  002.139  0000044
0550.55  000.029  0000000  000.229  0000000  002.147  0000026
0560.55  000.029  0000000  000.225  0000000  002.159  0000028
0570.58  000.028  0000000  000.228  0000004  002.177  0000032
0580.58  000.028  0000000  000.229  0000003  002.206  0000039
0590.58  000.027  0000000  000.234  0000005  002.220  0000030
0600.62  000.027  0000000  000.236  0000004  002.236  0000032
0610.62  000.026  0000000  000.236  0000002  002.258  0000036
0620.62  000.026  0000000  000.242  0000006  002.278  0000035
0630.62  000.025  0000000  000.243  0000003  002.317  0000047
