C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3800B-180514-iron.txt
Start Time 5/14/2018  08:53:17
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.100  0000001  001.298  0000013
0020.02  000.000  0000000  000.150  0000002  001.649  0000020
0030.02  000.000  0000000  000.167  0000002  001.766  0000020
0040.03  000.025  0000001  000.225  0000004  001.873  0000022
0050.05  000.040  0000001  000.240  0000003  001.998  0000025
0060.05  000.033  0000000  000.300  0000006  002.165  0000030
0070.07  000.029  0000000  000.300  0000003  002.226  0000026
0080.08  000.037  0000001  000.312  0000004  002.235  0000023
0090.08  000.033  0000000  000.333  0000005  002.242  0000023
0100.10  000.040  0000001  000.320  0000002  002.318  0000030
0110.10  000.036  0000000  000.336  0000005  002.398  0000032
0120.12  000.033  0000000  000.341  0000004  002.456  0000031
0130.13  000.038  0000001  000.330  0000002  002.436  0000022
0140.13  000.036  0000000  000.335  0000004  002.490  0000032
0150.15  000.040  0000001  000.333  0000003  002.531  0000031
0160.17  000.050  0000002  000.318  0000001  002.560  0000030
0170.18  000.053  0000001  000.323  0000004  002.615  0000035
0180.18  000.050  0000000  000.311  0000001  002.653  0000033
0190.20  000.047  0000000  000.300  0000001  002.692  0000034
0200.20  000.050  0000001  000.295  0000002  002.737  0000036
0210.22  000.048  0000000  000.295  0000003  002.735  0000027
0220.22  000.045  0000000  000.300  0000004  002.802  0000042
0230.23  000.052  0000002  000.308  0000005  002.832  0000035
0240.25  000.050  0000000  000.308  0000003  002.855  0000034
0250.25  000.048  0000000  000.316  0000005  002.913  0000043
0260.27  000.046  0000000  000.327  0000006  002.955  0000040
0270.27  000.044  0000000  000.340  0000007  003.016  0000046
0280.28  000.046  0000001  000.346  0000005  003.086  0000050
0290.30  000.045  0000000  000.351  0000005  003.148  0000049
0300.32  000.053  0000003  000.360  0000006  003.173  0000039
0310.32  000.052  0000000  000.361  0000004  003.190  0000037
0320.33  000.050  0000000  000.359  0000003  003.247  0000050
0330.33  000.054  0000002  000.366  0000006  003.266  0000039
0340.35  000.056  0000001  000.376  0000007  003.305  0000046
0350.35  000.057  0000001  000.377  0000004  003.322  0000039
0360.37  000.058  0000001  000.377  0000004  003.344  0000041
0370.38  000.057  0000000  000.370  0000001  003.383  0000048
0380.38  000.060  0000002  000.368  0000003  003.425  0000050
0390.40  000.059  0000000  000.369  0000004  003.491  0000060
0400.40  000.060  0000001  000.372  0000005  003.539  0000054
0410.43  000.058  0000000  000.378  0000006  003.574  0000050
0420.43  000.057  0000000  000.381  0000005  003.599  0000046
0430.43  000.056  0000000  000.381  0000004  003.634  0000051
0440.45  000.054  0000000  000.386  0000006  003.680  0000057
0450.45  000.053  0000000  000.389  0000005  003.730  0000059
0460.47  000.052  0000000  000.387  0000003  003.746  0000045
0470.48  000.053  0000001  000.389  0000005  003.766  0000047
0480.48  000.052  0000000  000.389  0000004  003.796  0000052
0490.52  000.053  0000001  000.389  0000004  003.812  0000046
0500.52  000.054  0000001  000.392  0000005  003.844  0000054
0510.53  000.055  0000001  000.403  0000010  003.923  0000079
0520.53  000.056  0000001  000.421  0000013  004.002  0000080
0530.55  000.057  0000001  000.432  0000010  004.051  0000066
0540.57  000.055  0000000  000.427  0000002  004.075  0000054
0550.57  000.054  0000000  000.429  0000005  004.105  0000057
0560.58  000.054  0000000  000.433  0000007  004.133  0000057
0570.58  000.053  0000000  000.433  0000004  004.152  0000052
0580.60  000.052  0000000  000.436  0000006  004.185  0000061
0590.60  000.051  0000000  000.435  0000004  004.211  0000057
Group 6 Stopped 5/14/2018  18:45:02
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0591.75  000.051  000030  000.434  000257  004.213  002493
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

