,Station,Latitude,Longitude,sample_name,Weather,Date,Event No.,Sampler_used,Sampling_Start_Time,Sampling_End_Time,Sample_Depth,Volume_sampled,Volume_error,224xs,224xs_err,224xs_t0,224xs_t0_err,Fraction_of_original_224_remaining,228Th,228Th_err,223xs,223xs_err,223xs_t0,223xs_t0_err,Fraction_of_original_223_remaining,227Ac,227Ac_err,223xs_thstdonly,223xs_thstdonly_err,223xs_thstdonly_t0,223xs_thstdonly_t0_err,Fraction_of_original_223_thstdonly_remaining,227Ac_thstdonly,227Ac_thstdonly_err,226Ra,226Ra_err,228Ra,228Ra_err,xs_calc_errors,read_errors
0,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,300,900,1,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,95.55657412218203,2.3858060528508336,0.8478052352902854,0.13064603143734776,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'Multiple 4th and 5th reads averaged']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available', 'Read4': ['Err223_CR10'], 'Read5': ['Err223_CR10']}"
1,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,95.55657412218203,2.3858060528508336,0.8478052352902854,0.13064603143734776,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'Multiple 4th and 5th reads averaged']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available', 'Read4': ['Err223_CR10'], 'Read5': ['Err223_CR10']}"
2,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
3,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
4,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,14:45:00,16:55:00,3400a,763,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
5,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,14:45:00,16:55:00,3400b,763,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
6,2,43 21.30,15 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler003,14:45:00,16:55:00,3600a,859,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
7,2,43 21.30,15 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler003,14:45:00,16:55:00,3600b,0,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
8,2,43 21.30,15 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler003,14:45:00,16:55:00,3600filt,0,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
9,2,44 21.30,16 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler004,14:45:00,16:55:00,3800a,933,5,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.0,-999,-999,-999,-999.0,-999.0,(228Ra) Required reads not available,(228Ra) Required reads not available,"['(224xs, 228Th) Required reads not available', '(223xs,227Ac) Required reads not available', '(223xs_thstdonly,227Ac_thstdonly) Required reads not available', 'No_226_Value calculated', 'No_226_err_Value calculated']","{'(224xs, 228Th)': 'Required reads not available', '(223xs,227Ac)': 'Required reads not available', '(223xs_thstdonly, 227Ac_thstdonly)': 'Required reads not available'}"
