C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-4100B-180118-loki.txt
Start Time 1/18/2018  17:54:38
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  001.200  0000012  001.000  0000010  006.900  0000069
0020.00  001.650  0000021  001.150  0000013  007.100  0000073
0030.02  001.433  0000010  001.099  0000010  006.830  0000063
0040.03  001.449  0000015  001.099  0000011  006.819  0000068
0050.03  001.439  0000014  001.019  0000007  006.576  0000056
0060.03  001.416  0000013  000.949  0000006  006.513  0000062
0070.05  001.556  0000024  000.956  0000010  006.924  0000094
0080.07  001.524  0000013  000.912  0000006  006.807  0000060
0090.08  001.499  0000013  000.921  0000010  006.860  0000073
0100.08  001.539  0000019  000.899  0000007  006.984  0000081
0110.10  001.490  0000010  000.872  0000006  006.866  0000057
0120.10  001.499  0000016  000.883  0000010  006.919  0000075
0130.12  001.491  0000014  000.838  0000003  006.963  0000075
0140.13  001.470  0000012  000.828  0000007  006.958  0000069
0150.15  001.459  0000013  000.866  0000014  007.020  0000079
0160.15  001.486  0000019  000.868  0000009  007.118  0000086
0170.17  001.522  0000021  000.887  0000012  007.269  0000097
0180.17  001.576  0000025  000.960  0000022  007.560  0000125
0190.18  001.614  0000023  001.004  0000018  007.761  0000114
0200.18  001.634  0000020  001.014  0000012  007.848  0000095
0210.22  001.651  0000020  001.008  0000009  007.939  0000098
0220.23  001.635  0000013  001.035  0000016  008.010  0000095
0230.23  001.633  0000016  001.082  0000021  008.135  0000109
0240.25  001.640  0000018  001.078  0000010  008.175  0000091
0250.27  001.670  0000024  001.103  0000017  008.279  0000108
0260.27  001.648  0000011  001.122  0000016  008.280  0000083
0270.27  001.672  0000023  001.143  0000017  008.432  0000124
0280.28  001.673  0000017  001.156  0000015  008.491  0000101
0290.28  001.671  0000016  001.154  0000011  008.547  0000101
0300.30  001.712  0000029  001.152  0000011  008.678  0000125
0310.32  001.721  0000020  001.163  0000015  008.749  0000109
0320.32  001.701  0000011  001.177  0000016  008.798  0000103
0330.33  001.698  0000016  001.214  0000024  008.885  0000117
0340.35  001.698  0000017  001.213  0000012  008.935  0000106
0350.35  001.701  0000018  001.219  0000014  008.965  0000100
0360.37  001.707  0000019  001.215  0000011  009.010  0000106
0370.38  001.712  0000019  001.226  0000016  009.066  0000111
0380.38  001.704  0000014  001.217  0000009  009.070  0000092
0390.40  001.703  0000017  001.245  0000023  009.134  0000116
0400.40  001.701  0000016  001.239  0000010  009.183  0000111
0410.42  001.718  0000024  001.265  0000023  009.295  0000138
0420.43  001.715  0000016  001.275  0000017  009.357  0000119
0430.45  001.714  0000017  001.289  0000019  009.423  0000122
0440.45  001.714  0000017  001.305  0000020  009.490  0000124
0450.45  001.707  0000014  001.312  0000016  009.526  0000111
0460.47  001.713  0000020  001.312  0000013  009.595  0000127
0470.48  001.703  0000012  001.335  0000024  009.699  0000145
0480.50  001.709  0000020  001.357  0000024  009.800  0000146
0490.52  001.721  0000023  001.382  0000026  009.892  0000143
0500.52  001.734  0000024  001.381  0000013  009.938  0000122
0510.53  001.733  0000017  001.379  0000013  009.995  0000129
0520.55  001.727  0000014  001.381  0000015  010.039  0000123
0530.55  001.713  0000010  001.391  0000019  010.082  0000123
0540.55  001.713  0000017  001.406  0000022  010.140  0000132
0550.57  001.716  0000019  001.426  0000025  010.202  0000136
0560.58  001.711  0000014  001.427  0000015  010.239  0000123
0570.60  001.717  0000021  001.441  0000022  010.321  0000149
0580.62  001.736  0000028  001.464  0000028  010.432  0000168
0590.62  001.742  0000021  001.478  0000023  010.513  0000152
0600.62  001.740  0000016  001.497  0000026  010.601  0000158
0610.63  001.744  0000020  001.520  0000029  010.684  0000157
Group 3 Stopped 1/19/2018  04:06:20
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0611.70  001.749  001070  001.520  000930  010.700  006545
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

