C:\Users\RaDeCC\Desktop\FRidge\4-saps009-4100A-180513-loki.txt
Start Time 5/13/2018  20:45:23
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.000  0000000  000.600  0000006
0020.02  000.000  0000000  000.050  0000001  000.799  0000010
0030.03  000.000  0000000  000.033  0000000  000.666  0000004
0040.03  000.000  0000000  000.075  0000002  000.749  0000010
0050.03  000.000  0000000  000.060  0000000  000.799  0000010
0060.07  000.017  0000001  000.067  0000001  000.799  0000008
0070.07  000.014  0000000  000.071  0000001  000.913  0000016
0080.07  000.012  0000000  000.100  0000003  001.024  0000018
0090.08  000.011  0000000  000.100  0000001  001.066  0000014
0100.10  000.010  0000000  000.140  0000005  001.129  0000017
0110.10  000.018  0000001  000.154  0000003  001.172  0000016
0120.12  000.025  0000001  000.158  0000002  001.224  0000018
0130.12  000.031  0000001  000.146  0000000  001.237  0000014
0140.15  000.036  0000001  000.157  0000003  001.299  0000021
0150.15  000.033  0000000  000.173  0000004  001.332  0000018
0160.15  000.031  0000000  000.169  0000001  001.318  0000011
0170.17  000.029  0000000  000.170  0000002  001.310  0000012
0180.18  000.028  0000000  000.178  0000003  001.354  0000021
0190.18  000.026  0000000  000.174  0000001  001.336  0000010
0200.20  000.030  0000001  000.180  0000003  001.384  0000023
0210.22  000.033  0000001  000.181  0000002  001.375  0000012
0220.22  000.032  0000000  000.195  0000005  001.426  0000025
0230.23  000.030  0000000  000.187  0000000  001.429  0000015
0240.25  000.029  0000000  000.196  0000004  001.486  0000028
0250.25  000.028  0000000  000.208  0000005  001.479  0000013
0260.27  000.031  0000001  000.204  0000001  001.495  0000019
0270.28  000.033  0000001  000.203  0000002  001.524  0000023
0280.28  000.032  0000000  000.211  0000004  001.541  0000020
0290.30  000.038  0000002  000.203  0000000  001.567  0000023
0300.32  000.040  0000001  000.203  0000002  001.602  0000026
0310.32  000.039  0000000  000.200  0000001  001.602  0000016
0320.33  000.037  0000000  000.197  0000001  001.617  0000021
0330.33  000.036  0000000  000.194  0000001  001.650  0000027
0340.35  000.035  0000000  000.197  0000003  001.686  0000029
0350.37  000.037  0000001  000.200  0000003  001.727  0000031
0360.37  000.039  0000001  000.197  0000001  001.762  0000030
0370.38  000.043  0000002  000.192  0000000  001.785  0000026
0380.40  000.045  0000001  000.197  0000004  001.832  0000036
0390.42  000.044  0000000  000.202  0000004  001.870  0000033
0400.42  000.042  0000000  000.205  0000003  001.901  0000031
0410.43  000.044  0000001  000.210  0000004  001.944  0000037
0420.43  000.043  0000000  000.205  0000000  001.941  0000018
0430.43  000.042  0000000  000.211  0000005  001.972  0000033
0440.47  000.041  0000000  000.216  0000004  001.993  0000029
0450.47  000.040  0000000  000.215  0000002  002.033  0000038
0460.47  000.039  0000000  000.226  0000007  002.083  0000043
0470.50  000.038  0000000  000.221  0000000  002.091  0000025
0480.48  000.037  0000000  000.216  0000000  002.096  0000023
0490.52  000.039  0000001  000.222  0000005  002.147  0000046
0500.52  000.038  0000000  000.218  0000000  002.152  0000024
0510.52  000.037  0000000  000.221  0000004  002.180  0000036
0520.55  000.038  0000001  000.219  0000001  002.219  0000042
0530.55  000.038  0000000  000.222  0000004  002.247  0000037
0540.57  000.037  0000000  000.224  0000003  002.275  0000038
0550.57  000.036  0000000  000.231  0000006  002.292  0000032
0560.57  000.036  0000000  000.228  0000001  002.321  0000039
0570.60  000.035  0000000  000.238  0000008  002.375  0000054
0580.60  000.034  0000000  000.239  0000003  002.385  0000030
0590.62  000.034  0000000  000.242  0000004  002.406  0000036
Group 3 Stopped 5/14/2018  06:42:46
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0597.38  000.033  000020  000.239  000143  002.405  001437
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

