C:\Users\RaDeCC\Desktop\FRidge\3-saps009-3800A-180220-iron.txt
Start Time 2/20/2018  11:11:28
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.200  0000002  000.500  0000005  002.700  0000027
0020.02  000.250  0000003  000.400  0000003  002.598  0000025
0030.02  000.200  0000001  000.333  0000002  002.432  0000021
0040.03  000.200  0000002  000.325  0000003  002.348  0000021
0050.03  000.160  0000000  000.280  0000001  002.318  0000022
0060.05  000.150  0000001  000.300  0000004  002.415  0000029
0070.05  000.128  0000000  000.314  0000004  002.398  0000023
0080.08  000.137  0000002  000.350  0000006  002.497  0000032
0090.07  000.133  0000001  000.333  0000002  002.498  0000025
0100.10  000.130  0000001  000.320  0000002  002.488  0000024
0110.10  000.154  0000004  000.318  0000003  002.489  0000025
0120.12  000.167  0000003  000.308  0000002  002.481  0000024
0130.12  000.161  0000001  000.292  0000001  002.436  0000019
0140.13  000.157  0000001  000.307  0000005  002.469  0000029
0150.13  000.153  0000001  000.300  0000002  002.498  0000029
0160.15  000.150  0000001  000.293  0000002  002.541  0000032
0170.17  000.147  0000001  000.306  0000005  002.574  0000031
0180.17  000.144  0000001  000.305  0000003  002.603  0000031
0190.18  000.142  0000001  000.300  0000002  002.592  0000024
0200.20  000.140  0000001  000.295  0000002  002.602  0000028
0210.20  000.138  0000001  000.285  0000001  002.636  0000033
0220.22  000.132  0000000  000.295  0000005  002.652  0000030
0230.23  000.135  0000002  000.300  0000004  002.689  0000035
0240.25  000.137  0000002  000.312  0000006  002.726  0000036
0250.25  000.132  0000000  000.312  0000003  002.757  0000035
0260.27  000.134  0000002  000.323  0000006  002.824  0000045
0270.28  000.133  0000001  000.318  0000002  002.853  0000036
0280.28  000.128  0000000  000.325  0000005  002.872  0000034
0290.30  000.127  0000001  000.324  0000003  002.883  0000032
0300.30  000.123  0000000  000.326  0000004  002.890  0000031
0310.32  000.122  0000001  000.319  0000001  002.884  0000027
0320.32  000.128  0000003  000.331  0000007  002.963  0000054
0330.33  000.124  0000000  000.327  0000002  002.955  0000027
0340.35  000.123  0000001  000.329  0000004  002.997  0000044
0350.35  000.131  0000004  000.340  0000007  003.037  0000044
0360.37  000.130  0000001  000.350  0000007  003.030  0000028
0370.38  000.132  0000002  000.346  0000002  003.027  0000029
0380.38  000.134  0000002  000.347  0000004  003.105  0000060
0390.40  000.131  0000000  000.341  0000001  003.094  0000027
0400.42  000.130  0000001  000.340  0000003  003.144  0000051
0410.42  000.127  0000000  000.348  0000007  003.204  0000056
0420.42  000.128  0000002  000.362  0000009  003.235  0000045
0430.43  000.125  0000000  000.369  0000007  003.273  0000049
0440.45  000.125  0000001  000.368  0000003  003.308  0000048
0450.47  000.122  0000000  000.375  0000007  003.343  0000049
0460.48  000.124  0000002  000.378  0000005  003.383  0000052
0470.48  000.130  0000004  000.378  0000004  003.452  0000066
0480.50  000.127  0000000  000.377  0000003  003.476  0000046
0490.52  000.126  0000001  000.379  0000005  003.511  0000052
0500.52  000.126  0000001  000.384  0000006  003.560  0000060
0510.52  000.123  0000000  000.376  0000000  003.587  0000049
0520.53  000.125  0000002  000.375  0000003  003.627  0000057
0530.55  000.124  0000001  000.386  0000010  003.664  0000056
0540.55  000.124  0000001  000.385  0000003  003.667  0000038
0550.57  000.124  0000001  000.389  0000006  003.689  0000049
0560.58  000.123  0000001  000.385  0000002  003.693  0000039
0570.60  000.124  0000002  000.391  0000007  003.761  0000076
0580.58  000.122  0000000  000.394  0000006  003.777  0000047
0590.60  000.122  0000001  000.396  0000005  003.810  0000057
Group 6 Stopped 2/20/2018  21:07:46
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0596.30  000.121  000072  000.394  000235  003.819  002277
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

