C:\Users\RaDeCC\Desktop\FRidge\5-saps09-4000b-190814-loki.txt
Start Time 8/14/2019  16:35:51
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.000  0000000  000.700  0000007
0020.02  000.050  0000000  000.150  0000003  000.849  0000010
0030.03  000.067  0000001  000.200  0000003  000.999  0000013
0040.03  000.050  0000000  000.175  0000001  000.849  0000004
0050.05  000.040  0000000  000.180  0000002  000.859  0000009
0060.07  000.033  0000000  000.233  0000005  001.016  0000018
0070.07  000.029  0000000  000.243  0000003  000.999  0000009
0080.08  000.025  0000000  000.225  0000001  000.986  0000009
0090.10  000.033  0000001  000.222  0000002  001.021  0000013
0100.10  000.030  0000000  000.240  0000004  001.089  0000017
0110.10  000.027  0000000  000.236  0000002  001.135  0000016
0120.12  000.025  0000000  000.233  0000002  001.124  0000010
0130.13  000.023  0000000  000.223  0000001  001.114  0000010
0140.13  000.029  0000001  000.221  0000002  001.135  0000014
0150.15  000.027  0000000  000.226  0000003  001.172  0000017
0160.17  000.025  0000000  000.212  0000000  001.174  0000012
0170.17  000.024  0000000  000.217  0000003  001.216  0000019
0180.18  000.028  0000001  000.233  0000005  001.276  0000023
0190.20  000.032  0000001  000.226  0000001  001.325  0000022
0200.20  000.030  0000000  000.215  0000000  001.329  0000014
0210.20  000.029  0000000  000.224  0000004  001.361  0000020
0220.22  000.032  0000001  000.223  0000002  001.353  0000012
0230.23  000.030  0000000  000.213  0000000  001.342  0000011
0240.23  000.029  0000000  000.208  0000001  001.345  0000014
0250.25  000.028  0000000  000.204  0000001  001.339  0000012
0260.27  000.027  0000000  000.204  0000002  001.352  0000017
0270.27  000.026  0000000  000.204  0000002  001.395  0000025
0280.28  000.029  0000001  000.200  0000001  001.406  0000017
0290.30  000.028  0000000  000.196  0000001  001.395  0000011
0300.30  000.027  0000000  000.193  0000001  001.419  0000021
0310.30  000.026  0000000  000.193  0000002  001.434  0000019
0320.33  000.031  0000002  000.197  0000003  001.477  0000028
0330.33  000.033  0000001  000.200  0000003  001.520  0000029
0340.33  000.032  0000000  000.197  0000001  001.513  0000013
0350.35  000.031  0000000  000.200  0000003  001.507  0000013
0360.37  000.031  0000000  000.197  0000001  001.523  0000021
0370.37  000.032  0000001  000.200  0000003  001.550  0000025
0380.37  000.032  0000000  000.208  0000005  001.577  0000026
0390.40  000.031  0000000  000.207  0000002  001.580  0000017
0400.40  000.030  0000000  000.202  0000000  001.586  0000018
0410.40  000.029  0000000  000.205  0000003  001.613  0000027
0420.43  000.029  0000000  000.200  0000000  001.627  0000022
0430.43  000.028  0000000  000.200  0000002  001.643  0000023
0440.43  000.030  0000001  000.198  0000001  001.662  0000025
0450.47  000.029  0000000  000.195  0000001  001.658  0000015
0460.47  000.028  0000000  000.193  0000001  001.677  0000025
0470.47  000.030  0000001  000.193  0000002  001.686  0000021
0480.47  000.029  0000000  000.194  0000002  001.705  0000026
0490.50  000.029  0000000  000.202  0000006  001.727  0000028
0500.50  000.028  0000000  000.200  0000001  001.754  0000031
0510.50  000.027  0000000  000.196  0000000  001.765  0000023
0520.53  000.027  0000000  000.198  0000003  001.785  0000028
0530.53  000.026  0000000  000.202  0000004  001.806  0000029
0540.53  000.026  0000000  000.200  0000001  001.800  0000015
0550.57  000.029  0000002  000.205  0000005  001.842  0000041
0560.57  000.029  0000000  000.207  0000003  001.866  0000032
0570.57  000.028  0000000  000.207  0000002  001.874  0000023
0580.58  000.029  0000001  000.205  0000001  001.886  0000026
0590.60  000.029  0000000  000.201  0000000  001.881  0000016
0600.60  000.030  0000001  000.203  0000003  001.913  0000038
0610.60  000.029  0000000  000.201  0000001  001.926  0000027
0620.63  000.029  0000000  000.201  0000002  001.946  0000032
0630.63  000.029  0000000  000.205  0000004  001.965  0000031
0640.63  000.028  0000000  000.203  0000001  001.975  0000026
0650.67  000.028  0000000  000.204  0000003  001.981  0000024
0660.67  000.027  0000000  000.207  0000004  002.004  0000035
0670.67  000.027  0000000  000.209  0000003  002.023  0000033
0680.68  000.028  0000001  000.206  0000000  002.035  0000028
0690.70  000.029  0000001  000.204  0000001  002.039  0000023
0700.70  000.029  0000000  000.208  0000005  002.074  0000045
0710.72  000.028  0000000  000.210  0000003  002.087  0000030
0720.73  000.028  0000000  000.210  0000002  002.106  0000035
0730.73  000.029  0000001  000.209  0000002  002.110  0000024
0740.73  000.028  0000000  000.207  0000000  002.124  0000031
0750.75  000.028  0000000  000.206  0000002  002.139  0000033
0760.77  000.030  0000002  000.205  0000001  002.152  0000031
0770.77  000.031  0000001  000.209  0000005  002.187  0000049
0780.78  000.031  0000000  000.210  0000003  002.194  0000027
0790.80  000.030  0000000  000.209  0000001  002.197  0000024
0800.80  000.030  0000000  000.207  0000001  002.194  0000020
0810.82  000.030  0000000  000.210  0000004  002.198  0000025
0820.83  000.029  0000000  000.211  0000003  002.214  0000035
0830.83  000.029  0000000  000.213  0000004  002.229  0000035
0840.85  000.029  0000000  000.216  0000005  002.237  0000029
0850.85  000.028  0000000  000.215  0000001  002.245  0000029
0860.87  000.028  0000000  000.217  0000004  002.256  0000032
0870.87  000.028  0000000  000.217  0000002  002.270  0000035
0880.88  000.027  0000000  000.217  0000002  002.281  0000032
0890.90  000.027  0000000  000.217  0000002  002.293  0000034
0900.90  000.027  0000000  000.216  0000002  002.298  0000027
0910.92  000.026  0000000  000.217  0000003  002.317  0000041
0920.93  000.026  0000000  000.218  0000003  002.332  0000037
0930.93  000.026  0000000  000.217  0000001  002.348  0000038
0940.95  000.026  0000000  000.221  0000006  002.380  0000053
0950.95  000.026  0000001  000.222  0000003  002.394  0000038
0960.97  000.027  0000001  000.225  0000005  002.403  0000032
0970.97  000.027  0000000  000.225  0000002  002.416  0000037
0980.98  000.027  0000000  000.223  0000001  002.422  0000030
0991.00  000.026  0000000  000.226  0000005  002.449  0000051
1001.00  000.026  0000000  000.226  0000002  002.461  0000036
1011.02  000.027  0000001  000.227  0000003  002.480  0000044
1021.02  000.027  0000001  000.230  0000006  002.508  0000054
1031.03  000.027  0000000  000.232  0000004  002.530  0000047
1041.05  000.027  0000000  000.234  0000005  002.544  0000040
1051.05  000.027  0000000  000.238  0000006  002.557  0000040
1061.07  000.026  0000000  000.239  0000004  002.561  0000029
1071.08  000.026  0000000  000.238  0000001  002.568  0000034
1081.08  000.026  0000000  000.238  0000002  002.576  0000034
1091.10  000.026  0000000  000.239  0000004  002.593  0000044
1101.10  000.025  0000000  000.240  0000003  002.602  0000036
1111.12  000.026  0000001  000.243  0000006  002.625  0000052
1121.12  000.027  0000001  000.242  0000001  002.652  0000056
1131.13  000.027  0000000  000.242  0000003  002.662  0000038
1141.15  000.026  0000000  000.240  0000000  002.669  0000035
1151.15  000.027  0000001  000.242  0000005  002.691  0000052
1161.17  000.027  0000000  000.244  0000004  002.710  0000049
1171.18  000.026  0000000  000.246  0000005  002.728  0000048
1181.18  000.027  0000001  000.244  0000000  002.738  0000039
1191.20  000.027  0000000  000.245  0000004  002.747  0000038
1201.22  000.027  0000000  000.246  0000003  002.766  0000051
1211.22  000.026  0000000  000.247  0000004  002.772  0000034
1221.22  000.026  0000000  000.245  0000000  002.778  0000035
1231.23  000.026  0000000  000.247  0000005  002.794  0000048
Group 4 Stopped 8/15/2019  13:08:23
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
1232.53  000.026  000032  000.247  000304  002.793  003442
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

