C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3400A-180118-thor.txt
Start Time 1/18/2018  06:03:24
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.300  0000003  001.300  0000013
0020.02  000.050  0000001  000.300  0000003  001.349  0000014
0030.02  000.067  0000001  000.300  0000003  001.366  0000014
0040.05  000.050  0000000  000.300  0000003  001.423  0000016
0050.05  000.040  0000000  000.260  0000001  001.299  0000008
0060.07  000.033  0000000  000.233  0000001  001.215  0000008
0070.07  000.029  0000000  000.200  0000000  001.199  0000011
0080.08  000.025  0000000  000.187  0000001  001.186  0000011
0090.08  000.033  0000001  000.178  0000001  001.232  0000016
0100.10  000.030  0000000  000.170  0000001  001.289  0000018
0110.12  000.054  0000003  000.154  0000000  001.344  0000019
0120.13  000.050  0000000  000.158  0000002  001.365  0000016
0130.13  000.046  0000000  000.146  0000000  001.360  0000013
0140.15  000.043  0000000  000.150  0000002  001.356  0000013
0150.17  000.040  0000000  000.140  0000000  001.339  0000011
0160.17  000.037  0000000  000.137  0000001  001.324  0000011
0170.17  000.035  0000000  000.141  0000002  001.346  0000017
0180.18  000.033  0000000  000.139  0000001  001.349  0000014
0190.20  000.032  0000000  000.142  0000002  001.362  0000016
0200.20  000.030  0000000  000.145  0000002  001.394  0000020
0210.22  000.033  0000001  000.143  0000001  001.413  0000018
0220.23  000.032  0000000  000.136  0000000  001.426  0000017
0230.23  000.035  0000001  000.135  0000001  001.455  0000021
0240.25  000.042  0000002  000.129  0000000  001.448  0000013
0250.27  000.048  0000002  000.132  0000002  001.486  0000024
0260.27  000.046  0000000  000.138  0000003  001.529  0000026
0270.28  000.048  0000001  000.141  0000002  001.569  0000026
0280.28  000.054  0000002  000.143  0000002  001.620  0000030
0290.30  000.052  0000000  000.148  0000003  001.664  0000029
0300.30  000.053  0000001  000.150  0000002  001.715  0000032
0310.32  000.052  0000000  000.148  0000001  001.734  0000023
0320.33  000.053  0000001  000.147  0000001  001.761  0000026
0330.35  000.054  0000001  000.142  0000000  001.759  0000017
0340.35  000.053  0000000  000.144  0000002  001.789  0000028
0350.37  000.051  0000000  000.148  0000003  001.801  0000022
0360.38  000.050  0000000  000.147  0000001  001.812  0000022
0370.40  000.049  0000000  000.146  0000001  001.806  0000016
0380.38  000.050  0000001  000.147  0000002  001.822  0000024
0390.40  000.049  0000000  000.146  0000001  001.824  0000019
0400.42  000.047  0000000  000.150  0000003  001.841  0000025
0410.43  000.049  0000001  000.146  0000000  001.847  0000021
0420.43  000.050  0000001  000.143  0000000  001.865  0000026
0430.45  000.049  0000000  000.142  0000001  001.886  0000028
0440.47  000.050  0000001  000.141  0000001  001.923  0000035
0450.48  000.049  0000000  000.144  0000003  001.949  0000031
0460.48  000.048  0000000  000.150  0000004  001.981  0000034
0470.50  000.047  0000000  000.151  0000002  001.998  0000028
0480.50  000.046  0000000  000.154  0000003  002.031  0000036
0490.52  000.049  0000002  000.157  0000003  002.063  0000036
0500.52  000.048  0000000  000.156  0000001  002.070  0000024
0510.53  000.049  0000001  000.155  0000001  002.078  0000025
0520.55  000.050  0000001  000.161  0000005  002.117  0000041
0530.57  000.049  0000000  000.162  0000002  002.134  0000030
0540.58  000.048  0000000  000.166  0000004  002.144  0000027
0550.58  000.047  0000000  000.167  0000002  002.169  0000035
0560.58  000.046  0000000  000.168  0000002  002.182  0000029
Group 5 Stopped 1/18/2018  15:24:33
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0561.15  000.046  000026  000.168  000094  002.183  001225
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

