C:\Documents and Settings\RaDeCC user 1\Desktop\ICY-LAB\dino-blank-170706.txt
Start Time 06/07/2017  23:30:05
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.000  0000000  000.000  0000000  000.801  0000008
0019.98  000.000  0000000  000.000  0000000  001.101  0000014
0029.98  000.000  0000000  000.000  0000000  001.001  0000008
0039.98  000.000  0000000  000.000  0000000  001.000  0000010
0049.98  000.000  0000000  000.000  0000000  000.940  0000007
0059.98  000.000  0000000  000.000  0000000  000.850  0000004
0069.98  000.000  0000000  000.014  0000001  000.843  0000008
0079.98  000.000  0000000  000.013  0000000  000.788  0000004
0089.98  000.000  0000000  000.011  0000000  000.789  0000008
0099.98  000.000  0000000  000.010  0000000  000.780  0000007
0109.98  000.000  0000000  000.009  0000000  000.818  0000012
0119.98  000.000  0000000  000.008  0000000  000.833  0000010
0129.98  000.000  0000000  000.008  0000000  000.839  0000009
0139.98  000.000  0000000  000.021  0000002  000.857  0000011
0149.98  000.000  0000000  000.020  0000000  000.887  0000013
0159.98  000.000  0000000  000.019  0000000  000.881  0000008
0169.98  000.000  0000000  000.018  0000000  000.877  0000008
0179.98  000.000  0000000  000.017  0000000  000.878  0000009
0189.98  000.000  0000000  000.016  0000000  000.874  0000008
0199.98  000.000  0000000  000.015  0000000  000.875  0000009
0209.98  000.000  0000000  000.014  0000000  000.905  0000015
0219.98  000.000  0000000  000.014  0000000  000.891  0000006
0229.98  000.000  0000000  000.013  0000000  000.891  0000009
0239.98  000.000  0000000  000.013  0000000  000.879  0000006
0249.98  000.000  0000000  000.012  0000000  000.880  0000009
0259.98  000.000  0000000  000.012  0000000  000.885  0000010
0269.98  000.000  0000000  000.011  0000000  000.885  0000009
0279.98  000.000  0000000  000.011  0000000  000.875  0000006
0289.98  000.000  0000000  000.010  0000000  000.872  0000008
0299.98  000.000  0000000  000.010  0000000  000.880  0000011
0309.98  000.000  0000000  000.010  0000000  000.861  0000003
0319.98  000.000  0000000  000.009  0000000  000.856  0000007
0329.98  000.000  0000000  000.009  0000000  000.867  0000012
0339.98  000.000  0000000  000.009  0000000  000.853  0000004
0349.98  000.000  0000000  000.009  0000000  000.851  0000008
0359.98  000.000  0000000  000.008  0000000  000.842  0000005
0369.98  000.000  0000000  000.008  0000000  000.827  0000003
0379.98  000.000  0000000  000.008  0000000  000.829  0000009
0389.98  000.000  0000000  000.008  0000000  000.826  0000007
0399.98  000.000  0000000  000.010  0000001  000.825  0000008
0409.98  000.000  0000000  000.010  0000000  000.824  0000008
0419.98  000.000  0000000  000.010  0000000  000.821  0000007
0429.98  000.000  0000000  000.009  0000000  000.819  0000007
0439.98  000.000  0000000  000.009  0000000  000.814  0000006
0449.98  000.000  0000000  000.009  0000000  000.811  0000007
0459.98  000.000  0000000  000.009  0000000  000.811  0000008
0469.98  000.000  0000000  000.009  0000000  000.806  0000006
0479.98  000.000  0000000  000.010  0000001  000.813  0000011
0489.98  000.000  0000000  000.010  0000000  000.804  0000004
0499.98  000.000  0000000  000.010  0000000  000.800  0000006
Group 2 Stopped 07/07/2017  07:58:33
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0508.47  000.000  000000  000.010  000005  000.800  000407
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

