C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3800A-180513-iron.txt
Start Time 5/13/2018  20:52:43
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.200  0000002  002.100  0000021
0020.03  000.050  0000001  000.250  0000003  002.146  0000022
0030.03  000.033  0000000  000.233  0000002  002.031  0000018
0040.05  000.025  0000000  000.225  0000002  002.097  0000023
0050.05  000.040  0000001  000.220  0000002  002.138  0000023
0060.07  000.050  0000001  000.216  0000002  002.064  0000017
0070.08  000.043  0000000  000.300  0000008  002.226  0000032
0080.08  000.037  0000000  000.262  0000000  002.148  0000016
0090.08  000.044  0000001  000.255  0000002  002.142  0000021
0100.10  000.050  0000001  000.270  0000004  002.198  0000027
0110.12  000.054  0000001  000.291  0000005  002.279  0000031
0120.12  000.050  0000000  000.291  0000003  002.289  0000024
0130.15  000.046  0000000  000.292  0000003  002.320  0000027
0140.13  000.043  0000000  000.293  0000003  002.326  0000024
0150.15  000.040  0000000  000.273  0000000  002.304  0000020
0160.17  000.044  0000001  000.275  0000003  002.348  0000030
0170.18  000.059  0000003  000.264  0000001  002.356  0000025
0180.18  000.061  0000001  000.255  0000001  002.364  0000025
0190.20  000.068  0000002  000.273  0000006  002.387  0000028
0200.22  000.065  0000000  000.275  0000003  002.442  0000035
0210.22  000.062  0000000  000.281  0000004  002.512  0000039
0220.23  000.059  0000000  000.300  0000007  002.597  0000044
0230.23  000.056  0000000  000.300  0000003  002.645  0000037
0240.25  000.058  0000001  000.308  0000005  002.672  0000033
0250.27  000.056  0000000  000.308  0000003  002.705  0000035
0260.27  000.054  0000000  000.315  0000005  002.755  0000040
0270.28  000.055  0000001  000.340  0000010  002.823  0000046
0280.30  000.054  0000000  000.350  0000006  002.861  0000039
0290.30  000.055  0000001  000.351  0000004  002.911  0000043
0300.32  000.053  0000000  000.350  0000003  002.960  0000044
0310.32  000.052  0000000  000.348  0000003  003.000  0000042
0320.33  000.050  0000000  000.347  0000003  003.041  0000043
0330.35  000.048  0000000  000.354  0000006  003.082  0000044
0340.35  000.047  0000000  000.358  0000005  003.103  0000038
0350.37  000.046  0000000  000.357  0000003  003.148  0000047
0360.37  000.047  0000001  000.358  0000004  003.188  0000046
0370.40  000.046  0000000  000.370  0000008  003.251  0000055
0380.40  000.045  0000000  000.371  0000004  003.286  0000046
0390.42  000.044  0000000  000.366  0000002  003.309  0000042
0400.42  000.042  0000000  000.362  0000002  003.327  0000040
0410.42  000.041  0000000  000.356  0000001  003.377  0000054
0420.43  000.045  0000002  000.362  0000006  003.418  0000051
0430.45  000.044  0000000  000.372  0000008  003.478  0000060
0440.47  000.043  0000000  000.372  0000004  003.505  0000047
0450.47  000.044  0000001  000.377  0000006  003.565  0000062
0460.48  000.046  0000001  000.380  0000005  003.585  0000045
0470.50  000.045  0000000  000.389  0000008  003.632  0000058
0480.50  000.044  0000000  000.389  0000004  003.644  0000042
0490.52  000.047  0000002  000.398  0000008  003.702  0000065
0500.52  000.046  0000000  000.396  0000003  003.740  0000056
0510.53  000.045  0000000  000.400  0000006  003.767  0000051
0520.53  000.046  0000001  000.400  0000004  003.790  0000050
0530.57  000.045  0000000  000.413  0000011  003.858  0000074
0540.57  000.044  0000000  000.414  0000005  003.896  0000059
0550.57  000.044  0000000  000.410  0000002  003.892  0000037
0560.58  000.043  0000000  000.416  0000007  003.910  0000049
0570.60  000.044  0000001  000.424  0000009  003.957  0000066
0580.62  000.045  0000001  000.429  0000007  003.991  0000059
Group 6 Stopped 5/14/2018  06:42:53
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0590.17  000.044  000026  000.425  000251  004.012  002368
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

