C:\Users\RaDeCC\Desktop\ICY-LAB\4-FSH05-02-171128-hawkeye.txt
Start Time 11/28/2017  19:07:19
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.800  0000008  002.500  0000025
0020.00  000.000  0000000  001.250  0000017  003.100  0000037
0030.02  000.033  0000001  001.299  0000014  003.398  0000040
0040.03  000.050  0000001  001.399  0000017  003.547  0000040
0050.03  000.040  0000000  001.299  0000009  003.318  0000024
0060.05  000.067  0000002  001.332  0000015  003.430  0000040
0070.07  000.057  0000000  001.427  0000020  003.597  0000046
0080.08  000.050  0000000  001.436  0000015  003.609  0000037
0090.08  000.044  0000000  001.332  0000005  003.397  0000017
0100.08  000.040  0000000  001.329  0000013  003.447  0000039
0110.10  000.036  0000000  001.317  0000012  003.497  0000040
0120.12  000.050  0000002  001.265  0000007  003.455  0000030
0130.12  000.054  0000001  001.283  0000015  003.505  0000041
0140.13  000.050  0000000  001.292  0000014  003.504  0000035
0150.15  000.053  0000001  001.285  0000012  003.536  0000040
0160.15  000.050  0000000  001.274  0000011  003.509  0000031
0170.17  000.059  0000002  001.299  0000017  003.591  0000049
0180.18  000.061  0000001  001.293  0000012  003.619  0000041
0190.18  000.063  0000001  001.267  0000008  003.586  0000030
0200.20  000.060  0000000  001.259  0000011  003.581  0000035
0210.20  000.062  0000001  001.261  0000013  003.592  0000038
0220.22  000.059  0000000  001.258  0000012  003.596  0000037
0230.23  000.065  0000002  001.242  0000009  003.601  0000037
0240.23  000.062  0000000  001.220  0000007  003.572  0000029
0250.25  000.060  0000000  001.251  0000020  003.660  0000058
0260.27  000.058  0000000  001.241  0000010  003.662  0000037
0270.28  000.059  0000001  001.265  0000019  003.715  0000051
0280.28  000.057  0000000  001.267  0000013  003.736  0000043
0290.28  000.055  0000000  001.261  0000011  003.752  0000042
0300.30  000.053  0000000  001.232  0000004  003.710  0000025
0310.32  000.055  0000001  001.234  0000013  003.722  0000041
0320.32  000.053  0000000  001.239  0000014  003.740  0000043
0330.33  000.051  0000000  001.250  0000016  003.769  0000047
0340.35  000.050  0000000  001.269  0000019  003.846  0000064
0350.37  000.049  0000000  001.270  0000013  003.856  0000042
0360.37  000.050  0000001  001.274  0000014  003.879  0000047
0370.38  000.051  0000001  001.269  0000011  003.880  0000039
0380.38  000.050  0000000  001.249  0000005  003.870  0000035
0390.40  000.049  0000000  001.242  0000010  003.863  0000036
0400.40  000.047  0000000  001.244  0000013  003.891  0000050
0410.42  000.046  0000000  001.230  0000007  003.889  0000038
0420.43  000.045  0000000  001.237  0000015  003.922  0000053
0430.43  000.044  0000000  001.241  0000014  003.952  0000052
0440.45  000.043  0000000  001.246  0000015  003.982  0000053
0450.47  000.042  0000000  001.250  0000014  004.020  0000057
0460.48  000.041  0000000  001.255  0000015  004.052  0000055
0470.50  000.043  0000001  001.269  0000019  004.104  0000065
0480.48  000.044  0000001  001.276  0000016  004.131  0000054
0490.50  000.043  0000000  001.280  0000015  004.155  0000053
0500.52  000.042  0000000  001.275  0000010  004.164  0000046
0510.53  000.043  0000001  001.283  0000017  004.200  0000060
0520.53  000.044  0000001  001.285  0000014  004.215  0000050
0530.55  000.043  0000000  001.278  0000009  004.216  0000043
0540.57  000.043  0000000  001.284  0000016  004.236  0000053
0550.57  000.044  0000001  001.282  0000012  004.265  0000058
0560.57  000.045  0000001  001.272  0000007  004.264  0000042
0570.58  000.044  0000000  001.262  0000007  004.255  0000038
0580.60  000.045  0000001  001.275  0000020  004.304  0000071
0590.60  000.044  0000000  001.285  0000019  004.333  0000060
0600.62  000.043  0000000  001.290  0000016  004.372  0000067
0610.63  000.046  0000002  001.276  0000004  004.369  0000042
0620.65  000.045  0000000  001.276  0000013  004.386  0000054
0630.65  000.044  0000000  001.273  0000011  004.394  0000049
0640.65  000.045  0000001  001.274  0000013  004.416  0000058
0650.67  000.045  0000000  001.274  0000013  004.432  0000055
0660.68  000.044  0000000  001.276  0000014  004.461  0000063
0670.70  000.045  0000001  001.281  0000016  004.488  0000063
0680.70  000.044  0000000  001.275  0000009  004.494  0000049
0690.72  000.045  0000001  001.281  0000017  004.523  0000065
0700.73  000.046  0000001  001.276  0000009  004.528  0000049
0710.73  000.046  0000001  001.278  0000014  004.546  0000058
0720.73  000.046  0000000  001.272  0000009  004.563  0000058
0730.75  000.045  0000000  001.286  0000023  004.614  0000083
0740.77  000.045  0000000  001.287  0000013  004.644  0000068
0750.78  000.044  0000000  001.295  0000019  004.670  0000066
0760.78  000.045  0000001  001.293  0000012  004.695  0000066
0770.80  000.044  0000000  001.290  0000010  004.717  0000064
0780.82  000.045  0000001  001.290  0000013  004.731  0000058
0790.82  000.044  0000000  001.294  0000016  004.763  0000073
0800.82  000.046  0000002  001.295  0000014  004.788  0000067
0810.83  000.048  0000002  001.296  0000014  004.825  0000078
0820.85  000.049  0000001  001.299  0000015  004.847  0000067
0830.87  000.049  0000001  001.296  0000011  004.868  0000066
0840.88  000.049  0000000  001.300  0000016  004.878  0000057
0850.87  000.048  0000000  001.300  0000013  004.891  0000060
0860.88  000.048  0000000  001.299  0000012  004.893  0000050
Group 1 Stopped 11/29/2017  09:31:00
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0863.68  000.047  000041  001.296  001119  004.888  004222
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

