C:\Users\RaDeCC\Desktop\FRidge\3-saps009-3200A-180219-thor.txt
Start Time 2/19/2018  23:11:46
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.100  0000001  001.500  0000015
0020.00  000.100  0000001  000.050  0000000  001.250  0000010
0030.02  000.067  0000000  000.200  0000005  001.466  0000019
0040.03  000.050  0000000  000.200  0000002  001.524  0000017
0050.03  000.060  0000001  000.200  0000002  001.499  0000014
0060.05  000.083  0000002  000.300  0000008  001.715  0000028
0070.07  000.086  0000001  000.285  0000002  001.798  0000023
0080.08  000.100  0000002  000.300  0000004  001.911  0000027
0090.10  000.089  0000000  000.289  0000002  001.931  0000021
0100.10  000.080  0000000  000.260  0000000  001.938  0000020
0110.12  000.082  0000001  000.263  0000003  001.916  0000017
0120.12  000.083  0000001  000.291  0000006  002.040  0000034
0130.13  000.100  0000003  000.284  0000002  002.082  0000026
0140.13  000.100  0000001  000.271  0000001  002.055  0000017
0150.15  000.093  0000000  000.280  0000004  002.111  0000029
0160.15  000.087  0000000  000.306  0000007  002.185  0000033
0170.18  000.094  0000002  000.311  0000004  002.239  0000031
0180.17  000.094  0000001  000.311  0000003  002.259  0000026
0190.20  000.100  0000002  000.336  0000008  002.313  0000033
0200.22  000.095  0000000  000.330  0000002  002.298  0000020
0210.22  000.090  0000000  000.314  0000000  002.269  0000017
0220.22  000.086  0000000  000.304  0000001  002.270  0000023
0230.23  000.083  0000000  000.295  0000001  002.272  0000023
0240.25  000.079  0000000  000.300  0000004  002.260  0000020
0250.25  000.080  0000001  000.304  0000004  002.278  0000027
0260.27  000.081  0000001  000.315  0000006  002.305  0000030
0270.27  000.085  0000002  000.311  0000002  002.305  0000023
0280.28  000.082  0000000  000.318  0000005  002.312  0000025
0290.30  000.079  0000000  000.307  0000000  002.311  0000023
0300.32  000.080  0000001  000.303  0000002  002.318  0000025
0310.32  000.077  0000000  000.293  0000000  002.307  0000020
0320.32  000.075  0000000  000.290  0000002  002.301  0000021
0330.33  000.073  0000000  000.282  0000000  002.289  0000019
0340.35  000.071  0000000  000.276  0000001  002.265  0000015
0350.35  000.069  0000000  000.280  0000004  002.255  0000019
0360.37  000.067  0000000  000.277  0000002  002.270  0000028
0370.38  000.067  0000001  000.275  0000002  002.281  0000027
0380.40  000.071  0000002  000.279  0000004  002.292  0000027
0390.40  000.069  0000000  000.282  0000004  002.300  0000026
0400.42  000.067  0000000  000.277  0000001  002.293  0000020
0410.43  000.068  0000001  000.278  0000003  002.307  0000029
0420.43  000.071  0000002  000.276  0000002  002.333  0000034
0430.43  000.072  0000001  000.269  0000000  002.340  0000026
0440.45  000.070  0000000  000.266  0000001  002.361  0000033
0450.47  000.069  0000000  000.262  0000001  002.371  0000028
0460.47  000.067  0000000  000.261  0000002  002.378  0000027
0470.48  000.066  0000000  000.255  0000000  002.364  0000017
0480.50  000.069  0000002  000.250  0000000  002.345  0000015
0490.50  000.067  0000000  000.245  0000000  002.345  0000023
0500.52  000.066  0000000  000.242  0000001  002.338  0000020
0510.53  000.065  0000000  000.245  0000004  002.352  0000031
0520.55  000.063  0000000  000.242  0000001  002.338  0000016
0530.55  000.062  0000000  000.237  0000000  002.341  0000025
0540.57  000.061  0000000  000.237  0000002  002.346  0000026
0550.57  000.060  0000000  000.234  0000001  002.330  0000015
0560.57  000.059  0000000  000.234  0000002  002.337  0000027
0570.58  000.058  0000000  000.235  0000003  002.334  0000022
0580.60  000.057  0000000  000.238  0000004  002.356  0000036
0590.62  000.056  0000000  000.234  0000000  002.355  0000023
Group 5 Stopped 2/20/2018  09:04:34
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0592.80  000.056  000033  000.233  000138  002.353  001395
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

