C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3400A-180513-he.txt
Start Time 5/13/2018  20:41:24
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.200  0000002  001.200  0000012
0020.02  000.000  0000000  000.200  0000002  000.949  0000007
0030.03  000.000  0000000  000.133  0000000  000.866  0000007
0040.05  000.000  0000000  000.100  0000000  000.799  0000006
0050.07  000.000  0000000  000.100  0000001  000.819  0000009
0060.07  000.000  0000000  000.100  0000001  000.832  0000009
0070.08  000.000  0000000  000.114  0000002  000.856  0000010
0080.08  000.000  0000000  000.112  0000001  000.837  0000007
0090.10  000.011  0000001  000.111  0000001  000.855  0000010
0100.12  000.020  0000001  000.100  0000000  000.829  0000006
0110.12  000.018  0000000  000.109  0000002  000.826  0000008
0120.13  000.017  0000000  000.117  0000002  000.807  0000006
0130.15  000.015  0000000  000.115  0000001  000.814  0000009
0140.15  000.014  0000000  000.114  0000001  000.835  0000011
0150.17  000.013  0000000  000.107  0000000  000.879  0000015
0160.18  000.012  0000000  000.100  0000000  000.918  0000015
0170.18  000.018  0000001  000.100  0000001  000.958  0000016
0180.18  000.017  0000000  000.100  0000001  000.966  0000011
0190.20  000.016  0000000  000.095  0000000  000.988  0000014
0200.22  000.015  0000000  000.095  0000001  000.994  0000011
0210.22  000.014  0000000  000.095  0000001  000.999  0000011
0220.25  000.014  0000000  000.104  0000003  001.008  0000012
0230.23  000.013  0000000  000.104  0000001  000.990  0000006
0240.27  000.012  0000000  000.108  0000002  001.032  0000020
0250.27  000.012  0000000  000.104  0000000  001.055  0000016
0260.27  000.012  0000000  000.100  0000000  001.045  0000008
0270.28  000.011  0000000  000.096  0000000  001.062  0000015
0280.30  000.011  0000000  000.096  0000001  001.095  0000020
0290.30  000.010  0000000  000.100  0000002  001.106  0000014
0300.32  000.010  0000000  000.103  0000002  001.109  0000012
0310.32  000.010  0000000  000.100  0000000  001.128  0000017
0320.35  000.009  0000000  000.097  0000000  001.161  0000022
0330.35  000.009  0000000  000.097  0000001  001.175  0000016
0340.35  000.009  0000000  000.094  0000000  001.187  0000016
0350.38  000.009  0000000  000.097  0000002  001.224  0000025
0360.38  000.008  0000000  000.100  0000002  001.238  0000017
0370.38  000.008  0000000  000.105  0000003  001.264  0000022
0380.40  000.008  0000000  000.105  0000001  001.257  0000010
0390.40  000.008  0000000  000.108  0000002  001.255  0000012
0400.42  000.007  0000000  000.107  0000001  001.274  0000020
0410.43  000.010  0000001  000.112  0000003  001.289  0000019
0420.45  000.010  0000000  000.112  0000001  001.296  0000016
0430.45  000.009  0000000  000.112  0000001  001.333  0000029
0440.47  000.009  0000000  000.111  0000001  001.346  0000019
0450.47  000.011  0000001  000.111  0000001  001.363  0000021
0460.48  000.011  0000000  000.115  0000003  001.377  0000020
0470.50  000.011  0000000  000.117  0000002  001.386  0000018
0480.50  000.010  0000000  000.117  0000001  001.405  0000023
0490.52  000.012  0000001  000.120  0000003  001.435  0000029
0500.53  000.012  0000000  000.122  0000002  001.434  0000014
0510.55  000.014  0000001  000.125  0000003  001.449  0000022
0520.55  000.013  0000000  000.129  0000003  001.475  0000028
0530.57  000.013  0000000  000.130  0000002  001.485  0000020
0540.57  000.013  0000000  000.133  0000003  001.495  0000020
0550.57  000.013  0000000  000.133  0000001  001.509  0000023
0560.60  000.012  0000000  000.130  0000000  001.525  0000024
0570.60  000.012  0000000  000.131  0000002  001.540  0000024
0580.62  000.012  0000000  000.133  0000002  001.540  0000015
0590.62  000.012  0000000  000.134  0000002  001.566  0000031
0600.63  000.012  0000000  000.137  0000003  001.577  0000022
Group 1 Stopped 5/14/2018  06:42:40
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0601.27  000.012  000007  000.136  000082  001.577  000948
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

