C:\Users\RaDeCC\Desktop\FRidge\5-saps009-3800b-190811-capn.txt
Start Time 8/11/2019  15:24:26
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  000.000  0000000  000.000  0000000
0002.00  000.000  0000000  000.000  0000000  000.000  0000000
0003.00  000.000  0000000  000.000  0000000  000.000  0000000
0004.00  000.000  0000000  000.000  0000000  000.250  0000001
0004.98  000.000  0000000  000.000  0000000  000.201  0000000
0006.00  000.000  0000000  000.000  0000000  000.167  0000000
0007.00  000.000  0000000  000.000  0000000  000.286  0000001
0008.00  000.000  0000000  000.000  0000000  000.250  0000000
0009.00  000.000  0000000  000.000  0000000  000.333  0000001
0010.02  000.000  0000000  000.000  0000000  000.300  0000000
0011.00  000.000  0000000  000.000  0000000  000.273  0000000
0012.00  000.000  0000000  000.000  0000000  000.417  0000002
0013.00  000.000  0000000  000.000  0000000  000.385  0000000
0014.00  000.000  0000000  000.000  0000000  000.357  0000000
0015.02  000.000  0000000  000.067  0000001  000.533  0000003
0016.02  000.000  0000000  000.062  0000000  000.562  0000001
0017.00  000.000  0000000  000.118  0000001  000.706  0000003
0018.00  000.000  0000000  000.167  0000001  000.722  0000001
0019.02  000.000  0000000  000.158  0000000  000.684  0000000
0020.02  000.000  0000000  000.150  0000000  000.649  0000000
0021.02  000.000  0000000  000.143  0000000  000.619  0000000
0022.02  000.000  0000000  000.136  0000000  000.636  0000001
0023.02  000.000  0000000  000.130  0000000  000.695  0000002
0024.02  000.000  0000000  000.125  0000000  000.666  0000000
0025.02  000.000  0000000  000.120  0000000  000.640  0000000
0026.02  000.000  0000000  000.115  0000000  000.615  0000000
0027.02  000.000  0000000  000.148  0000001  000.703  0000003
0028.03  000.000  0000000  000.178  0000001  000.785  0000003
0029.02  000.000  0000000  000.172  0000000  000.793  0000001
0030.02  000.000  0000000  000.167  0000000  000.766  0000000
0031.02  000.000  0000000  000.193  0000001  000.806  0000002
0032.03  000.000  0000000  000.219  0000001  000.874  0000003
0033.03  000.000  0000000  000.242  0000001  000.908  0000002
0034.03  000.000  0000000  000.235  0000000  000.940  0000002
0035.02  000.000  0000000  000.228  0000000  000.942  0000001
0036.03  000.000  0000000  000.250  0000001  000.999  0000003
0037.03  000.000  0000000  000.243  0000000  000.972  0000000
0038.03  000.000  0000000  000.237  0000000  001.025  0000003
0039.03  000.000  0000000  000.231  0000000  001.050  0000002
0040.03  000.000  0000000  000.225  0000000  001.024  0000000
0041.03  000.000  0000000  000.219  0000000  001.024  0000001
0042.03  000.000  0000000  000.214  0000000  000.999  0000000
0043.03  000.000  0000000  000.209  0000000  000.976  0000000
0044.03  000.000  0000000  000.204  0000000  000.954  0000000
0045.05  000.000  0000000  000.200  0000000  000.932  0000000
0046.05  000.000  0000000  000.195  0000000  000.912  0000000
0047.03  000.000  0000000  000.213  0000001  000.936  0000002
0048.03  000.000  0000000  000.208  0000000  000.916  0000000
0049.05  000.000  0000000  000.204  0000000  000.897  0000000
0050.05  000.000  0000000  000.220  0000001  000.939  0000003
0051.05  000.000  0000000  000.235  0000001  000.960  0000002
0052.03  000.000  0000000  000.231  0000000  000.942  0000000
0053.03  000.000  0000000  000.226  0000000  000.943  0000001
0054.05  000.000  0000000  000.222  0000000  000.962  0000002
0055.05  000.000  0000000  000.218  0000000  000.945  0000000
0056.05  000.000  0000000  000.214  0000000  000.928  0000000
0057.05  000.000  0000000  000.210  0000000  000.911  0000000
0058.05  000.000  0000000  000.207  0000000  000.930  0000002
0059.05  000.017  0000001  000.203  0000000  000.965  0000003
0060.05  000.017  0000000  000.200  0000000  000.966  0000001
0061.05  000.016  0000000  000.197  0000000  000.950  0000000
0062.07  000.016  0000000  000.193  0000000  000.951  0000001
0063.07  000.016  0000000  000.190  0000000  000.983  0000003
0064.05  000.016  0000000  000.187  0000000  000.968  0000000
0065.05  000.015  0000000  000.184  0000000  000.953  0000000
0066.05  000.015  0000000  000.182  0000000  000.954  0000001
0067.07  000.015  0000000  000.194  0000001  000.984  0000003
0068.07  000.015  0000000  000.191  0000000  000.970  0000000
0069.07  000.014  0000000  000.188  0000000  000.956  0000000
0070.05  000.014  0000000  000.200  0000001  000.985  0000003
0071.07  000.014  0000000  000.197  0000000  000.985  0000001
0072.07  000.014  0000000  000.194  0000000  000.971  0000000
0073.07  000.014  0000000  000.192  0000000  000.999  0000003
0074.07  000.014  0000000  000.203  0000001  001.013  0000002
0075.08  000.013  0000000  000.226  0000002  001.052  0000004
0076.07  000.013  0000000  000.223  0000000  001.039  0000000
0077.07  000.013  0000000  000.221  0000000  001.025  0000000
0078.07  000.013  0000000  000.243  0000002  001.063  0000004
0079.07  000.013  0000000  000.240  0000000  001.050  0000000
0080.08  000.012  0000000  000.237  0000000  001.049  0000001
0081.08  000.012  0000000  000.234  0000000  001.061  0000002
0082.07  000.012  0000000  000.232  0000000  001.048  0000000
0083.07  000.012  0000000  000.229  0000000  001.035  0000000
0084.08  000.012  0000000  000.226  0000000  001.023  0000000
0085.08  000.012  0000000  000.223  0000000  001.034  0000002
0086.08  000.012  0000000  000.221  0000000  001.022  0000000
0087.08  000.023  0000001  000.230  0000001  001.056  0000004
0088.08  000.023  0000000  000.238  0000001  001.067  0000002
0089.08  000.022  0000000  000.247  0000001  001.111  0000005
0090.08  000.022  0000000  000.244  0000000  001.099  0000000
0091.08  000.022  0000000  000.242  0000000  001.087  0000000
0092.08  000.022  0000000  000.239  0000000  001.097  0000002
0093.10  000.021  0000000  000.236  0000000  001.085  0000000
0094.08  000.021  0000000  000.234  0000000  001.095  0000002
0095.08  000.021  0000000  000.231  0000000  001.083  0000000
0096.08  000.021  0000000  000.229  0000000  001.082  0000001
0097.10  000.021  0000000  000.227  0000000  001.081  0000001
0098.10  000.020  0000000  000.224  0000000  001.070  0000000
0099.08  000.020  0000000  000.232  0000001  001.080  0000002
0100.08  000.020  0000000  000.240  0000001  001.089  0000002
0101.10  000.020  0000000  000.237  0000000  001.078  0000000
0102.10  000.020  0000000  000.245  0000001  001.087  0000002
0103.10  000.019  0000000  000.242  0000000  001.077  0000000
0104.10  000.019  0000000  000.240  0000000  001.066  0000000
0105.08  000.019  0000000  000.238  0000000  001.056  0000000
0106.10  000.019  0000000  000.236  0000000  001.056  0000001
0107.10  000.019  0000000  000.233  0000000  001.064  0000002
0108.10  000.019  0000000  000.231  0000000  001.055  0000000
0109.10  000.018  0000000  000.229  0000000  001.045  0000000
0110.12  000.018  0000000  000.227  0000000  001.035  0000000
0111.10  000.018  0000000  000.225  0000000  001.026  0000000
0112.10  000.018  0000000  000.232  0000001  001.053  0000004
0113.10  000.018  0000000  000.230  0000000  001.061  0000002
0114.12  000.026  0000001  000.228  0000000  001.069  0000002
0115.12  000.026  0000000  000.226  0000000  001.068  0000001
0116.12  000.026  0000000  000.224  0000000  001.077  0000002
0117.10  000.026  0000000  000.222  0000000  001.067  0000000
0118.10  000.025  0000000  000.220  0000000  001.058  0000000
0119.12  000.025  0000000  000.218  0000000  001.058  0000001
0120.12  000.025  0000000  000.216  0000000  001.049  0000000
0121.12  000.033  0000001  000.231  0000002  001.098  0000007
0122.12  000.033  0000000  000.237  0000001  001.138  0000006
0123.12  000.032  0000000  000.244  0000001  001.178  0000006
