C:\Users\RaDeCC\Desktop\FRidge\2-Saps009-3200b-180125-capn.txt
Start Time 1/25/2018  13:23:14
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.100  0000001  000.599  0000006
0020.02  000.000  0000000  000.200  0000003  000.649  0000007
0030.03  000.000  0000000  000.133  0000000  000.599  0000005
0040.03  000.000  0000000  000.150  0000002  000.749  0000012
0050.05  000.000  0000000  000.140  0000001  000.739  0000007
0060.05  000.000  0000000  000.117  0000000  000.816  0000012
0070.07  000.000  0000000  000.114  0000001  000.842  0000010
0080.08  000.000  0000000  000.100  0000000  000.774  0000003
0090.08  000.000  0000000  000.089  0000000  000.722  0000003
0100.10  000.000  0000000  000.100  0000002  000.719  0000007
0110.10  000.009  0000001  000.109  0000002  000.727  0000008
0120.12  000.008  0000000  000.100  0000000  000.741  0000009
0130.12  000.008  0000000  000.115  0000003  000.799  0000015
0140.13  000.007  0000000  000.107  0000000  000.778  0000005
0150.13  000.007  0000000  000.120  0000003  000.793  0000010
0160.15  000.012  0000001  000.112  0000000  000.793  0000008
0170.17  000.012  0000000  000.106  0000000  000.787  0000007
0180.18  000.011  0000000  000.111  0000002  000.788  0000008
0190.20  000.016  0000001  000.110  0000001  000.799  0000010
0200.20  000.015  0000000  000.110  0000001  000.784  0000005
0210.22  000.014  0000000  000.109  0000001  000.785  0000008
0220.22  000.014  0000000  000.114  0000002  000.808  0000013
0230.23  000.017  0000001  000.109  0000000  000.804  0000007
0240.23  000.017  0000000  000.104  0000000  000.799  0000007
0250.25  000.016  0000000  000.104  0000001  000.799  0000008
0260.25  000.015  0000000  000.100  0000000  000.795  0000007
0270.28  000.015  0000000  000.107  0000003  000.814  0000013
0280.28  000.014  0000000  000.107  0000001  000.813  0000008
0290.32  000.014  0000000  000.107  0000001  000.837  0000015
0300.32  000.013  0000000  000.107  0000001  000.862  0000016
0310.33  000.013  0000000  000.103  0000000  000.886  0000016
0320.33  000.012  0000000  000.100  0000000  000.890  0000010
0330.35  000.012  0000000  000.100  0000001  000.899  0000012
0340.35  000.012  0000000  000.109  0000004  000.931  0000020
0350.38  000.011  0000000  000.106  0000000  000.936  0000011
0360.38  000.011  0000000  000.103  0000000  000.957  0000017
0370.40  000.013  0000001  000.103  0000001  000.969  0000014
0380.40  000.013  0000000  000.100  0000000  000.967  0000009
0390.42  000.013  0000000  000.102  0000002  001.004  0000024
0400.42  000.015  0000001  000.100  0000000  001.014  0000014
0410.43  000.015  0000000  000.102  0000002  001.033  0000018
0420.45  000.017  0000001  000.107  0000003  001.044  0000015
0430.45  000.016  0000000  000.105  0000000  001.055  0000015
0440.47  000.018  0000001  000.102  0000000  001.051  0000009
0450.47  000.018  0000000  000.102  0000001  001.068  0000018
0460.48  000.020  0000001  000.102  0000001  001.103  0000027
0470.50  000.019  0000000  000.102  0000001  001.118  0000018
0480.52  000.019  0000000  000.100  0000000  001.115  0000010
0490.52  000.018  0000000  000.098  0000000  001.109  0000008
0500.53  000.018  0000000  000.096  0000000  001.111  0000012
0510.53  000.018  0000000  000.100  0000003  001.115  0000013
0520.55  000.017  0000000  000.102  0000002  001.116  0000012
0530.55  000.017  0000000  000.100  0000000  001.110  0000008
0540.57  000.017  0000000  000.098  0000000  001.112  0000012
0550.57  000.016  0000000  000.096  0000000  001.112  0000011
0560.60  000.016  0000000  000.095  0000000  001.113  0000012
0570.60  000.016  0000000  000.093  0000000  001.106  0000007
0580.62  000.016  0000000  000.091  0000000  001.111  0000014
0590.62  000.015  0000000  000.090  0000000  001.106  0000008
0600.63  000.015  0000000  000.088  0000000  001.105  0000011
0610.65  000.015  0000000  000.090  0000002  001.120  0000020
0620.65  000.015  0000000  000.090  0000001  001.126  0000015
0630.67  000.014  0000000  000.090  0000001  001.137  0000018
0640.67  000.014  0000000  000.091  0000001  001.138  0000012
0650.68  000.014  0000000  000.092  0000002  001.146  0000017
Group 4 Stopped 1/26/2018  00:16:48
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0653.57  000.014  000009  000.092  000060  001.148  000750
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

