C:\Users\RaDeCC\Desktop\FRidge\3-saps009-4100A-180219-loki.txt
Start Time 2/19/2018  10:56:55
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.200  0000002  001.000  0000010
0020.02  000.000  0000000  000.150  0000001  000.799  0000006
0030.02  000.033  0000001  000.200  0000003  000.966  0000013
0040.05  000.100  0000003  000.150  0000000  000.999  0000011
0050.05  000.160  0000004  000.180  0000003  001.179  0000019
0060.05  000.167  0000002  000.183  0000002  001.232  0000015
0070.07  000.171  0000002  000.157  0000000  001.213  0000011
0080.08  000.162  0000001  000.175  0000003  001.186  0000010
0090.10  000.144  0000000  000.178  0000002  001.143  0000008
0100.10  000.130  0000000  000.180  0000002  001.169  0000014
0110.10  000.118  0000000  000.200  0000004  001.226  0000018
0120.13  000.117  0000001  000.208  0000003  001.274  0000018
0130.13  000.115  0000001  000.207  0000002  001.322  0000019
0140.15  000.107  0000000  000.207  0000002  001.334  0000015
0150.15  000.107  0000001  000.220  0000004  001.432  0000028
0160.17  000.100  0000000  000.206  0000000  001.392  0000008
0170.17  000.106  0000002  000.212  0000003  001.399  0000015
0180.18  000.105  0000001  000.205  0000001  001.437  0000021
0190.20  000.100  0000000  000.195  0000000  001.420  0000011
0200.20  000.095  0000000  000.205  0000004  001.479  0000026
0210.22  000.095  0000001  000.219  0000005  001.527  0000025
0220.22  000.095  0000001  000.223  0000003  001.544  0000019
0230.25  000.100  0000002  000.221  0000002  001.581  0000024
0240.25  000.096  0000000  000.225  0000003  001.627  0000027
0250.27  000.096  0000001  000.216  0000000  001.662  0000025
0260.27  000.104  0000003  000.211  0000001  001.683  0000022
0270.28  000.111  0000003  000.215  0000003  001.728  0000029
0280.28  000.111  0000001  000.214  0000002  001.759  0000026
0290.30  000.107  0000000  000.210  0000001  001.771  0000021
0300.32  000.110  0000002  000.213  0000003  001.805  0000028
0310.32  000.113  0000002  000.213  0000002  001.879  0000041
0320.33  000.112  0000001  000.209  0000001  001.895  0000024
0330.35  000.112  0000001  000.212  0000003  001.901  0000021
0340.35  000.112  0000001  000.214  0000003  001.895  0000017
0350.37  000.111  0000001  000.211  0000001  001.884  0000015
0360.40  000.111  0000001  000.208  0000001  001.912  0000029
0370.40  000.116  0000003  000.211  0000003  001.941  0000030
0380.42  000.121  0000003  000.218  0000005  001.982  0000035
0390.42  000.120  0000001  000.213  0000000  001.982  0000020
0400.43  000.122  0000002  000.215  0000003  002.013  0000032
0410.45  000.122  0000001  000.212  0000001  002.012  0000020
0420.45  000.119  0000000  000.209  0000001  002.005  0000017
0430.47  000.116  0000000  000.209  0000002  002.014  0000024
0440.47  000.116  0000001  000.211  0000003  002.021  0000023
0450.48  000.113  0000000  000.213  0000003  002.022  0000021
0460.50  000.113  0000001  000.215  0000003  002.046  0000031
0470.50  000.111  0000000  000.215  0000002  002.068  0000031
0480.52  000.112  0000002  000.219  0000004  002.096  0000034
0490.53  000.114  0000002  000.214  0000000  002.122  0000034
0500.53  000.116  0000002  000.214  0000002  002.152  0000036
0510.55  000.116  0000001  000.215  0000003  002.192  0000042
0520.57  000.115  0000001  000.215  0000002  002.215  0000034
0530.57  000.113  0000000  000.219  0000004  002.249  0000040
0540.58  000.111  0000000  000.222  0000004  002.281  0000040
0550.58  000.109  0000000  000.223  0000003  002.301  0000034
0560.60  000.107  0000000  000.232  0000007  002.342  0000046
0570.62  000.105  0000000  000.238  0000006  002.355  0000031
0580.62  000.105  0000001  000.243  0000005  002.391  0000044
Group 3 Stopped 2/19/2018  20:41:21
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0584.43  000.106  000062  000.245  000143  002.397  001401
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

