C:\Users\RaDeCC\Desktop\FRidge\2-saps009-4100b-180127-loki.txt
Start Time 1/28/2018  00:49:29
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.900  0000009  000.800  0000008  004.400  0000044
0020.02  001.049  0000012  000.799  0000008  005.296  0000062
0030.03  000.999  0000009  000.633  0000003  004.961  0000043
0040.05  000.874  0000005  000.549  0000003  004.519  0000032
0050.05  000.919  0000011  000.519  0000004  004.575  0000048
0060.05  000.999  0000014  000.483  0000003  004.546  0000044
0070.07  000.942  0000006  000.485  0000005  004.396  0000035
0080.08  000.949  0000010  000.512  0000007  004.520  0000054
0090.10  000.988  0000013  000.522  0000006  004.550  0000048
0100.10  000.989  0000010  000.549  0000008  004.615  0000052
0110.10  000.972  0000008  000.572  0000008  004.668  0000052
0120.13  000.916  0000003  000.608  0000010  004.695  0000050
0130.13  000.914  0000009  000.592  0000004  004.726  0000051
0140.13  000.913  0000009  000.621  0000010  004.817  0000060
0150.15  000.919  0000010  000.639  0000009  004.955  0000069
0160.17  000.905  0000007  000.662  0000010  005.088  0000071
0170.17  000.917  0000011  000.658  0000006  005.201  0000070
0180.18  000.899  0000006  000.660  0000007  005.189  0000050
0190.20  000.931  0000015  000.668  0000008  005.273  0000068
0200.20  000.954  0000014  000.664  0000006  005.395  0000077
0210.22  000.956  0000010  000.685  0000011  005.461  0000068
0220.23  000.940  0000006  000.690  0000008  005.440  0000050
0230.23  000.943  0000010  000.691  0000007  005.481  0000064
0240.25  000.961  0000014  000.703  0000010  005.607  0000085
0250.27  000.955  0000008  000.703  0000007  005.658  0000069
0260.27  000.964  0000012  000.749  0000019  005.840  0000104
0270.28  000.951  0000006  000.733  0000003  005.842  0000059
0280.28  000.978  0000017  000.749  0000012  005.965  0000093
0290.30  000.982  0000011  000.748  0000007  006.008  0000072
0300.32  000.966  0000005  000.739  0000005  006.010  0000061
0310.32  000.957  0000007  000.748  0000010  006.023  0000064
0320.32  000.990  0000020  000.771  0000015  006.138  0000097
0330.33  000.999  0000013  000.775  0000009  006.191  0000079
0340.35  001.014  0000015  000.799  0000016  006.296  0000098
0350.37  001.025  0000014  000.822  0000016  006.399  0000099
0360.38  001.018  0000008  000.824  0000009  006.410  0000068
0370.38  001.021  0000011  000.840  0000014  006.474  0000088
0380.40  001.007  0000005  000.839  0000008  006.488  0000070
0390.40  000.999  0000007  000.845  0000011  006.545  0000087
0400.40  001.001  0000011  000.842  0000007  006.583  0000081
0410.42  000.999  0000009  000.836  0000006  006.640  0000089
0420.43  000.999  0000010  000.854  0000016  006.688  0000087
0430.43  000.992  0000007  000.864  0000013  006.742  0000090
0440.45  001.006  0000016  000.872  0000012  006.820  0000102
0450.47  001.006  0000010  000.881  0000013  006.917  0000112
0460.48  001.008  0000011  000.890  0000013  006.990  0000103
0470.48  001.003  0000008  000.888  0000008  007.016  0000082
0480.50  001.014  0000015  000.903  0000016  007.124  0000122
0490.52  001.015  0000011  000.930  0000022  007.186  0000102
0500.52  001.015  0000010  000.935  0000012  007.229  0000093
0510.53  001.007  0000006  000.958  0000021  007.304  0000111
0520.55  001.009  0000011  000.962  0000012  007.354  0000099
0530.55  000.999  0000005  000.969  0000013  007.389  0000092
0540.55  001.006  0000014  000.971  0000011  007.448  0000106
0550.57  001.006  0000010  000.988  0000019  007.505  0000106
0560.58  001.010  0000012  000.997  0000015  007.585  0000120
0570.58  001.009  0000010  000.999  0000011  007.633  0000103
0580.60  001.008  0000009  001.023  0000024  007.716  0000125
0590.62  001.001  0000006  001.023  0000010  007.748  0000096
0600.63  000.991  0000004  001.031  0000015  007.807  0000113
Group 3 Stopped 1/28/2018  10:56:29
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0607.00  000.984  000597  001.031  000626  007.814  004743
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

