C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3800B-180118-he.txt
Start Time 1/18/2018  17:50:20
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.701  0000007  000.301  0000003  002.404  0000024
0020.00  000.550  0000004  000.350  0000004  002.550  0000027
0030.02  000.566  0000006  000.433  0000006  002.732  0000031
0040.02  000.575  0000006  000.400  0000003  002.599  0000022
0050.03  000.580  0000006  000.420  0000005  002.738  0000033
0060.05  000.649  0000010  000.400  0000003  002.814  0000032
0070.05  000.614  0000004  000.443  0000007  002.869  0000032
0080.07  000.712  0000014  000.475  0000007  003.210  0000056
0090.08  000.699  0000006  000.488  0000006  003.219  0000033
0100.08  000.729  0000010  000.470  0000003  003.237  0000034
0110.10  000.745  0000009  000.490  0000007  003.306  0000040
0120.10  000.783  0000012  000.491  0000005  003.397  0000044
0130.13  000.791  0000009  000.515  0000008  003.550  0000054
0140.13  000.778  0000006  000.514  0000005  003.539  0000034
0150.15  000.793  0000010  000.513  0000005  003.603  0000045
0160.15  000.830  0000014  000.525  0000007  003.728  0000056
0170.17  000.805  0000004  000.517  0000004  003.685  0000030
0180.17  000.766  0000001  000.516  0000005  003.630  0000027
0190.18  000.778  0000010  000.531  0000008  003.670  0000044
0200.20  000.774  0000007  000.544  0000008  003.706  0000044
0210.22  000.804  0000014  000.533  0000003  003.734  0000043
0220.22  000.795  0000006  000.540  0000007  003.733  0000037
0230.23  000.769  0000002  000.539  0000005  003.692  0000028
0240.25  000.774  0000009  000.533  0000004  003.704  0000040
0250.25  000.779  0000009  000.539  0000007  003.732  0000044
0260.27  000.780  0000008  000.565  0000012  003.769  0000047
0270.28  000.799  0000013  000.548  0000001  003.770  0000038
0280.27  000.817  0000013  000.553  0000007  003.811  0000049
0290.28  000.816  0000008  000.579  0000013  003.851  0000050
0300.30  000.813  0000007  000.573  0000004  003.853  0000039
0310.32  000.822  0000011  000.570  0000005  003.873  0000045
0320.33  000.818  0000007  000.565  0000004  003.855  0000033
0330.33  000.811  0000006  000.566  0000006  003.854  0000038
0340.33  000.802  0000005  000.558  0000003  003.817  0000026
0350.35  000.802  0000008  000.559  0000006  003.808  0000035
0360.37  000.805  0000009  000.558  0000005  003.818  0000042
0370.38  000.813  0000011  000.559  0000006  003.853  0000051
0380.40  000.804  0000005  000.560  0000006  003.835  0000032
0390.38  000.799  0000006  000.564  0000007  003.830  0000036
0400.40  000.792  0000005  000.562  0000005  003.799  0000026
0410.42  000.794  0000009  000.560  0000005  003.801  0000039
0420.43  000.797  0000009  000.568  0000009  003.822  0000047
0430.43  000.802  0000010  000.562  0000003  003.829  0000041
0440.45  000.811  0000012  000.577  0000012  003.855  0000050
0450.47  000.815  0000010  000.579  0000007  003.860  0000041
0460.47  000.817  0000009  000.573  0000003  003.853  0000035
0470.47  000.818  0000009  000.576  0000007  003.849  0000037
0480.48  000.818  0000008  000.574  0000005  003.852  0000040
0490.50  000.820  0000009  000.577  0000007  003.859  0000042
0500.52  000.823  0000010  000.571  0000003  003.874  0000046
0510.52  000.825  0000009  000.568  0000004  003.882  0000043
0520.53  000.832  0000012  000.567  0000005  003.902  0000049
0530.55  000.827  0000006  000.562  0000003  003.888  0000032
0540.57  000.827  0000008  000.562  0000006  003.890  0000040
0550.57  000.832  0000011  000.574  0000012  003.912  0000051
0560.57  000.838  0000012  000.569  0000003  003.939  0000054
0570.58  000.832  0000005  000.563  0000002  003.926  0000032
0580.60  000.841  0000013  000.558  0000003  003.946  0000051
0590.62  000.840  0000008  000.559  0000006  003.955  0000045
0600.63  000.837  0000007  000.554  0000003  003.941  0000031
0610.62  000.842  0000011  000.557  0000007  003.973  0000059
Group 1 Stopped 1/19/2018  04:06:14
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0615.90  000.839  000517  000.557  000343  003.965  002442
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

