C:\Users\RaDeCC\Desktop\FRidge\4-saps009-4000A-180513-bw.txt
Start Time 5/13/2018  20:43:07
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.200  0000002  001.400  0000014
0020.02  000.100  0000001  000.100  0000000  001.099  0000008
0030.03  000.100  0000001  000.166  0000003  001.165  0000013
0040.03  000.075  0000000  000.200  0000003  001.149  0000011
0050.05  000.060  0000000  000.200  0000002  001.139  0000011
0060.07  000.050  0000000  000.216  0000003  001.282  0000020
0070.07  000.043  0000000  000.214  0000002  001.313  0000015
0080.08  000.037  0000000  000.200  0000001  001.261  0000009
0090.08  000.033  0000000  000.211  0000003  001.377  0000023
0100.10  000.030  0000000  000.210  0000002  001.349  0000011
0110.10  000.027  0000000  000.218  0000003  001.353  0000014
0120.13  000.033  0000001  000.225  0000003  001.382  0000017
0130.13  000.031  0000000  000.238  0000004  001.429  0000020
0140.15  000.029  0000000  000.228  0000001  001.427  0000014
0150.17  000.027  0000000  000.220  0000001  001.398  0000010
0160.17  000.025  0000000  000.243  0000006  001.461  0000024
0170.18  000.024  0000000  000.253  0000004  001.516  0000024
0180.18  000.022  0000000  000.239  0000000  001.487  0000010
0190.20  000.021  0000000  000.231  0000001  001.472  0000012
0200.22  000.025  0000001  000.230  0000002  001.488  0000018
0210.22  000.029  0000001  000.238  0000004  001.517  0000021
0220.23  000.027  0000000  000.227  0000000  001.507  0000013
0230.23  000.026  0000000  000.230  0000003  001.555  0000026
0240.25  000.029  0000001  000.241  0000005  001.627  0000033
0250.27  000.032  0000001  000.232  0000000  001.674  0000028
0260.27  000.038  0000002  000.238  0000004  001.744  0000035
0270.28  000.037  0000000  000.233  0000001  001.746  0000018
0280.30  000.039  0000001  000.232  0000002  001.791  0000030
0290.30  000.038  0000000  000.231  0000002  001.808  0000023
0300.30  000.037  0000000  000.236  0000004  001.822  0000022
0310.32  000.035  0000000  000.235  0000002  001.859  0000030
0320.35  000.034  0000000  000.243  0000005  001.867  0000021
0330.35  000.039  0000002  000.242  0000002  001.883  0000024
0340.35  000.038  0000000  000.247  0000004  001.922  0000032
0350.35  000.037  0000000  000.251  0000004  001.941  0000026
0360.38  000.042  0000002  000.247  0000001  001.959  0000026
0370.38  000.040  0000000  000.254  0000005  002.001  0000035
0380.40  000.039  0000000  000.247  0000000  001.998  0000019
0390.40  000.038  0000000  000.246  0000002  002.034  0000034
0400.42  000.037  0000000  000.247  0000003  002.055  0000029
0410.42  000.039  0000001  000.246  0000002  002.071  0000027
0420.45  000.038  0000000  000.247  0000003  002.112  0000038
0430.45  000.037  0000000  000.244  0000001  002.142  0000034
0440.45  000.036  0000000  000.245  0000003  002.173  0000035
0450.47  000.036  0000000  000.249  0000004  002.209  0000038
0460.48  000.035  0000000  000.256  0000006  002.252  0000042
0470.48  000.034  0000000  000.261  0000005  002.287  0000039
0480.50  000.033  0000000  000.258  0000001  002.312  0000035
0490.52  000.033  0000000  000.263  0000005  002.342  0000038
0500.52  000.032  0000000  000.266  0000004  002.374  0000039
0510.53  000.031  0000000  000.266  0000003  002.411  0000043
0520.55  000.031  0000000  000.263  0000001  002.430  0000034
0530.57  000.030  0000000  000.270  0000006  002.475  0000048
0540.57  000.031  0000001  000.268  0000002  002.510  0000044
0550.57  000.031  0000000  000.267  0000002  002.523  0000032
0560.58  000.030  0000000  000.269  0000004  002.560  0000046
0570.60  000.032  0000001  000.275  0000006  002.596  0000046
0580.62  000.033  0000001  000.282  0000007  002.628  0000045
0590.62  000.034  0000001  000.284  0000004  002.653  0000041
Group 2 Stopped 5/14/2018  06:42:43
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0599.60  000.033  000020  000.285  000171  002.667  001599
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

