C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-4000B-180118-bw.txt
Start Time 1/18/2018  17:52:30
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.601  0000006  000.301  0000003  002.604  0000026
0020.02  000.450  0000003  000.250  0000002  002.448  0000023
0030.03  000.366  0000002  000.266  0000003  002.164  0000016
0040.03  000.400  0000005  000.250  0000002  002.273  0000026
0050.05  000.360  0000002  000.280  0000004  002.258  0000022
0060.07  000.333  0000002  000.250  0000001  002.064  0000011
0070.08  000.328  0000003  000.271  0000004  002.169  0000028
0080.08  000.350  0000005  000.250  0000001  002.185  0000023
0090.10  000.333  0000002  000.233  0000001  002.075  0000012
0100.10  000.370  0000007  000.220  0000001  002.098  0000023
0110.12  000.372  0000004  000.227  0000003  002.071  0000018
0120.12  000.366  0000003  000.225  0000002  002.065  0000020
0130.15  000.369  0000004  000.223  0000002  002.113  0000027
0140.15  000.378  0000005  000.235  0000004  002.141  0000025
0150.15  000.360  0000001  000.220  0000000  002.065  0000010
0160.17  000.356  0000003  000.219  0000002  002.085  0000024
0170.17  000.347  0000002  000.217  0000002  002.069  0000018
0180.18  000.344  0000003  000.216  0000002  002.103  0000027
0190.20  000.336  0000002  000.210  0000001  002.124  0000025
0200.20  000.335  0000003  000.210  0000002  002.103  0000017
0210.23  000.342  0000005  000.209  0000002  002.140  0000029
0220.23  000.359  0000007  000.204  0000001  002.152  0000024
0230.25  000.356  0000003  000.200  0000001  002.167  0000025
0240.25  000.345  0000001  000.191  0000000  002.164  0000021
0250.27  000.336  0000001  000.192  0000002  002.150  0000018
0260.27  000.346  0000006  000.196  0000003  002.205  0000036
0270.28  000.333  0000000  000.200  0000003  002.216  0000025
0280.28  000.332  0000003  000.193  0000000  002.216  0000022
0290.30  000.327  0000002  000.193  0000002  002.215  0000022
0300.32  000.330  0000004  000.193  0000002  002.238  0000029
0310.33  000.332  0000004  000.200  0000004  002.272  0000033
0320.33  000.322  0000000  000.203  0000003  002.291  0000029
0330.35  000.333  0000007  000.212  0000005  002.346  0000041
0340.35  000.335  0000004  000.214  0000003  002.380  0000035
0350.37  000.331  0000002  000.220  0000004  002.389  0000027
0360.38  000.330  0000003  000.219  0000002  002.400  0000028
0370.40  000.327  0000002  000.221  0000003  002.389  0000020
0380.40  000.331  0000005  000.223  0000003  002.419  0000035
0390.40  000.333  0000004  000.236  0000007  002.495  0000054
0400.42  000.335  0000004  000.232  0000001  002.507  0000030
0410.43  000.334  0000003  000.231  0000002  002.524  0000032
0420.45  000.340  0000006  000.240  0000006  002.566  0000043
0430.47  000.341  0000004  000.249  0000006  002.618  0000048
0440.47  000.345  0000005  000.252  0000004  002.652  0000041
0450.48  000.340  0000001  000.246  0000000  002.646  0000024
0460.48  000.339  0000003  000.254  0000006  002.671  0000038
0470.50  000.340  0000004  000.251  0000001  002.697  0000039
0480.50  000.339  0000003  000.260  0000007  002.722  0000039
0490.52  000.340  0000004  000.259  0000002  002.748  0000040
0500.53  000.344  0000005  000.264  0000005  002.789  0000048
0510.55  000.339  0000001  000.272  0000007  002.811  0000039
0520.55  000.334  0000001  000.273  0000003  002.816  0000031
0530.57  000.339  0000006  000.273  0000003  002.846  0000044
0540.57  000.340  0000004  000.270  0000001  002.860  0000036
0550.58  000.336  0000001  000.280  0000008  002.871  0000035
0560.60  000.335  0000003  000.280  0000003  002.870  0000028
0570.60  000.335  0000003  000.279  0000002  002.892  0000041
0580.62  000.334  0000003  000.289  0000009  002.911  0000040
0590.63  000.335  0000004  000.290  0000003  002.939  0000046
0600.65  000.333  0000002  000.290  0000003  002.973  0000050
0610.65  000.328  0000000  000.290  0000003  002.985  0000037
Group 2 Stopped 1/19/2018  04:06:17
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0613.78  000.327  000201  000.292  000179  002.990  001835
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

