C:\Users\RaDeCC\Desktop\FRidge\2-Saps009-3400A-180125-thor.txt
Start Time 1/25/2018  01:17:53
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.100  0000001  001.200  0000012
0020.02  000.000  0000000  000.050  0000000  001.549  0000019
0030.02  000.000  0000000  000.133  0000003  001.566  0000016
0040.03  000.025  0000001  000.100  0000000  001.524  0000014
0050.05  000.020  0000000  000.100  0000001  001.558  0000017
0060.05  000.033  0000001  000.100  0000001  001.582  0000017
0070.07  000.029  0000000  000.114  0000002  001.641  0000020
0080.08  000.025  0000000  000.125  0000002  001.673  0000019
0090.08  000.022  0000000  000.122  0000001  001.610  0000011
0100.08  000.020  0000000  000.120  0000001  001.549  0000010
0110.10  000.018  0000000  000.118  0000001  001.580  0000019
0120.12  000.017  0000000  000.117  0000001  001.565  0000014
0130.13  000.023  0000001  000.108  0000000  001.545  0000013
0140.15  000.021  0000000  000.100  0000000  001.541  0000015
0150.15  000.020  0000000  000.100  0000001  001.552  0000017
0160.17  000.025  0000001  000.106  0000002  001.536  0000013
0170.17  000.024  0000000  000.118  0000003  001.581  0000023
0180.17  000.028  0000001  000.122  0000002  001.632  0000025
0190.18  000.026  0000000  000.137  0000004  001.688  0000027
0200.18  000.025  0000000  000.145  0000003  001.698  0000019
0210.22  000.029  0000001  000.138  0000000  001.708  0000019
0220.23  000.032  0000001  000.141  0000002  001.698  0000015
0230.23  000.039  0000002  000.143  0000002  001.772  0000034
0240.25  000.037  0000000  000.137  0000000  001.757  0000014
0250.25  000.040  0000001  000.144  0000003  001.798  0000028
0260.25  000.038  0000000  000.161  0000006  001.841  0000029
0270.28  000.041  0000001  000.166  0000003  001.876  0000028
0280.28  000.043  0000001  000.168  0000002  001.895  0000024
0290.28  000.048  0000002  000.162  0000000  001.905  0000022
0300.32  000.050  0000001  000.157  0000000  001.941  0000030
0310.32  000.052  0000001  000.151  0000000  001.930  0000016
0320.33  000.050  0000000  000.150  0000001  001.920  0000016
0330.35  000.054  0000002  000.148  0000001  001.949  0000029
0340.35  000.053  0000000  000.153  0000003  001.977  0000029
0350.37  000.051  0000000  000.157  0000003  001.975  0000019
0360.37  000.050  0000000  000.155  0000001  001.962  0000015
0370.38  000.051  0000001  000.154  0000001  002.006  0000036
0380.40  000.053  0000001  000.158  0000003  002.014  0000023
0390.40  000.051  0000000  000.159  0000002  002.024  0000024
0400.42  000.052  0000001  000.160  0000002  002.038  0000026
0410.43  000.051  0000000  000.163  0000003  002.054  0000027
0420.43  000.052  0000001  000.166  0000003  002.072  0000028
0430.45  000.053  0000001  000.165  0000001  002.075  0000022
0440.45  000.052  0000000  000.168  0000003  002.093  0000029
0450.47  000.051  0000000  000.169  0000002  002.098  0000023
0460.48  000.050  0000000  000.169  0000002  002.104  0000024
0470.48  000.053  0000002  000.166  0000000  002.151  0000043
0480.50  000.052  0000000  000.169  0000003  002.173  0000032
0490.50  000.051  0000000  000.167  0000001  002.194  0000032
0500.52  000.050  0000000  000.166  0000001  002.222  0000036
0510.53  000.049  0000000  000.166  0000002  002.235  0000029
0520.53  000.048  0000000  000.169  0000003  002.261  0000036
0530.55  000.047  0000000  000.168  0000001  002.286  0000036
0540.57  000.046  0000000  000.168  0000002  002.311  0000036
0550.57  000.047  0000001  000.165  0000000  002.319  0000028
0560.58  000.046  0000000  000.164  0000001  002.321  0000024
0570.58  000.046  0000000  000.168  0000004  002.322  0000024
0580.60  000.045  0000000  000.165  0000000  002.325  0000025
Group 5 Stopped 1/25/2018  11:05:20
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0587.45  000.044  000026  000.170  000100  002.358  001385
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

