C:\Users\RaDeCC\Desktop\FRidge\2-saps009-3400b-180127-thor.txt
Start Time 1/28/2018  00:53:58
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.200  0000002  001.300  0000013
0020.02  000.000  0000000  000.100  0000000  000.999  0000007
0030.02  000.000  0000000  000.067  0000000  001.033  0000011
0040.03  000.000  0000000  000.050  0000000  000.999  0000009
0050.05  000.000  0000000  000.100  0000003  000.939  0000007
0060.05  000.000  0000000  000.100  0000001  000.933  0000009
0070.07  000.014  0000001  000.100  0000001  000.942  0000010
0080.10  000.025  0000001  000.112  0000002  001.011  0000015
0090.10  000.022  0000000  000.111  0000001  001.021  0000011
0100.10  000.020  0000000  000.100  0000000  000.979  0000006
0110.12  000.018  0000000  000.118  0000003  001.053  0000018
0120.13  000.017  0000000  000.133  0000003  001.107  0000017
0130.13  000.015  0000000  000.131  0000001  001.076  0000007
0140.15  000.014  0000000  000.121  0000000  001.085  0000012
0150.17  000.013  0000000  000.120  0000001  001.079  0000010
0160.17  000.012  0000000  000.131  0000003  001.093  0000013
0170.18  000.012  0000000  000.129  0000001  001.105  0000013
0180.20  000.017  0000001  000.128  0000001  001.099  0000010
0190.20  000.021  0000001  000.126  0000001  001.109  0000013
0200.22  000.020  0000000  000.125  0000001  001.139  0000017
0210.23  000.019  0000000  000.124  0000001  001.137  0000011
0220.23  000.018  0000000  000.118  0000000  001.158  0000016
0230.25  000.017  0000000  000.113  0000000  001.151  0000010
0240.27  000.017  0000000  000.117  0000002  001.157  0000013
0250.27  000.016  0000000  000.124  0000003  001.171  0000015
0260.28  000.019  0000001  000.119  0000000  001.214  0000023
0270.30  000.018  0000000  000.118  0000001  001.217  0000013
0280.30  000.018  0000000  000.121  0000002  001.245  0000020
0290.32  000.017  0000000  000.121  0000001  001.257  0000016
0300.32  000.017  0000000  000.117  0000000  001.262  0000014
0310.33  000.016  0000000  000.116  0000001  001.241  0000006
0320.33  000.016  0000000  000.119  0000002  001.264  0000020
0330.35  000.018  0000001  000.118  0000001  001.280  0000018
0340.37  000.018  0000000  000.123  0000003  001.313  0000024
0350.38  000.017  0000000  000.123  0000001  001.327  0000018
0360.37  000.017  0000000  000.119  0000000  001.318  0000010
0370.40  000.016  0000000  000.116  0000000  001.347  0000024
0380.40  000.016  0000000  000.118  0000002  001.375  0000024
0390.40  000.015  0000000  000.118  0000001  001.391  0000020
0400.42  000.015  0000000  000.122  0000003  001.401  0000018
0410.43  000.015  0000000  000.122  0000001  001.420  0000022
0420.43  000.014  0000000  000.119  0000000  001.437  0000021
0430.45  000.014  0000000  000.116  0000000  001.443  0000017
0440.47  000.016  0000001  000.114  0000000  001.433  0000010
0450.48  000.016  0000000  000.115  0000002  001.452  0000023
0460.48  000.015  0000000  000.115  0000001  001.448  0000013
0470.50  000.015  0000000  000.113  0000000  001.456  0000018
0480.52  000.015  0000000  000.117  0000003  001.480  0000026
0490.50  000.014  0000000  000.120  0000003  001.482  0000016
0500.52  000.014  0000000  000.122  0000002  001.498  0000023
0510.53  000.014  0000000  000.121  0000001  001.522  0000027
0520.55  000.013  0000000  000.123  0000002  001.525  0000017
0530.55  000.015  0000001  000.121  0000000  001.536  0000021
0540.57  000.017  0000001  000.120  0000001  001.547  0000021
0550.58  000.018  0000001  000.125  0000004  001.564  0000025
0560.60  000.018  0000000  000.123  0000000  001.572  0000020
0570.60  000.018  0000000  000.126  0000003  001.602  0000033
0580.60  000.019  0000001  000.126  0000001  001.604  0000017
0590.63  000.020  0000001  000.124  0000000  001.612  0000021
0600.62  000.020  0000000  000.122  0000000  001.612  0000016
Group 5 Stopped 1/28/2018  10:56:32
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0602.57  000.020  000012  000.121  000073  001.616  000974
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

