C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3600B-180118-iron.txt
Start Time 1/18/2018  18:01:42
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.300  0000003  000.300  0000003  002.700  0000027
0020.03  000.499  0000007  000.250  0000002  003.195  0000037
0030.03  000.466  0000004  000.400  0000007  003.296  0000035
0040.05  000.474  0000005  000.350  0000002  003.296  0000033
0050.07  000.439  0000003  000.439  0000008  003.356  0000036
0060.07  000.466  0000006  000.433  0000004  003.463  0000040
0070.08  000.414  0000001  000.400  0000002  003.296  0000023
0080.10  000.424  0000005  000.412  0000005  003.383  0000040
0090.12  000.444  0000006  000.388  0000002  003.396  0000035
0100.12  000.439  0000004  000.390  0000004  003.396  0000034
0110.12  000.472  0000008  000.409  0000006  003.514  0000047
0120.13  000.458  0000003  000.425  0000006  003.504  0000034
0130.15  000.476  0000007  000.438  0000006  003.550  0000041
0140.15  000.492  0000007  000.442  0000005  003.603  0000043
0150.17  000.473  0000002  000.466  0000008  003.603  0000036
0160.17  000.468  0000004  000.450  0000002  003.590  0000034
0170.18  000.488  0000008  000.458  0000006  003.631  0000043
0180.18  000.488  0000005  000.472  0000007  003.657  0000041
0190.22  000.489  0000005  000.499  0000010  003.811  0000066
0200.22  000.489  0000005  000.499  0000005  003.866  0000049
0210.23  000.476  0000002  000.499  0000005  003.877  0000041
0220.23  000.486  0000007  000.518  0000009  003.959  0000057
0230.25  000.495  0000007  000.508  0000003  004.009  0000051
0240.27  000.504  0000007  000.491  0000001  004.025  0000044
0250.27  000.503  0000005  000.499  0000007  004.052  0000047
0260.28  000.503  0000005  000.499  0000005  004.053  0000041
0270.30  000.514  0000008  000.511  0000008  004.099  0000053
0280.32  000.510  0000004  000.514  0000006  004.142  0000053
0290.32  000.493  0000000  000.510  0000004  004.130  0000038
0300.33  000.483  0000002  000.503  0000003  004.102  0000033
0310.33  000.480  0000004  000.512  0000008  004.150  0000056
0320.35  000.478  0000004  000.509  0000004  004.174  0000049
0330.35  000.472  0000003  000.502  0000003  004.153  0000035
0340.37  000.467  0000003  000.508  0000007  004.193  0000055
0350.37  000.471  0000006  000.519  0000009  004.227  0000054
0360.38  000.486  0000010  000.516  0000004  004.245  0000049
0370.40  000.481  0000003  000.521  0000007  004.287  0000058
0380.42  000.476  0000003  000.520  0000005  004.303  0000049
0390.43  000.469  0000002  000.525  0000007  004.329  0000053
0400.43  000.464  0000003  000.539  0000011  004.353  0000053
0410.43  000.468  0000006  000.536  0000004  004.381  0000055
0420.45  000.466  0000004  000.535  0000005  004.402  0000053
0430.47  000.462  0000003  000.539  0000007  004.423  0000053
0440.48  000.463  0000005  000.545  0000008  004.491  0000074
0450.50  000.457  0000002  000.548  0000007  004.508  0000053
0460.50  000.456  0000004  000.549  0000006  004.549  0000064
0470.50  000.457  0000005  000.542  0000002  004.572  0000056
0480.52  000.456  0000004  000.543  0000006  004.589  0000054
0490.52  000.463  0000008  000.550  0000009  004.654  0000078
0500.53  000.464  0000005  000.547  0000004  004.659  0000049
0510.55  000.460  0000003  000.546  0000005  004.679  0000057
0520.57  000.461  0000005  000.553  0000009  004.724  0000070
0530.58  000.454  0000001  000.556  0000007  004.742  0000057
0540.58  000.455  0000005  000.568  0000012  004.789  0000073
0550.58  000.452  0000003  000.567  0000005  004.788  0000047
0560.60  000.451  0000004  000.569  0000007  004.825  0000069
0570.62  000.452  0000005  000.571  0000007  004.872  0000075
0580.63  000.450  0000003  000.582  0000012  004.912  0000072
0590.63  000.447  0000003  000.581  0000005  004.915  0000051
0600.65  000.451  0000007  000.576  0000003  004.960  0000076
Group 6 Stopped 1/19/2018  04:06:27
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0604.75  000.450  000272  000.577  000349  004.969  003005
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

