C:\Users\RaDeCC\Desktop\FRidge\2-saps009-3800b-180127-he.txt
Start Time 1/28/2018  00:44:21
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.600  0000006  000.200  0000002  002.300  0000023
0020.02  000.450  0000003  000.250  0000003  002.048  0000018
0030.03  000.333  0000001  000.433  0000008  002.364  0000030
0040.03  000.450  0000008  000.375  0000002  002.523  0000030
0050.05  000.440  0000004  000.420  0000006  002.657  0000032
0060.05  000.466  0000006  000.400  0000003  002.614  0000024
0070.07  000.471  0000005  000.428  0000006  002.669  0000030
0080.08  000.499  0000007  000.387  0000001  002.597  0000021
0090.10  000.499  0000005  000.444  0000009  002.708  0000036
0100.10  000.480  0000003  000.440  0000004  002.627  0000019
0110.12  000.490  0000006  000.409  0000001  002.606  0000024
0120.12  000.483  0000004  000.400  0000003  002.564  0000021
0130.13  000.453  0000001  000.384  0000002  002.467  0000013
0140.13  000.442  0000003  000.385  0000004  002.476  0000026
0150.15  000.433  0000003  000.373  0000002  002.424  0000017
0160.17  000.437  0000005  000.368  0000003  002.454  0000029
0170.17  000.417  0000001  000.376  0000005  002.415  0000018
0180.18  000.411  0000003  000.366  0000002  002.364  0000015
0190.20  000.415  0000005  000.389  0000008  002.397  0000030
0200.22  000.415  0000004  000.380  0000002  002.402  0000025
0210.22  000.419  0000005  000.371  0000002  002.417  0000027
0220.23  000.440  0000009  000.363  0000002  002.438  0000029
0230.23  000.443  0000005  000.374  0000006  002.480  0000034
0240.25  000.437  0000003  000.366  0000002  002.439  0000015
0250.25  000.432  0000003  000.360  0000002  002.418  0000019
0260.27  000.426  0000003  000.353  0000002  002.401  0000020
0270.28  000.425  0000004  000.359  0000005  002.405  0000025
0280.28  000.428  0000005  000.346  0000000  002.376  0000016
0290.30  000.427  0000004  000.351  0000005  002.394  0000029
0300.32  000.433  0000006  000.346  0000002  002.391  0000023
0310.32  000.429  0000003  000.345  0000003  002.398  0000026
0320.33  000.421  0000002  000.350  0000005  002.391  0000022
0330.35  000.415  0000002  000.354  0000005  002.388  0000023
0340.37  000.420  0000006  000.347  0000001  002.380  0000021
0350.35  000.414  0000002  000.343  0000002  002.372  0000021
0360.37  000.419  0000006  000.341  0000003  002.375  0000025
0370.38  000.418  0000004  000.340  0000003  002.362  0000019
0380.38  000.410  0000001  000.339  0000003  002.340  0000015
0390.40  000.407  0000003  000.336  0000002  002.316  0000014
0400.42  000.402  0000002  000.327  0000000  002.298  0000016
0410.43  000.397  0000002  000.331  0000005  002.290  0000020
0420.43  000.402  0000006  000.328  0000002  002.293  0000024
0430.45  000.397  0000002  000.330  0000004  002.284  0000019
0440.47  000.390  0000001  000.331  0000004  002.268  0000016
0450.47  000.388  0000003  000.335  0000005  002.271  0000024
0460.48  000.389  0000004  000.332  0000002  002.261  0000018
0470.50  000.387  0000003  000.332  0000003  002.244  0000015
0480.50  000.393  0000007  000.325  0000000  002.248  0000024
0490.50  000.387  0000001  000.324  0000003  002.234  0000016
0500.52  000.392  0000006  000.320  0000001  002.236  0000023
0510.53  000.390  0000003  000.321  0000004  002.245  0000027
0520.53  000.392  0000005  000.321  0000003  002.244  0000022
0530.55  000.392  0000004  000.319  0000002  002.234  0000017
0540.57  000.396  0000006  000.320  0000004  002.237  0000024
0550.58  000.407  0000010  000.321  0000004  002.278  0000045
0560.58  000.403  0000002  000.319  0000002  002.265  0000016
0570.60  000.405  0000005  000.319  0000003  002.270  0000025
0580.62  000.406  0000005  000.317  0000002  002.268  0000022
0590.62  000.408  0000005  000.313  0000001  002.259  0000017
0600.63  000.410  0000005  000.310  0000001  002.256  0000021
0610.63  000.414  0000007  000.316  0000007  002.276  0000035
Group 1 Stopped 1/28/2018  10:56:25
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0612.07  000.415  000254  000.315  000193  002.274  001392
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

