C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-4100A-180118-loki.txt
Start Time 1/18/2018  05:59:08
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.400  0000004  000.500  0000005  002.400  0000024
0020.02  000.350  0000003  000.400  0000003  002.248  0000021
0030.02  000.300  0000002  000.300  0000001  001.999  0000015
0040.03  000.300  0000003  000.325  0000004  002.073  0000023
0050.03  000.340  0000005  000.320  0000003  002.079  0000021
0060.05  000.383  0000006  000.283  0000001  002.231  0000030
0070.07  000.400  0000005  000.271  0000002  002.198  0000020
0080.08  000.475  0000010  000.250  0000001  002.298  0000030
0090.08  000.522  0000009  000.278  0000005  002.453  0000037
0100.10  000.539  0000007  000.290  0000004  002.488  0000028
0110.12  000.545  0000006  000.318  0000006  002.579  0000035
0120.12  000.549  0000006  000.316  0000003  002.597  0000028
0130.13  000.584  0000010  000.338  0000006  002.774  0000049
0140.13  000.585  0000006  000.335  0000003  002.804  0000032
0150.15  000.559  0000002  000.340  0000004  002.811  0000029
0160.15  000.593  0000011  000.337  0000003  002.885  0000040
0170.17  000.582  0000004  000.347  0000005  002.915  0000034
0180.18  000.572  0000004  000.339  0000002  002.908  0000028
0190.18  000.557  0000003  000.363  0000008  002.981  0000043
0200.22  000.559  0000006  000.350  0000001  002.982  0000030
0210.20  000.547  0000003  000.352  0000004  002.983  0000030
0220.22  000.577  0000012  000.350  0000003  003.029  0000040
0230.25  000.569  0000004  000.352  0000004  003.058  0000037
0240.23  000.558  0000003  000.362  0000006  003.105  0000042
0250.25  000.551  0000004  000.356  0000002  003.137  0000039
0260.27  000.557  0000007  000.353  0000003  003.178  0000042
0270.27  000.548  0000003  000.363  0000006  003.201  0000038
0280.30  000.546  0000005  000.357  0000002  003.182  0000027
0290.30  000.534  0000002  000.362  0000005  003.179  0000031
0300.32  000.533  0000005  000.356  0000002  003.200  0000038
0310.32  000.519  0000001  000.367  0000007  003.210  0000035
0320.32  000.515  0000004  000.375  0000006  003.219  0000035
0330.33  000.524  0000008  000.378  0000005  003.266  0000048
0340.35  000.523  0000005  000.376  0000003  003.273  0000035
0350.37  000.514  0000002  000.374  0000003  003.282  0000036
0360.37  000.513  0000005  000.380  0000006  003.341  0000054
0370.38  000.513  0000005  000.391  0000008  003.394  0000053
0380.40  000.518  0000007  000.389  0000003  003.452  0000056
0390.42  000.512  0000003  000.394  0000006  003.504  0000055
0400.40  000.519  0000008  000.392  0000003  003.541  0000050
0410.42  000.526  0000008  000.392  0000004  003.579  0000051
0420.43  000.528  0000006  000.388  0000002  003.620  0000053
0430.45  000.532  0000007  000.386  0000003  003.659  0000053
0440.45  000.538  0000008  000.391  0000006  003.696  0000053
0450.47  000.535  0000004  000.402  0000009  003.741  0000057
0460.48  000.536  0000006  000.404  0000005  003.755  0000044
0470.48  000.533  0000004  000.402  0000003  003.773  0000046
0480.50  000.541  0000009  000.408  0000007  003.804  0000053
0490.52  000.542  0000006  000.408  0000004  003.829  0000050
0500.52  000.541  0000005  000.414  0000007  003.864  0000056
0510.53  000.537  0000003  000.423  0000009  003.904  0000059
0520.53  000.534  0000004  000.428  0000007  003.948  0000062
0530.55  000.533  0000005  000.434  0000007  003.969  0000051
0540.57  000.527  0000002  000.435  0000005  003.981  0000046
0550.57  000.529  0000006  000.440  0000007  004.005  0000053
0560.57  000.523  0000002  000.441  0000005  004.017  0000047
Group 3 Stopped 1/18/2018  15:24:29
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0565.35  000.531  000300  000.442  000250  004.047  002288
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

