C:\Users\RaDeCC\Desktop\FRidge\4-saps009-4100B-180514-loki.txt
Start Time 5/14/2018  08:46:34
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.100  0000001  000.501  0000005  001.903  0000019
0020.02  000.050  0000000  000.350  0000002  001.499  0000011
0030.02  000.133  0000003  000.233  0000000  001.466  0000014
0040.03  000.100  0000000  000.300  0000005  001.574  0000019
0050.05  000.080  0000000  000.300  0000003  001.479  0000011
0060.05  000.100  0000002  000.300  0000003  001.432  0000012
0070.05  000.086  0000000  000.314  0000004  001.428  0000014
0080.07  000.075  0000000  000.362  0000007  001.486  0000019
0090.08  000.078  0000001  000.366  0000004  001.599  0000025
0100.10  000.080  0000001  000.410  0000008  001.778  0000034
0110.10  000.082  0000001  000.409  0000004  001.898  0000031
0120.10  000.075  0000000  000.416  0000005  001.982  0000029
0130.12  000.077  0000001  000.430  0000006  002.075  0000032
0140.13  000.071  0000000  000.421  0000003  002.091  0000023
0150.13  000.067  0000000  000.433  0000006  002.165  0000032
0160.15  000.062  0000000  000.425  0000003  002.210  0000029
0170.17  000.059  0000000  000.441  0000007  002.298  0000037
0180.17  000.072  0000003  000.444  0000005  002.359  0000034
0190.18  000.068  0000000  000.452  0000006  002.456  0000042
0200.18  000.065  0000000  000.445  0000003  002.523  0000038
0210.20  000.067  0000001  000.447  0000005  002.588  0000039
0220.20  000.068  0000001  000.450  0000005  002.661  0000042
0230.22  000.074  0000002  000.452  0000005  002.737  0000044
0240.23  000.071  0000000  000.462  0000007  002.818  0000047
0250.25  000.068  0000000  000.480  0000009  002.921  0000054
0260.25  000.069  0000001  000.492  0000008  003.012  0000053
0270.27  000.070  0000001  000.503  0000008  003.030  0000035
0280.27  000.068  0000000  000.503  0000005  003.058  0000038
0290.28  000.069  0000001  000.493  0000002  003.083  0000038
0300.30  000.067  0000000  000.493  0000005  003.114  0000040
0310.30  000.068  0000001  000.490  0000004  003.174  0000050
0320.32  000.072  0000002  000.496  0000007  003.228  0000049
0330.32  000.073  0000001  000.503  0000007  003.267  0000045
0340.35  000.071  0000000  000.502  0000005  003.294  0000042
0350.33  000.071  0000001  000.505  0000006  003.311  0000039
0360.37  000.069  0000000  000.508  0000006  003.358  0000050
0370.37  000.068  0000000  000.497  0000001  003.345  0000029
0380.37  000.068  0000001  000.502  0000007  003.402  0000055
0390.40  000.067  0000000  000.505  0000006  003.466  0000059
0400.40  000.067  0000001  000.502  0000004  003.467  0000035
0410.42  000.068  0000001  000.502  0000005  003.518  0000056
0420.42  000.069  0000001  000.507  0000007  003.582  0000062
0430.43  000.072  0000002  000.506  0000005  003.659  0000069
0440.45  000.070  0000000  000.515  0000009  003.726  0000066
0450.45  000.069  0000000  000.508  0000002  003.770  0000057
0460.47  000.067  0000000  000.513  0000007  003.805  0000054
0470.47  000.068  0000001  000.519  0000008  003.871  0000069
0480.48  000.067  0000000  000.527  0000009  003.934  0000069
0490.50  000.065  0000000  000.532  0000008  003.976  0000060
0500.52  000.066  0000001  000.527  0000003  004.030  0000067
0510.52  000.065  0000000  000.541  0000012  004.113  0000083
0520.52  000.065  0000001  000.544  0000007  004.155  0000063
0530.53  000.064  0000000  000.547  0000007  004.209  0000070
0540.55  000.063  0000000  000.557  0000011  004.279  0000080
0550.55  000.062  0000000  000.561  0000008  004.337  0000075
0560.57  000.061  0000000  000.562  0000006  004.363  0000058
0570.57  000.060  0000000  000.563  0000006  004.392  0000060
0580.58  000.064  0000003  000.565  0000007  004.440  0000072
0590.60  000.066  0000002  000.562  0000004  004.504  0000082
Group 3 Stopped 5/14/2018  18:45:07
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0598.55  000.068  000041  000.565  000338  004.544  002720
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

