C:\Users\RaDeCC\Desktop\FRidge\5-saps009-4000A-190815-capn.txt
Start Time 8/15/2019  21:42:45
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.500  0000005  001.900  0000019
0020.00  000.000  0000000  000.300  0000001  001.450  0000010
0030.02  000.033  0000001  000.333  0000004  001.466  0000015
0040.03  000.025  0000000  000.375  0000005  001.624  0000021
0050.03  000.020  0000000  000.320  0000001  001.479  0000009
0060.05  000.017  0000000  000.333  0000004  001.549  0000019
0070.07  000.014  0000000  000.314  0000002  001.470  0000010
0080.07  000.012  0000000  000.350  0000006  001.536  0000020
0090.07  000.011  0000000  000.355  0000004  001.599  0000021
0100.10  000.010  0000000  000.350  0000003  001.598  0000016
0110.10  000.027  0000002  000.345  0000003  001.662  0000023
0120.10  000.025  0000000  000.325  0000001  001.615  0000011
0130.13  000.023  0000000  000.323  0000003  001.629  0000018
0140.13  000.021  0000000  000.335  0000005  001.684  0000024
0150.13  000.027  0000001  000.346  0000005  001.732  0000024
0160.15  000.025  0000000  000.337  0000002  001.680  0000009
0170.17  000.024  0000000  000.323  0000001  001.669  0000015
0180.17  000.022  0000000  000.333  0000005  001.704  0000023
0190.17  000.026  0000001  000.337  0000004  001.735  0000023
0200.20  000.030  0000001  000.350  0000006  001.783  0000027
0210.20  000.029  0000000  000.362  0000006  001.822  0000026
0220.20  000.027  0000000  000.354  0000002  001.848  0000024
0230.23  000.026  0000000  000.352  0000003  001.859  0000021
0240.23  000.029  0000001  000.345  0000002  001.919  0000033
0250.23  000.028  0000000  000.352  0000005  001.962  0000030
0260.25  000.031  0000001  000.350  0000003  001.987  0000026
0270.27  000.030  0000000  000.344  0000002  001.994  0000022
0280.27  000.029  0000000  000.346  0000004  002.044  0000034
0290.27  000.028  0000000  000.345  0000003  002.088  0000033
0300.30  000.027  0000000  000.340  0000002  002.121  0000031
0310.30  000.029  0000001  000.351  0000007  002.179  0000039
0320.30  000.037  0000003  000.353  0000004  002.226  0000037
0330.33  000.036  0000000  000.366  0000008  002.295  0000045
0340.33  000.035  0000000  000.394  0000013  002.354  0000043
0350.33  000.037  0000001  000.394  0000004  002.375  0000031
0360.35  000.036  0000000  000.400  0000006  002.400  0000033
0370.37  000.035  0000000  000.394  0000002  002.435  0000037
0380.37  000.034  0000000  000.389  0000002  002.448  0000029
0390.38  000.036  0000001  000.389  0000004  002.492  0000042
0400.40  000.035  0000000  000.390  0000004  002.540  0000044
0410.40  000.034  0000000  000.383  0000001  002.585  0000044
0420.40  000.033  0000000  000.388  0000006  002.621  0000041
0430.43  000.033  0000000  000.390  0000005  002.651  0000039
0440.43  000.032  0000000  000.388  0000003  002.675  0000037
0450.43  000.033  0000001  000.391  0000005  002.713  0000044
0460.45  000.033  0000000  000.389  0000003  002.719  0000030
0470.47  000.032  0000000  000.385  0000002  002.733  0000034
0480.47  000.031  0000000  000.389  0000006  002.770  0000045
0490.48  000.031  0000000  000.389  0000004  002.799  0000042
0500.50  000.030  0000000  000.392  0000005  002.831  0000044
0510.50  000.029  0000000  000.390  0000003  002.856  0000041
0520.52  000.029  0000000  000.390  0000004  002.888  0000045
0530.52  000.032  0000002  000.386  0000002  002.924  0000048
0540.53  000.033  0000001  000.387  0000004  002.947  0000042
0550.53  000.033  0000000  000.383  0000002  002.973  0000044
0560.55  000.032  0000000  000.380  0000002  002.972  0000029
0570.57  000.033  0000001  000.380  0000004  002.978  0000033
0580.57  000.033  0000000  000.379  0000003  002.978  0000030
0590.58  000.032  0000000  000.376  0000002  003.012  0000050
0600.60  000.033  0000001  000.383  0000008  003.045  0000050
0610.60  000.033  0000000  000.383  0000004  003.046  0000031
0620.62  000.034  0000001  000.388  0000007  003.070  0000045
0630.62  000.035  0000001  000.392  0000006  003.106  0000054
