C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-4000filt-180119-loki.txt
Start Time 1/19/2018  19:17:41
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.100  0000001  000.400  0000004
0020.02  000.000  0000000  000.100  0000001  000.500  0000006
0030.02  000.000  0000000  000.067  0000000  000.466  0000004
0040.03  000.000  0000000  000.050  0000000  000.500  0000006
0050.05  000.000  0000000  000.040  0000000  000.480  0000004
0060.05  000.000  0000000  000.033  0000000  000.533  0000008
0070.05  000.000  0000000  000.029  0000000  000.514  0000004
0080.07  000.000  0000000  000.037  0000001  000.550  0000008
0090.10  000.000  0000000  000.033  0000000  000.499  0000001
0100.08  000.000  0000000  000.040  0000001  000.480  0000003
0110.10  000.000  0000000  000.036  0000000  000.472  0000004
0120.12  000.000  0000000  000.033  0000000  000.483  0000006
0130.12  000.000  0000000  000.046  0000002  000.523  0000010
0140.13  000.000  0000000  000.050  0000001  000.549  0000009
0150.15  000.000  0000000  000.047  0000000  000.519  0000001
0160.15  000.000  0000000  000.044  0000000  000.512  0000004
0170.17  000.000  0000000  000.047  0000001  000.541  0000010
0180.17  000.000  0000000  000.050  0000001  000.533  0000004
0190.20  000.000  0000000  000.053  0000001  000.531  0000005
0200.20  000.000  0000000  000.050  0000000  000.524  0000004
0210.22  000.000  0000000  000.057  0000002  000.533  0000007
0220.22  000.000  0000000  000.054  0000000  000.513  0000001
0230.23  000.000  0000000  000.056  0000001  000.513  0000005
0240.25  000.000  0000000  000.054  0000000  000.508  0000004
0250.25  000.000  0000000  000.052  0000000  000.523  0000009
0260.27  000.000  0000000  000.050  0000000  000.519  0000004
0270.27  000.000  0000000  000.056  0000002  000.540  0000011
0280.28  000.000  0000000  000.054  0000000  000.542  0000006
0290.30  000.000  0000000  000.052  0000000  000.537  0000004
0300.30  000.000  0000000  000.050  0000000  000.529  0000003
0310.32  000.000  0000000  000.048  0000000  000.528  0000005
0320.33  000.000  0000000  000.047  0000000  000.524  0000004
0330.33  000.000  0000000  000.048  0000001  000.542  0000011
0340.35  000.000  0000000  000.050  0000001  000.546  0000007
0350.35  000.000  0000000  000.049  0000000  000.539  0000003
0360.37  000.000  0000000  000.053  0000002  000.549  0000009
0370.38  000.000  0000000  000.054  0000001  000.548  0000005
0380.40  000.000  0000000  000.053  0000000  000.547  0000005
0390.40  000.000  0000000  000.054  0000001  000.553  0000008
0400.42  000.000  0000000  000.052  0000000  000.547  0000003
0410.42  000.000  0000000  000.051  0000000  000.548  0000006
0420.43  000.000  0000000  000.050  0000000  000.545  0000004
0430.45  000.000  0000000  000.049  0000000  000.537  0000002
0440.45  000.000  0000000  000.050  0000001  000.540  0000007
0450.47  000.000  0000000  000.049  0000000  000.535  0000003
0460.48  000.000  0000000  000.052  0000002  000.543  0000009
0470.50  000.000  0000000  000.051  0000000  000.538  0000003
0480.50  000.000  0000000  000.050  0000000  000.539  0000006
0490.52  000.000  0000000  000.051  0000001  000.546  0000009
0500.52  000.000  0000000  000.050  0000000  000.541  0000003
0510.53  000.000  0000000  000.051  0000001  000.548  0000009
0520.53  000.000  0000000  000.052  0000001  000.555  0000009
0530.55  000.000  0000000  000.051  0000000  000.547  0000001
0540.57  000.000  0000000  000.050  0000000  000.538  0000001
0550.57  000.000  0000000  000.049  0000000  000.530  0000001
0560.58  000.000  0000000  000.048  0000000  000.533  0000007
0570.58  000.000  0000000  000.047  0000000  000.529  0000003
Group 3 Stopped 1/20/2018  04:55:11
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0577.50  000.000  000000  000.050  000029  000.533  000308
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

