C:\Users\RaDeCC\Desktop\FRidge\2-saps009-3600b-180127-iron.txt
Start Time 1/27/2018  13:07:23
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.100  0000001  000.000  0000000  001.302  0000013
0020.03  000.200  0000003  000.100  0000002  001.647  0000020
0030.03  000.333  0000006  000.100  0000001  002.031  0000028
0040.05  000.325  0000003  000.125  0000002  002.122  0000024
0050.05  000.340  0000004  000.140  0000002  002.178  0000024
0060.07  000.283  0000000  000.150  0000002  002.048  0000014
0070.08  000.243  0000000  000.185  0000004  002.055  0000021
0080.08  000.262  0000004  000.187  0000002  002.160  0000029
0090.10  000.255  0000002  000.189  0000002  002.186  0000024
0100.10  000.250  0000002  000.200  0000003  002.198  0000023
0110.12  000.236  0000001  000.209  0000003  002.252  0000028
0120.13  000.233  0000002  000.241  0000006  002.439  0000045
0130.15  000.238  0000003  000.246  0000003  002.497  0000032
0140.17  000.228  0000001  000.235  0000001  002.483  0000023
0150.17  000.240  0000004  000.226  0000001  002.537  0000033
0160.18  000.250  0000004  000.231  0000003  002.566  0000030
0170.18  000.253  0000003  000.229  0000002  002.591  0000030
0180.20  000.244  0000001  000.244  0000005  002.647  0000036
0190.20  000.252  0000004  000.247  0000003  002.655  0000028
0200.22  000.260  0000004  000.255  0000004  002.682  0000032
0210.23  000.262  0000003  000.252  0000002  002.707  0000032
0220.23  000.259  0000002  000.254  0000003  002.747  0000036
0230.25  000.256  0000002  000.252  0000002  002.754  0000029
0240.25  000.250  0000001  000.262  0000005  002.805  0000040
0250.28  000.240  0000000  000.280  0000007  002.849  0000039
0260.28  000.238  0000002  000.280  0000003  002.889  0000039
0270.28  000.237  0000002  000.274  0000001  002.930  0000040
0280.30  000.246  0000005  000.285  0000006  003.000  0000049
0290.30  000.241  0000001  000.293  0000005  003.028  0000038
0300.32  000.253  0000006  000.290  0000002  003.073  0000044
0310.33  000.251  0000002  000.300  0000006  003.132  0000049
0320.33  000.247  0000001  000.297  0000002  003.194  0000051
0330.35  000.242  0000001  000.300  0000004  003.257  0000053
0340.35  000.241  0000002  000.317  0000009  003.302  0000048
0350.38  000.243  0000003  000.325  0000006  003.336  0000045
0360.38  000.239  0000001  000.330  0000005  003.346  0000037
0370.40  000.240  0000003  000.335  0000005  003.361  0000039
0380.40  000.244  0000004  000.336  0000004  003.402  0000049
0390.42  000.241  0000001  000.336  0000003  003.440  0000049
0400.43  000.245  0000004  000.337  0000004  003.484  0000052
0410.43  000.251  0000005  000.341  0000005  003.550  0000062
0420.45  000.247  0000001  000.340  0000003  003.541  0000032
0430.45  000.253  0000005  000.342  0000004  003.603  0000062
0440.47  000.247  0000000  000.343  0000004  003.630  0000048
0450.50  000.246  0000002  000.342  0000003  003.667  0000053
0460.50  000.248  0000003  000.334  0000000  003.692  0000048
0470.53  000.249  0000003  000.332  0000002  003.704  0000043
0480.53  000.254  0000005  000.343  0000009  003.781  0000074
0490.53  000.253  0000002  000.345  0000004  003.802  0000048
0500.57  000.254  0000003  000.342  0000002  003.820  0000047
0510.57  000.251  0000001  000.339  0000002  003.811  0000034
0520.58  000.248  0000001  000.338  0000003  003.817  0000041
0530.58  000.247  0000002  000.341  0000005  003.847  0000054
0540.60  000.248  0000003  000.340  0000003  003.875  0000054
0550.60  000.243  0000000  000.345  0000006  003.892  0000048
0560.62  000.246  0000004  000.348  0000005  003.915  0000052
0570.62  000.245  0000002  000.347  0000003  003.947  0000057
Group 6 Stopped 1/27/2018  22:47:22
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0579.98  000.245  000142  000.347  000201  003.979  002308
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

