C:\Documents and Settings\RaDeCC user 1\Desktop\ICY-LAB\dino-stdTh-170708-dino2.txt
Start Time 08/07/2017  18:45:57
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  002.100  0000021  000.400  0000004  007.100  0000071
0020.00  002.250  0000024  000.250  0000001  006.950  0000068
0029.98  002.168  0000020  000.233  0000002  006.804  0000065
0040.00  002.050  0000017  000.350  0000007  006.700  0000064
0050.00  001.860  0000011  000.320  0000002  006.180  0000041
0060.00  001.833  0000017  000.367  0000006  006.117  0000058
0070.00  001.729  0000011  000.386  0000005  005.957  0000050
0080.00  001.788  0000022  000.350  0000001  006.025  0000065
0090.00  001.733  0000013  000.422  0000010  006.067  0000064
0100.00  001.710  0000015  000.390  0000001  006.020  0000056
0110.00  001.691  0000015  000.373  0000002  005.927  0000050
0120.00  001.658  0000013  000.367  0000003  005.867  0000052
0130.00  001.615  0000011  000.354  0000002  005.738  0000042
0140.00  001.600  0000014  000.350  0000003  005.714  0000054
0150.00  001.607  0000017  000.347  0000003  005.767  0000065
0160.00  001.550  0000007  000.356  0000005  005.681  0000044
0170.00  001.565  0000018  000.365  0000005  005.712  0000062
0180.00  001.567  0000016  000.400  0000010  005.711  0000057
0190.00  001.532  0000009  000.395  0000003  005.632  0000042
0200.00  001.525  0000014  000.425  0000010  005.640  0000058
0210.00  001.533  0000017  000.424  0000004  005.652  0000059
0220.00  001.550  0000019  000.436  0000007  005.686  0000064
0230.00  001.570  0000020  000.426  0000002  005.739  0000069
0240.00  001.567  0000015  000.413  0000001  005.750  0000060
0250.00  001.564  0000015  000.400  0000001  005.736  0000054
0260.00  001.573  0000018  000.412  0000007  005.750  0000061
0270.00  001.578  0000017  000.411  0000004  005.741  0000055
0280.00  001.575  0000015  000.411  0000004  005.754  0000061
0290.00  001.555  0000010  000.424  0000008  005.734  0000052
0300.00  001.560  0000017  000.430  0000006  005.730  0000056
0310.00  001.571  0000019  000.435  0000006  005.771  0000070
0320.00  001.566  0000014  000.425  0000001  005.759  0000054
0330.00  001.573  0000018  000.424  0000004  005.782  0000065
0340.00  001.574  0000016  000.412  0000000  005.771  0000054
0350.00  001.571  0000015  000.423  0000008  005.754  0000052
0360.00  001.572  0000016  000.442  0000011  005.758  0000059
0370.00  001.568  0000014  000.443  0000005  005.765  0000060
0380.00  001.592  0000025  000.439  0000003  005.811  0000075
0390.00  001.595  0000017  000.438  0000004  005.828  0000065
0400.00  001.590  0000014  000.435  0000003  005.813  0000052
0410.00  001.583  0000013  000.437  0000005  005.812  0000058
0420.00  001.586  0000017  000.433  0000003  005.817  0000060
0430.00  001.586  0000016  000.428  0000002  005.814  0000057
0440.00  001.582  0000014  000.420  0000001  005.791  0000048
0450.00  001.580  0000015  000.416  0000002  005.769  0000048
0460.00  001.580  0000016  000.413  0000003  005.767  0000057
0470.00  001.579  0000015  000.409  0000002  005.755  0000052
0480.00  001.588  0000020  000.419  0000009  005.792  0000075
0490.00  001.590  0000017  000.420  0000005  005.798  0000061
0500.00  001.596  0000019  000.418  0000003  005.822  0000070
0510.00  001.588  0000012  000.427  0000009  005.824  0000059
0520.00  001.596  0000020  000.431  0000006  005.829  0000061
0530.00  001.609  0000023  000.445  0000012  005.875  0000083
0540.00  001.633  0000029  000.446  0000005  005.944  0000096
0550.00  001.635  0000017  000.456  0000010  005.965  0000071
0560.00  001.625  0000011  000.454  0000003  005.941  0000046
0570.00  001.616  0000011  000.454  0000005  005.930  0000053
0580.00  001.619  0000018  000.452  0000003  005.933  0000061
0590.00  001.610  0000011  000.454  0000006  005.917  0000050
0600.00  001.617  0000020  000.458  0000007  005.935  0000070
0610.00  001.620  0000018  000.462  0000007  005.949  0000068
0620.00  001.615  0000013  000.463  0000005  005.948  0000059
0630.02  001.622  0000021  000.465  0000006  005.993  0000088
0640.02  001.620  0000015  000.459  0000001  005.980  0000051
0650.02  001.615  0000013  000.457  0000003  005.978  0000059
0660.02  001.614  0000015  000.455  0000003  005.976  0000058
0670.02  001.613  0000016  000.449  0000001  005.963  0000051
0680.02  001.612  0000015  000.450  0000005  005.956  0000055
0690.02  001.614  0000018  000.455  0000008  005.962  0000064
0700.02  001.611  0000014  000.464  0000011  005.957  0000056
0710.02  001.606  0000012  000.466  0000006  005.952  0000056
0720.02  001.606  0000016  000.474  0000010  005.962  0000067
0730.02  001.604  0000015  000.479  0000009  005.966  0000062
0740.02  001.605  0000017  000.477  0000003  005.977  0000068
0750.02  001.617  0000025  000.481  0000008  006.011  0000085
0760.02  001.609  0000010  000.479  0000003  005.996  0000049
0770.02  001.600  0000009  000.474  0000001  005.966  0000037
0780.02  001.601  0000017  000.472  0000003  005.964  0000058
0790.02  001.602  0000017  000.473  0000006  005.964  0000060
0800.02  001.602  0000016  000.477  0000008  005.969  0000063
0810.02  001.606  0000019  000.477  0000004  005.976  0000066
0820.02  001.607  0000017  000.478  0000006  005.982  0000064
Group 2 Stopped 09/07/2017  08:28:27
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0822.50  001.607  001322  000.477  000392  005.982  004920
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

