C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3600filt-180119-bw.txt
Start Time 1/19/2018  19:15:25
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.000  0000000  000.699  0000007
0020.02  000.000  0000000  000.050  0000001  001.049  0000014
0030.03  000.033  0000001  000.100  0000002  001.099  0000012
0040.03  000.025  0000000  000.100  0000001  000.949  0000005
0050.05  000.020  0000000  000.100  0000001  000.879  0000006
0060.05  000.017  0000000  000.083  0000000  000.766  0000002
0070.07  000.014  0000000  000.086  0000001  000.742  0000006
0080.08  000.012  0000000  000.112  0000003  000.762  0000009
0090.10  000.011  0000000  000.122  0000002  000.788  0000010
0100.10  000.010  0000000  000.110  0000000  000.759  0000005
0110.12  000.009  0000000  000.100  0000000  000.754  0000007
0120.13  000.008  0000000  000.100  0000001  000.766  0000009
0130.13  000.008  0000000  000.092  0000000  000.722  0000002
0140.15  000.007  0000000  000.093  0000001  000.756  0000012
0150.15  000.007  0000000  000.093  0000001  000.759  0000008
0160.17  000.006  0000000  000.094  0000001  000.762  0000008
0170.17  000.006  0000000  000.094  0000001  000.740  0000004
0180.18  000.006  0000000  000.089  0000000  000.716  0000003
0190.20  000.005  0000000  000.095  0000002  000.715  0000007
0200.20  000.005  0000000  000.095  0000001  000.714  0000007
0210.22  000.005  0000000  000.095  0000001  000.723  0000009
0220.23  000.005  0000000  000.091  0000000  000.708  0000004
0230.23  000.004  0000000  000.087  0000000  000.699  0000005
0240.25  000.004  0000000  000.092  0000002  000.699  0000007
0250.27  000.004  0000000  000.088  0000000  000.695  0000006
0260.28  000.004  0000000  000.088  0000001  000.688  0000005
0270.28  000.007  0000001  000.085  0000000  000.699  0000010
0280.30  000.007  0000000  000.086  0000001  000.696  0000006
0290.32  000.007  0000000  000.086  0000001  000.713  0000012
0300.32  000.007  0000000  000.090  0000002  000.719  0000009
0310.33  000.010  0000001  000.090  0000001  000.725  0000009
0320.35  000.009  0000000  000.094  0000002  000.730  0000009
0330.35  000.009  0000000  000.097  0000002  000.739  0000010
0340.37  000.009  0000000  000.097  0000001  000.743  0000009
0350.37  000.009  0000000  000.094  0000000  000.739  0000006
0360.38  000.008  0000000  000.092  0000000  000.733  0000005
0370.38  000.008  0000000  000.097  0000003  000.751  0000014
0380.40  000.008  0000000  000.095  0000000  000.744  0000005
0390.40  000.008  0000000  000.092  0000000  000.730  0000002
0400.42  000.007  0000000  000.090  0000000  000.724  0000005
0410.43  000.007  0000000  000.093  0000002  000.728  0000009
0420.43  000.007  0000000  000.093  0000001  000.735  0000010
0430.45  000.007  0000000  000.091  0000000  000.736  0000008
0440.47  000.007  0000000  000.089  0000000  000.733  0000006
0450.48  000.007  0000000  000.087  0000000  000.730  0000006
0460.48  000.007  0000000  000.087  0000001  000.730  0000007
0470.50  000.006  0000000  000.085  0000000  000.718  0000002
0480.50  000.008  0000001  000.085  0000001  000.718  0000007
0490.52  000.008  0000000  000.086  0000001  000.720  0000008
0500.52  000.008  0000000  000.084  0000000  000.725  0000010
0510.53  000.008  0000000  000.084  0000001  000.729  0000009
0520.53  000.008  0000000  000.090  0000004  000.742  0000014
0530.55  000.008  0000000  000.090  0000001  000.739  0000006
0540.57  000.007  0000000  000.092  0000002  000.740  0000008
0550.57  000.007  0000000  000.091  0000000  000.734  0000004
0560.58  000.007  0000000  000.091  0000001  000.739  0000010
0570.58  000.007  0000000  000.093  0000002  000.738  0000007
Group 2 Stopped 1/20/2018  04:55:08
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0579.72  000.007  000004  000.091  000053  000.737  000427
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

