C:\Users\RaDeCC\Desktop\FRidge\2-Saps009-4000A-180125-bw.txt
Start Time 1/25/2018  01:10:54
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.900  0000009  000.300  0000003  002.800  0000028
0020.00  000.650  0000004  000.500  0000007  003.000  0000032
0030.03  000.566  0000004  000.433  0000003  002.897  0000027
0040.03  000.525  0000004  000.400  0000003  002.673  0000020
0050.03  000.460  0000002  000.440  0000006  002.638  0000025
0060.05  000.433  0000003  000.483  0000007  002.764  0000034
0070.05  000.443  0000005  000.500  0000006  002.926  0000039
0080.07  000.450  0000005  000.475  0000003  002.948  0000031
0090.07  000.455  0000005  000.444  0000002  002.887  0000024
0100.08  000.450  0000004  000.450  0000005  002.928  0000033
0110.10  000.427  0000002  000.463  0000006  002.906  0000027
0120.12  000.441  0000006  000.466  0000005  002.955  0000035
0130.13  000.469  0000008  000.461  0000004  003.020  0000038
0140.13  000.478  0000006  000.457  0000004  003.047  0000034
0150.13  000.513  0000010  000.460  0000005  003.157  0000047
0160.15  000.531  0000008  000.468  0000006  003.166  0000033
0170.15  000.517  0000003  000.453  0000002  003.109  0000022
0180.17  000.522  0000006  000.455  0000005  003.186  0000045
0190.18  000.526  0000006  000.442  0000002  003.213  0000037
0200.20  000.534  0000007  000.445  0000005  003.252  0000040
0210.20  000.528  0000004  000.438  0000003  003.278  0000038
0220.22  000.527  0000005  000.436  0000004  003.297  0000037
0230.22  000.530  0000006  000.430  0000003  003.297  0000033
0240.23  000.516  0000002  000.441  0000007  003.326  0000040
0250.25  000.511  0000004  000.452  0000007  003.361  0000042
0260.25  000.519  0000007  000.438  0000001  003.381  0000039
0270.27  000.529  0000008  000.448  0000007  003.415  0000043
0280.27  000.521  0000003  000.450  0000005  003.432  0000039
0290.28  000.510  0000002  000.451  0000005  003.438  0000036
0300.30  000.500  0000002  000.463  0000008  003.487  0000049
0310.30  000.503  0000006  000.467  0000006  003.519  0000045
0320.32  000.506  0000006  000.465  0000004  003.531  0000039
0330.32  000.506  0000005  000.466  0000005  003.563  0000046
0340.33  000.505  0000005  000.485  0000011  003.608  0000051
0350.35  000.502  0000004  000.494  0000008  003.645  0000049
0360.37  000.511  0000008  000.499  0000007  003.696  0000055
0370.38  000.510  0000005  000.508  0000008  003.729  0000049
0380.40  000.507  0000004  000.507  0000005  003.757  0000048
0390.40  000.507  0000005  000.510  0000006  003.788  0000050
0400.42  000.502  0000003  000.504  0000003  003.796  0000041
0410.42  000.499  0000004  000.512  0000008  003.847  0000059
0420.43  000.499  0000005  000.514  0000006  003.853  0000041
0430.45  000.497  0000004  000.513  0000005  003.891  0000055
0440.45  000.497  0000005  000.504  0000001  003.896  0000041
0450.47  000.495  0000004  000.497  0000002  003.925  0000052
0460.48  000.489  0000002  000.502  0000007  003.965  0000058
0470.48  000.482  0000002  000.508  0000008  003.987  0000050
0480.50  000.481  0000004  000.508  0000005  003.985  0000039
0490.50  000.481  0000005  000.510  0000006  004.031  0000062
0500.52  000.480  0000004  000.527  0000014  004.072  0000061
0510.53  000.474  0000002  000.537  0000010  004.094  0000052
0520.53  000.476  0000006  000.534  0000004  004.127  0000058
0530.55  000.477  0000005  000.543  0000010  004.179  0000069
0540.57  000.479  0000006  000.536  0000002  004.196  0000051
0550.57  000.472  0000001  000.539  0000007  004.217  0000054
0560.58  000.475  0000006  000.533  0000002  004.237  0000053
0570.58  000.473  0000004  000.535  0000006  004.262  0000057
0580.60  000.477  0000007  000.543  0000010  004.333  0000084
0590.62  000.474  0000003  000.550  0000010  004.382  0000072
Group 2 Stopped 1/25/2018  11:05:13
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0594.32  000.474  000282  000.549  000326  004.383  002605
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

