C:\Program Files\RaDeCC\Data\ICY-LAB\blank-green-170706
Start Time 7/6/2017  18:15:05
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.000  0000000  001.200  0000012
0020.00  000.000  0000000  000.000  0000000  001.300  0000014
0030.00  000.000  0000000  000.000  0000000  001.433  0000017
0040.00  000.000  0000000  000.000  0000000  001.675  0000024
0050.00  000.000  0000000  000.000  0000000  001.780  0000022
0060.00  000.000  0000000  000.000  0000000  001.667  0000011
0070.00  000.000  0000000  000.014  0000001  001.800  0000026
0080.00  000.000  0000000  000.013  0000000  001.888  0000025
0090.00  000.000  0000000  000.011  0000000  001.878  0000018
0100.00  000.000  0000000  000.010  0000000  001.830  0000014
0110.00  000.000  0000000  000.018  0000001  001.782  0000013
0120.00  000.000  0000000  000.017  0000000  001.783  0000018
0130.00  000.000  0000000  000.015  0000000  001.762  0000015
0140.00  000.000  0000000  000.014  0000000  001.736  0000014
0150.00  000.000  0000000  000.013  0000000  001.720  0000015
0159.98  000.000  0000000  000.013  0000000  001.706  0000015
0169.98  000.000  0000000  000.012  0000000  001.665  0000010
0179.98  000.000  0000000  000.011  0000000  001.667  0000017
0189.98  000.000  0000000  000.011  0000000  001.642  0000012
0199.98  000.000  0000000  000.010  0000000  001.625  0000013
0209.98  000.000  0000000  000.010  0000000  001.633  0000018
0219.98  000.000  0000000  000.018  0000002  001.655  0000021
0229.98  000.000  0000000  000.022  0000001  001.648  0000015
0239.98  000.000  0000000  000.021  0000000  001.658  0000019
0249.98  000.000  0000000  000.024  0000001  001.644  0000013
0259.98  000.000  0000000  000.031  0000002  001.623  0000011
0269.98  000.000  0000000  000.030  0000000  001.622  0000016
0279.98  000.000  0000000  000.032  0000001  001.625  0000017
0289.98  000.000  0000000  000.034  0000001  001.666  0000028
0299.98  000.003  0000001  000.033  0000000  001.650  0000012
0309.98  000.003  0000000  000.032  0000000  001.658  0000019
0319.98  000.003  0000000  000.031  0000000  001.663  0000018
0329.98  000.003  0000000  000.030  0000000  001.655  0000014
0339.98  000.003  0000000  000.029  0000000  001.641  0000012
0349.98  000.003  0000000  000.029  0000000  001.626  0000011
0359.98  000.003  0000000  000.028  0000000  001.608  0000010
0369.98  000.005  0000001  000.027  0000000  001.597  0000012
0379.98  000.005  0000000  000.029  0000001  001.600  0000017
0389.98  000.005  0000000  000.028  0000000  001.585  0000010
0399.98  000.005  0000000  000.028  0000000  001.570  0000010
0409.98  000.005  0000000  000.027  0000000  001.568  0000015
0419.98  000.005  0000000  000.026  0000000  001.562  0000013
0429.98  000.005  0000000  000.026  0000000  001.547  0000009
0439.98  000.005  0000000  000.025  0000000  001.566  0000024
0449.98  000.004  0000000  000.024  0000000  001.569  0000017
0459.98  000.004  0000000  000.024  0000000  001.567  0000015
0469.98  000.004  0000000  000.023  0000000  001.579  0000021
0479.98  000.004  0000000  000.025  0000001  001.579  0000016
0489.98  000.004  0000000  000.027  0000001  001.586  0000019
0499.98  000.004  0000000  000.030  0000002  001.588  0000017
0509.98  000.004  0000000  000.029  0000000  001.590  0000017
0519.98  000.004  0000000  000.029  0000000  001.587  0000014
0529.98  000.004  0000000  000.028  0000000  001.579  0000012
0539.98  000.004  0000000  000.028  0000000  001.569  0000010
0549.98  000.004  0000000  000.027  0000000  001.573  0000018
0559.98  000.004  0000000  000.027  0000000  001.563  0000010
0569.98  000.004  0000000  000.026  0000000  001.565  0000017
0579.98  000.003  0000000  000.026  0000000  001.560  0000013
0589.98  000.003  0000000  000.025  0000000  001.551  0000010
0599.98  000.003  0000000  000.025  0000000  001.538  0000008
0609.98  000.003  0000000  000.025  0000000  001.551  0000023
0619.98  000.003  0000000  000.024  0000000  001.558  0000020
0629.98  000.003  0000000  000.024  0000000  001.559  0000016
0639.98  000.003  0000000  000.028  0000003  001.569  0000022
0649.98  000.003  0000000  000.029  0000001  001.569  0000016
0659.98  000.003  0000000  000.030  0000001  001.567  0000014
0669.98  000.003  0000000  000.030  0000000  001.564  0000014
Group 4 Stopped 7/7/2017  05:28:47

Count Summary
C:\Program Files\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0673.70  000.003  000002  000.030  000020  001.559  001050
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  22Feb02  219= Uset  220= Uset  Tot= Uset

