C:\Users\RaDeCC\Desktop\FRidge\4-saps009-4000B-180514-bw.txt
Start Time 5/14/2018  08:44:13
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.000  0000000  000.000  0000000  000.601  0000006
0020.02  000.050  0000001  000.050  0000001  000.749  0000009
0030.02  000.033  0000000  000.067  0000001  000.700  0000006
0040.02  000.025  0000000  000.125  0000003  000.800  0000011
0050.03  000.020  0000000  000.100  0000000  000.839  0000010
0060.05  000.017  0000000  000.083  0000000  000.816  0000007
0070.07  000.029  0000001  000.071  0000000  000.913  0000015
0080.07  000.025  0000000  000.075  0000001  000.899  0000008
0090.08  000.022  0000000  000.089  0000002  000.977  0000016
0100.10  000.020  0000000  000.080  0000000  000.999  0000012
0110.10  000.018  0000000  000.091  0000002  000.972  0000007
0120.12  000.017  0000000  000.100  0000002  001.007  0000014
0130.13  000.015  0000000  000.100  0000001  001.037  0000014
0140.13  000.014  0000000  000.100  0000001  001.035  0000010
0150.13  000.013  0000000  000.093  0000000  001.039  0000011
0160.15  000.019  0000001  000.100  0000002  001.105  0000021
0170.17  000.018  0000000  000.094  0000000  001.105  0000011
0180.18  000.017  0000000  000.100  0000002  001.104  0000011
0190.18  000.016  0000000  000.100  0000001  001.120  0000014
0200.20  000.015  0000000  000.100  0000001  001.124  0000012
0210.20  000.014  0000000  000.100  0000001  001.156  0000018
0220.22  000.014  0000000  000.100  0000001  001.181  0000017
0230.22  000.013  0000000  000.113  0000004  001.212  0000019
0240.25  000.012  0000000  000.108  0000000  001.207  0000011
0250.25  000.012  0000000  000.104  0000000  001.207  0000012
0260.27  000.012  0000000  000.111  0000003  001.218  0000015
0270.28  000.011  0000000  000.107  0000000  001.225  0000014
0280.28  000.011  0000000  000.103  0000000  001.245  0000018
0290.30  000.010  0000000  000.107  0000002  001.292  0000026
0300.30  000.013  0000001  000.107  0000001  001.295  0000014
0310.32  000.013  0000000  000.116  0000004  001.344  0000028
0320.32  000.012  0000000  000.116  0000001  001.339  0000012
0330.33  000.012  0000000  000.115  0000001  001.335  0000012
0340.35  000.015  0000001  000.115  0000001  001.354  0000020
0350.37  000.014  0000000  000.111  0000000  001.364  0000017
0360.37  000.014  0000000  000.117  0000003  001.379  0000019
0370.37  000.014  0000000  000.119  0000002  001.399  0000021
0380.40  000.013  0000000  000.116  0000000  001.420  0000022
0390.40  000.013  0000000  000.113  0000000  001.409  0000010
0400.42  000.012  0000000  000.117  0000003  001.439  0000026
0410.43  000.012  0000000  000.122  0000003  001.435  0000013
0420.43  000.012  0000000  000.121  0000001  001.441  0000017
0430.45  000.012  0000000  000.123  0000002  001.459  0000022
0440.45  000.011  0000000  000.120  0000000  001.485  0000026
0450.45  000.013  0000001  000.118  0000000  001.496  0000020
0460.47  000.013  0000000  000.119  0000002  001.512  0000022
0470.48  000.015  0000001  000.121  0000002  001.539  0000028
0480.50  000.015  0000000  000.125  0000003  001.550  0000021
0490.52  000.014  0000000  000.133  0000005  001.588  0000034
0500.52  000.014  0000000  000.138  0000004  001.606  0000025
0510.52  000.016  0000001  000.135  0000000  001.606  0000016
0520.53  000.015  0000000  000.136  0000002  001.635  0000031
0530.53  000.015  0000000  000.136  0000001  001.651  0000025
0540.57  000.015  0000000  000.135  0000001  001.670  0000027
0550.57  000.016  0000001  000.133  0000000  001.678  0000021
0560.58  000.016  0000000  000.130  0000000  001.695  0000026
0570.58  000.016  0000000  000.135  0000004  001.732  0000038
0580.60  000.016  0000000  000.134  0000001  001.740  0000022
0590.62  000.015  0000000  000.135  0000002  001.764  0000032
0600.62  000.017  0000001  000.135  0000001  001.772  0000022
Group 2 Stopped 5/14/2018  18:45:09
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0600.93  000.017  000010  000.135  000081  001.771  001064
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

