C:\Users\RaDeCC\Desktop\FRidge\3-saps009-3800A-180219-iron.txt
Start Time 2/19/2018  23:13:48
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.300  0000003  000.300  0000003  002.600  0000026
0020.00  000.200  0000001  000.300  0000003  002.700  0000028
0030.02  000.167  0000001  000.267  0000002  002.499  0000021
0040.02  000.150  0000001  000.300  0000004  002.749  0000035
0050.05  000.120  0000000  000.340  0000005  002.717  0000026
0060.05  000.100  0000000  000.283  0000000  002.515  0000015
0070.07  000.128  0000003  000.271  0000002  002.483  0000023
0080.08  000.150  0000003  000.262  0000002  002.535  0000029
0090.08  000.133  0000000  000.266  0000003  002.598  0000031
0100.08  000.140  0000002  000.270  0000003  002.618  0000028
0110.10  000.136  0000001  000.300  0000006  002.616  0000026
0120.12  000.142  0000002  000.300  0000003  002.664  0000032
0130.12  000.146  0000002  000.315  0000005  002.721  0000034
0140.13  000.157  0000003  000.307  0000002  002.719  0000027
0150.15  000.153  0000001  000.313  0000004  002.717  0000027
0160.17  000.150  0000001  000.318  0000004  002.728  0000029
0170.15  000.147  0000001  000.311  0000002  002.774  0000035
0180.18  000.150  0000002  000.305  0000002  002.819  0000036
0190.20  000.152  0000002  000.305  0000003  002.850  0000034
0200.20  000.150  0000001  000.305  0000003  002.827  0000024
0210.20  000.157  0000003  000.300  0000002  002.807  0000024
0220.22  000.150  0000000  000.318  0000007  002.834  0000034
0230.23  000.143  0000000  000.317  0000003  002.845  0000031
0240.25  000.146  0000002  000.325  0000005  002.889  0000039
0250.23  000.144  0000001  000.332  0000005  002.897  0000031
0260.25  000.146  0000002  000.338  0000005  002.943  0000041
0270.27  000.141  0000000  000.337  0000003  002.967  0000036
0280.28  000.146  0000003  000.339  0000004  003.026  0000046
0290.28  000.155  0000004  000.344  0000005  003.087  0000048
0300.30  000.163  0000004  000.343  0000003  003.160  0000053
0310.32  000.171  0000004  000.354  0000007  003.258  0000062
0320.32  000.175  0000003  000.362  0000006  003.306  0000048
0330.33  000.170  0000000  000.363  0000004  003.318  0000037
0340.35  000.170  0000002  000.364  0000004  003.355  0000046
0350.35  000.166  0000000  000.365  0000004  003.365  0000037
0360.37  000.169  0000003  000.366  0000004  003.405  0000048
0370.38  000.165  0000000  000.367  0000004  003.432  0000044
0380.38  000.166  0000002  000.371  0000005  003.465  0000047
0390.40  000.164  0000001  000.379  0000007  003.530  0000060
0400.42  000.160  0000000  000.375  0000002  003.559  0000047
0410.42  000.161  0000002  000.380  0000006  003.574  0000042
0420.42  000.162  0000002  000.385  0000006  003.613  0000052
0430.43  000.167  0000004  000.383  0000003  003.629  0000043
0440.45  000.168  0000002  000.381  0000003  003.658  0000049
0450.45  000.167  0000001  000.375  0000001  003.647  0000032
0460.47  000.165  0000001  000.384  0000008  003.683  0000053
0470.48  000.162  0000000  000.391  0000007  003.749  0000068
0480.50  000.164  0000003  000.393  0000005  003.773  0000049
0490.50  000.165  0000002  000.402  0000008  003.798  0000050
0500.50  000.164  0000001  000.404  0000005  003.804  0000041
0510.52  000.165  0000002  000.405  0000005  003.837  0000055
0520.53  000.161  0000000  000.411  0000007  003.863  0000052
0530.53  000.162  0000002  000.417  0000007  003.915  0000066
0540.57  000.161  0000001  000.416  0000004  003.940  0000053
0550.57  000.160  0000001  000.421  0000007  003.963  0000052
0560.57  000.157  0000000  000.423  0000005  003.998  0000059
0570.58  000.154  0000000  000.433  0000010  004.029  0000058
0580.60  000.155  0000002  000.436  0000006  004.061  0000059
0590.62  000.157  0000003  000.432  0000002  004.064  0000042
Group 6 Stopped 2/20/2018  09:04:33
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0590.75  000.157  000093  000.432  000255  004.064  002401
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

