C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3400B-180514-he.txt
Start Time 5/14/2018  08:42:03
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.100  0000001  000.700  0000007
0020.02  000.000  0000000  000.050  0000000  000.600  0000005
0030.03  000.000  0000000  000.100  0000002  000.666  0000008
0040.03  000.025  0000001  000.125  0000002  000.674  0000007
0050.05  000.020  0000000  000.120  0000001  000.639  0000005
0060.05  000.017  0000000  000.117  0000001  000.666  0000008
0070.07  000.014  0000000  000.143  0000003  000.699  0000009
0080.07  000.012  0000000  000.137  0000001  000.662  0000004
0090.08  000.011  0000000  000.133  0000001  000.611  0000002
0100.10  000.010  0000000  000.120  0000000  000.589  0000004
0110.10  000.009  0000000  000.127  0000002  000.627  0000010
0120.12  000.008  0000000  000.125  0000001  000.624  0000006
0130.13  000.023  0000002  000.123  0000001  000.669  0000012
0140.13  000.021  0000000  000.121  0000001  000.671  0000007
0150.15  000.020  0000000  000.120  0000001  000.693  0000010
0160.17  000.019  0000000  000.119  0000001  000.755  0000017
0170.18  000.024  0000001  000.135  0000004  000.805  0000016
0180.18  000.028  0000001  000.139  0000002  000.838  0000014
0190.20  000.026  0000000  000.137  0000001  000.852  0000011
0200.20  000.025  0000000  000.130  0000000  000.844  0000007
0210.22  000.024  0000000  000.138  0000003  000.861  0000012
0220.22  000.027  0000001  000.136  0000001  000.881  0000013
0230.23  000.026  0000000  000.139  0000002  000.921  0000018
0240.23  000.025  0000000  000.137  0000001  000.916  0000008
0250.25  000.024  0000000  000.136  0000001  000.903  0000006
0260.27  000.027  0000001  000.134  0000001  000.914  0000012
0270.27  000.026  0000000  000.133  0000001  000.929  0000013
0280.28  000.029  0000001  000.132  0000001  000.928  0000009
0290.28  000.028  0000000  000.131  0000001  000.903  0000002
0300.30  000.027  0000000  000.130  0000001  000.929  0000017
0310.32  000.026  0000000  000.132  0000002  000.941  0000013
0320.33  000.025  0000000  000.134  0000002  000.949  0000012
0330.33  000.024  0000000  000.130  0000000  000.941  0000007
0340.35  000.024  0000000  000.126  0000000  000.958  0000015
0350.35  000.023  0000000  000.126  0000001  000.959  0000010
0360.37  000.022  0000000  000.122  0000000  000.960  0000010
0370.38  000.022  0000000  000.124  0000002  000.964  0000011
0380.38  000.024  0000001  000.121  0000000  000.973  0000013
0390.40  000.023  0000000  000.123  0000002  000.984  0000014
0400.42  000.022  0000000  000.120  0000000  000.974  0000006
0410.42  000.022  0000000  000.117  0000000  000.977  0000011
0420.42  000.021  0000000  000.114  0000000  000.968  0000006
0430.45  000.021  0000000  000.114  0000001  000.969  0000010
0440.45  000.020  0000000  000.116  0000002  000.979  0000014
0450.47  000.020  0000000  000.120  0000003  000.988  0000014
0460.48  000.020  0000000  000.119  0000001  000.990  0000011
0470.48  000.019  0000000  000.119  0000001  001.005  0000017
0480.50  000.019  0000000  000.119  0000001  001.020  0000017
0490.50  000.020  0000001  000.118  0000001  001.025  0000013
0500.52  000.020  0000000  000.120  0000002  001.037  0000016
0510.53  000.022  0000001  000.121  0000002  001.056  0000020
0520.53  000.021  0000000  000.123  0000002  001.072  0000019
0530.55  000.021  0000000  000.123  0000001  001.084  0000017
0540.55  000.020  0000000  000.120  0000000  001.077  0000007
0550.57  000.020  0000000  000.122  0000002  001.088  0000017
0560.57  000.020  0000000  000.120  0000000  001.097  0000016
0570.58  000.019  0000000  000.117  0000000  001.095  0000010
0580.60  000.019  0000000  000.115  0000000  001.092  0000009
0590.60  000.019  0000000  000.119  0000003  001.118  0000026
0600.62  000.018  0000000  000.117  0000000  001.134  0000021
Group 1 Stopped 5/14/2018  18:45:12
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0603.15  000.018  000011  000.116  000070  001.134  000684
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

