C:\Users\RaDeCC\Desktop\FRidge\3b-saps009-4000A-180219-bw.txt
Start Time 2/19/2018  23:05:05
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.100  0000001  000.599  0000006
0020.02  000.250  0000005  000.200  0000003  001.699  0000028
0030.02  000.267  0000003  000.167  0000001  001.632  0000015
0040.03  000.275  0000003  000.175  0000002  001.624  0000016
0050.05  000.220  0000000  000.320  0000009  001.838  0000027
0060.05  000.233  0000003  000.366  0000006  001.948  0000025
0070.07  000.214  0000001  000.343  0000002  001.841  0000012
0080.07  000.187  0000000  000.337  0000003  001.799  0000015
0090.08  000.167  0000000  000.322  0000002  001.721  0000011
0100.10  000.170  0000002  000.320  0000003  001.748  0000020
0110.12  000.154  0000000  000.300  0000001  001.725  0000015
0120.12  000.142  0000000  000.308  0000004  001.748  0000020
0130.13  000.131  0000000  000.284  0000000  001.691  0000010
0140.15  000.136  0000002  000.293  0000004  001.727  0000022
0150.15  000.133  0000001  000.293  0000003  001.765  0000023
0160.15  000.131  0000001  000.293  0000003  001.811  0000025
0170.18  000.141  0000003  000.294  0000003  001.833  0000022
0180.18  000.144  0000002  000.277  0000000  001.815  0000015
0190.20  000.158  0000004  000.273  0000002  001.872  0000029
0200.20  000.150  0000000  000.280  0000004  001.923  0000029
0210.22  000.147  0000001  000.276  0000002  001.931  0000021
0220.23  000.145  0000001  000.282  0000004  001.971  0000028
0230.23  000.139  0000000  000.282  0000003  001.959  0000017
0240.25  000.133  0000000  000.275  0000001  001.973  0000023
0250.27  000.128  0000000  000.272  0000002  001.982  0000022
0260.27  000.127  0000001  000.273  0000003  001.990  0000022
0270.28  000.122  0000000  000.285  0000006  002.005  0000024
0280.28  000.121  0000001  000.278  0000001  002.037  0000029
0290.28  000.127  0000003  000.276  0000002  002.060  0000027
0300.30  000.123  0000000  000.273  0000002  002.038  0000014
0310.32  000.126  0000002  000.271  0000002  002.050  0000024
0320.33  000.125  0000001  000.284  0000007  002.101  0000037
0330.35  000.121  0000000  000.282  0000002  002.122  0000028
0340.35  000.120  0000001  000.291  0000006  002.186  0000043
0350.37  000.117  0000000  000.300  0000006  002.206  0000029
0360.38  000.114  0000000  000.302  0000004  002.242  0000035
0370.38  000.116  0000002  000.313  0000007  002.322  0000052
0380.38  000.121  0000003  000.321  0000006  002.374  0000043
0390.40  000.120  0000001  000.328  0000006  002.426  0000044
0400.42  000.125  0000003  000.335  0000006  002.492  0000051
0410.43  000.127  0000002  000.336  0000004  002.563  0000054
0420.43  000.126  0000001  000.340  0000005  002.593  0000038
0430.45  000.123  0000000  000.344  0000005  002.595  0000027
0440.45  000.125  0000002  000.347  0000005  002.629  0000041
0450.47  000.129  0000003  000.349  0000004  002.653  0000037
0460.48  000.130  0000002  000.343  0000001  002.665  0000032
0470.48  000.136  0000004  000.353  0000008  002.716  0000051
0480.50  000.135  0000001  000.350  0000002  002.718  0000028
0490.52  000.137  0000002  000.357  0000007  002.777  0000056
0500.53  000.136  0000001  000.362  0000006  002.819  0000049
0510.52  000.133  0000000  000.358  0000002  002.850  0000044
0520.53  000.131  0000000  000.359  0000004  002.872  0000040
0530.55  000.130  0000001  000.360  0000004  002.884  0000035
0540.55  000.128  0000000  000.355  0000001  002.928  0000053
0550.57  000.125  0000000  000.352  0000002  002.932  0000031
0560.58  000.123  0000000  000.359  0000007  002.993  0000064
0570.60  000.126  0000003  000.359  0000004  003.034  0000053
0580.60  000.129  0000003  000.355  0000001  003.038  0000033
0590.60  000.137  0000006  000.352  0000002  003.085  0000058
Group 2 Stopped 2/20/2018  09:04:39
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0599.57  000.137  000082  000.350  000210  003.102  001860
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

