C:\Users\RaDeCC\Desktop\FRidge\3-saps009-3200A-180220-thor.txt
Start Time 2/20/2018  11:09:27
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.200  0000002  000.900  0000009
0020.00  000.000  0000000  000.250  0000003  001.100  0000013
0030.02  000.000  0000000  000.300  0000004  001.366  0000019
0040.03  000.000  0000000  000.325  0000004  001.474  0000018
0050.03  000.000  0000000  000.300  0000002  001.519  0000017
0060.05  000.017  0000001  000.300  0000003  001.532  0000016
0070.05  000.057  0000003  000.314  0000004  001.713  0000028
0080.07  000.062  0000001  000.287  0000001  001.724  0000018
0090.07  000.056  0000000  000.289  0000003  001.776  0000022
0100.10  000.050  0000000  000.280  0000002  001.778  0000018
0110.10  000.045  0000000  000.272  0000002  001.807  0000021
0120.12  000.050  0000001  000.275  0000003  001.882  0000027
0130.12  000.046  0000000  000.277  0000003  001.883  0000019
0140.13  000.043  0000000  000.264  0000001  001.863  0000016
0150.13  000.040  0000000  000.246  0000000  001.878  0000021
0160.15  000.044  0000001  000.256  0000004  001.948  0000030
0170.17  000.041  0000000  000.247  0000001  001.928  0000016
0180.17  000.039  0000000  000.244  0000002  001.920  0000018
0190.18  000.037  0000000  000.247  0000003  001.914  0000018
0200.20  000.035  0000000  000.245  0000002  001.953  0000027
0210.20  000.033  0000000  000.238  0000001  001.903  0000009
0220.22  000.032  0000000  000.236  0000002  001.866  0000011
0230.22  000.030  0000000  000.230  0000001  001.863  0000018
0240.23  000.033  0000001  000.241  0000005  001.940  0000037
0250.25  000.032  0000000  000.248  0000004  001.942  0000020
0260.27  000.031  0000000  000.254  0000004  001.956  0000023
0270.28  000.030  0000000  000.248  0000001  001.968  0000023
0280.28  000.029  0000000  000.250  0000003  001.977  0000022
0290.30  000.028  0000000  000.245  0000001  001.957  0000014
0300.30  000.030  0000001  000.243  0000002  002.011  0000036
0310.32  000.029  0000000  000.245  0000003  002.011  0000020
0320.32  000.028  0000000  000.247  0000003  002.023  0000024
0330.33  000.027  0000000  000.251  0000004  002.043  0000027
0340.33  000.029  0000001  000.253  0000003  002.039  0000019
0350.35  000.029  0000000  000.257  0000004  002.055  0000026
0360.37  000.028  0000000  000.253  0000001  002.081  0000030
0370.38  000.027  0000000  000.251  0000002  002.101  0000028
0380.40  000.026  0000000  000.244  0000000  002.079  0000013
0390.40  000.026  0000000  000.246  0000003  002.103  0000030
0400.42  000.027  0000001  000.240  0000000  002.118  0000027
0410.42  000.027  0000000  000.241  0000003  002.139  0000030
0420.42  000.026  0000000  000.235  0000000  002.131  0000018
0430.43  000.026  0000000  000.235  0000002  002.151  0000030
0440.45  000.027  0000001  000.234  0000002  002.177  0000033
0450.47  000.027  0000000  000.231  0000001  002.198  0000031
0460.47  000.026  0000000  000.230  0000002  002.193  0000020
0470.47  000.026  0000000  000.227  0000001  002.215  0000032
0480.48  000.025  0000000  000.227  0000002  002.219  0000024
0490.50  000.027  0000001  000.230  0000004  002.224  0000025
0500.52  000.026  0000000  000.228  0000001  002.240  0000030
0510.52  000.025  0000000  000.229  0000003  002.247  0000026
0520.53  000.025  0000000  000.232  0000004  002.248  0000023
0530.53  000.025  0000000  000.232  0000002  002.245  0000021
0540.55  000.026  0000001  000.229  0000001  002.250  0000025
0550.57  000.025  0000000  000.225  0000000  002.247  0000021
0560.58  000.025  0000000  000.221  0000000  002.241  0000019
0570.58  000.025  0000000  000.221  0000002  002.240  0000022
0580.58  000.024  0000000  000.217  0000000  002.236  0000020
0590.60  000.024  0000000  000.213  0000000  002.225  0000016
Group 5 Stopped 2/20/2018  21:07:47
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0598.33  000.023  000014  000.212  000127  002.228  001333
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

