C:\Users\RaDeCC\Desktop\FRidge\5-saps009-3200b-190811-loki.txt
Start Time 8/11/2019  15:24:24
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.399  0000004  000.998  0000010
0020.02  000.000  0000000  000.250  0000001  000.699  0000004
0030.02  000.033  0000001  000.233  0000002  000.700  0000007
0040.05  000.050  0000001  000.175  0000000  000.674  0000006
0050.05  000.040  0000000  000.140  0000000  000.559  0000001
0060.05  000.033  0000000  000.133  0000001  000.533  0000004
0070.07  000.029  0000000  000.114  0000000  000.514  0000004
0080.08  000.025  0000000  000.100  0000000  000.487  0000003
0090.08  000.022  0000000  000.100  0000001  000.500  0000006
0100.10  000.020  0000000  000.090  0000000  000.480  0000003
0110.12  000.018  0000000  000.082  0000000  000.463  0000003
0120.12  000.017  0000000  000.075  0000000  000.450  0000003
0130.12  000.015  0000000  000.077  0000001  000.453  0000005
0140.13  000.014  0000000  000.078  0000001  000.464  0000006
0150.15  000.013  0000000  000.080  0000001  000.473  0000006
0160.15  000.012  0000000  000.075  0000000  000.500  0000009
0170.17  000.018  0000001  000.082  0000002  000.541  0000012
0180.18  000.017  0000000  000.078  0000000  000.533  0000004
0190.18  000.016  0000000  000.089  0000003  000.557  0000010
0200.20  000.020  0000001  000.085  0000000  000.569  0000008
0210.22  000.019  0000000  000.081  0000000  000.561  0000004
0220.22  000.018  0000000  000.091  0000003  000.577  0000009
0230.23  000.017  0000000  000.087  0000000  000.560  0000002
0240.23  000.017  0000000  000.087  0000001  000.608  0000017
0250.25  000.016  0000000  000.084  0000000  000.623  0000010
0260.25  000.015  0000000  000.081  0000000  000.642  0000011
0270.27  000.015  0000000  000.081  0000001  000.662  0000012
0280.28  000.014  0000000  000.078  0000000  000.660  0000006
0290.28  000.014  0000000  000.076  0000000  000.679  0000012
0300.30  000.013  0000000  000.073  0000000  000.676  0000006
0310.32  000.013  0000000  000.071  0000000  000.667  0000004
0320.32  000.012  0000000  000.069  0000000  000.671  0000008
0330.33  000.012  0000000  000.070  0000001  000.678  0000009
0340.33  000.012  0000000  000.071  0000001  000.688  0000010
0350.35  000.011  0000000  000.071  0000001  000.711  0000015
0360.37  000.011  0000000  000.069  0000000  000.721  0000011
0370.37  000.011  0000000  000.070  0000001  000.724  0000008
0380.38  000.011  0000000  000.068  0000000  000.723  0000007
0390.38  000.010  0000000  000.067  0000000  000.730  0000010
0400.40  000.010  0000000  000.065  0000000  000.737  0000010
0410.42  000.010  0000000  000.063  0000000  000.746  0000011
0420.42  000.010  0000000  000.064  0000001  000.752  0000010
0430.43  000.009  0000000  000.070  0000003  000.776  0000018
0440.43  000.009  0000000  000.070  0000001  000.804  0000020
0450.45  000.009  0000000  000.078  0000004  000.824  0000017
0460.47  000.009  0000000  000.076  0000000  000.817  0000005
0470.47  000.009  0000000  000.074  0000000  000.823  0000011
0480.48  000.008  0000000  000.073  0000000  000.822  0000008
0490.50  000.008  0000000  000.075  0000002  000.830  0000012
0500.50  000.008  0000000  000.078  0000002  000.825  0000006
0510.50  000.008  0000000  000.084  0000004  000.842  0000017
0520.52  000.008  0000000  000.083  0000000  000.843  0000009
0530.53  000.008  0000000  000.083  0000001  000.858  0000016
0540.53  000.007  0000000  000.081  0000000  000.857  0000008
0550.55  000.007  0000000  000.080  0000000  000.859  0000010
0560.57  000.007  0000000  000.080  0000001  000.869  0000014
0570.57  000.007  0000000  000.082  0000002  000.885  0000018
0580.58  000.007  0000000  000.083  0000001  000.889  0000011
0590.60  000.007  0000000  000.081  0000000  000.902  0000017
0600.60  000.007  0000000  000.082  0000001  000.914  0000016
0610.60  000.007  0000000  000.080  0000000  000.919  0000012
0620.62  000.006  0000000  000.081  0000001  000.928  0000015
0630.63  000.006  0000000  000.081  0000001  000.948  0000022
0640.63  000.006  0000000  000.083  0000002  000.952  0000012
0650.65  000.009  0000002  000.083  0000001  000.959  0000014
0660.67  000.009  0000000  000.082  0000000  000.960  0000010
0670.67  000.009  0000000  000.081  0000000  000.962  0000011
0680.68  000.009  0000000  000.079  0000000  000.974  0000018
0690.70  000.010  0000001  000.078  0000000  000.970  0000007
0700.70  000.010  0000000  000.080  0000002  000.976  0000014
0710.70  000.010  0000000  000.082  0000002  000.979  0000012
0720.73  000.010  0000000  000.080  0000000  000.982  0000012
0730.73  000.010  0000000  000.081  0000001  000.992  0000017
0740.73  000.009  0000000  000.084  0000003  000.995  0000012
0750.75  000.009  0000000  000.083  0000000  000.994  0000009
0760.77  000.011  0000001  000.081  0000000  000.995  0000011
0770.77  000.010  0000000  000.080  0000000  000.994  0000009
0780.78  000.010  0000000  000.083  0000003  001.008  0000021
0790.80  000.010  0000000  000.083  0000001  001.023  0000022
0800.80  000.010  0000000  000.084  0000001  001.023  0000010
0810.80  000.010  0000000  000.083  0000000  001.019  0000007
0820.83  000.010  0000000  000.085  0000003  001.031  0000020
0830.83  000.010  0000000  000.084  0000000  001.035  0000014
0840.83  000.010  0000000  000.084  0000001  001.045  0000019
0850.87  000.009  0000000  000.085  0000001  001.054  0000018
0860.87  000.009  0000000  000.085  0000001  001.074  0000028
0870.87  000.009  0000000  000.085  0000001  001.078  0000014
0880.88  000.009  0000000  000.086  0000002  001.090  0000021
0890.90  000.009  0000000  000.088  0000002  001.105  0000024
0900.90  000.009  0000000  000.088  0000001  001.116  0000021
0910.90  000.009  0000000  000.088  0000001  001.133  0000027
0920.93  000.009  0000000  000.089  0000002  001.142  0000020
0930.93  000.009  0000000  000.088  0000000  001.149  0000018
0940.93  000.009  0000000  000.088  0000001  001.161  0000022
0950.97  000.008  0000000  000.090  0000003  001.163  0000014
0960.97  000.008  0000000  000.091  0000001  001.176  0000024
0970.97  000.008  0000000  000.094  0000004  001.184  0000020
0980.98  000.008  0000000  000.097  0000004  001.199  0000026
0991.00  000.008  0000000  000.097  0000001  001.206  0000019
1001.00  000.008  0000000  000.096  0000000  001.213  0000019
1011.00  000.008  0000000  000.097  0000002  001.225  0000024
1021.03  000.008  0000000  000.097  0000001  001.234  0000022
1031.03  000.008  0000000  000.096  0000000  001.243  0000022
1041.03  000.008  0000000  000.096  0000001  001.254  0000023
1051.07  000.008  0000000  000.095  0000000  001.255  0000014
1061.07  000.008  0000000  000.096  0000002  001.263  0000021
1071.07  000.007  0000000  000.095  0000000  001.262  0000012
1081.10  000.008  0000001  000.098  0000004  001.281  0000033
Group 3 Stopped 8/12/2019  09:30:39
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
1086.25  000.008  000009  000.098  000106  001.281  001391
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

