C:\Users\RaDeCC\Desktop\FRidge\3-saps009-3200B-180219-loki.txt
Start Time 2/19/2018  23:07:15
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.000  0000000  000.000  0000000  000.500  0000005
0020.00  000.000  0000000  000.150  0000003  000.700  0000009
0030.02  000.000  0000000  000.167  0000002  000.833  0000011
0040.03  000.025  0000001  000.125  0000000  000.949  0000013
0050.05  000.020  0000000  000.100  0000000  000.819  0000003
0060.05  000.017  0000000  000.083  0000000  000.766  0000005
0070.05  000.014  0000000  000.071  0000000  000.742  0000006
0080.08  000.012  0000000  000.062  0000000  000.724  0000006
0090.10  000.011  0000000  000.078  0000002  000.710  0000006
0100.08  000.010  0000000  000.110  0000004  000.739  0000010
0110.10  000.009  0000000  000.109  0000001  000.745  0000008
0120.12  000.008  0000000  000.100  0000000  000.708  0000003
0130.12  000.008  0000000  000.092  0000000  000.684  0000004
0140.13  000.007  0000000  000.086  0000000  000.692  0000008
0150.15  000.013  0000001  000.093  0000002  000.719  0000011
0160.17  000.012  0000000  000.094  0000001  000.724  0000008
0170.17  000.012  0000000  000.094  0000001  000.729  0000008
0180.18  000.011  0000000  000.094  0000001  000.744  0000010
0190.18  000.016  0000001  000.089  0000000  000.747  0000008
0200.20  000.015  0000000  000.090  0000001  000.744  0000007
0210.20  000.014  0000000  000.090  0000001  000.761  0000011
0220.22  000.014  0000000  000.091  0000001  000.777  0000011
0230.23  000.013  0000000  000.087  0000000  000.777  0000008
0240.23  000.017  0000001  000.087  0000001  000.799  0000013
0250.25  000.016  0000000  000.088  0000001  000.807  0000010
0260.27  000.015  0000000  000.100  0000004  000.864  0000023
0270.28  000.015  0000000  000.100  0000001  000.869  0000010
0280.28  000.014  0000000  000.096  0000000  000.874  0000010
0290.30  000.014  0000000  000.103  0000003  000.878  0000010
0300.30  000.013  0000000  000.103  0000001  000.869  0000006
0310.32  000.013  0000000  000.103  0000001  000.870  0000009
0320.33  000.012  0000000  000.100  0000000  000.883  0000013
0330.35  000.012  0000000  000.100  0000001  000.893  0000012
0340.33  000.012  0000000  000.097  0000000  000.905  0000013
0350.35  000.017  0000002  000.103  0000003  000.942  0000022
0360.37  000.017  0000000  000.100  0000000  000.946  0000011
0370.38  000.016  0000000  000.100  0000001  000.942  0000008
0380.38  000.016  0000000  000.097  0000000  000.957  0000015
0390.38  000.015  0000000  000.097  0000001  000.955  0000009
0400.40  000.015  0000000  000.097  0000001  000.957  0000010
0410.42  000.015  0000000  000.095  0000000  000.955  0000009
0420.43  000.014  0000000  000.093  0000000  000.978  0000019
0430.45  000.014  0000000  000.091  0000000  000.973  0000008
0440.45  000.014  0000000  000.089  0000000  000.976  0000011
0450.47  000.013  0000000  000.091  0000002  000.995  0000018
0460.48  000.013  0000000  000.089  0000000  000.986  0000006
0470.47  000.013  0000000  000.087  0000000  000.986  0000010
0480.48  000.012  0000000  000.087  0000001  001.003  0000018
0490.50  000.012  0000000  000.086  0000000  001.011  0000014
0500.52  000.012  0000000  000.084  0000000  001.025  0000017
0510.53  000.012  0000000  000.082  0000000  001.040  0000018
0520.53  000.012  0000000  000.085  0000002  001.060  0000021
0530.55  000.011  0000000  000.085  0000001  001.067  0000014
0540.55  000.011  0000000  000.083  0000000  001.064  0000009
0550.57  000.011  0000000  000.085  0000002  001.075  0000017
0560.58  000.011  0000000  000.087  0000002  001.085  0000016
0570.60  000.012  0000001  000.086  0000000  001.083  0000010
0580.60  000.012  0000000  000.084  0000000  001.080  0000009
0590.60  000.012  0000000  000.083  0000000  001.090  0000017
Group 3 Stopped 2/20/2018  09:04:37
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0597.37  000.012  000007  000.082  000049  001.088  000650
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

