C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3200B-180118-capn.txt
Start Time 1/18/2018  17:56:49
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.100  0000001  000.100  0000001  000.899  0000009
0020.02  000.050  0000000  000.100  0000001  000.849  0000008
0030.03  000.033  0000000  000.133  0000002  000.832  0000008
0040.03  000.025  0000000  000.125  0000001  000.924  0000012
0050.05  000.020  0000000  000.120  0000001  000.859  0000006
0060.07  000.017  0000000  000.117  0000001  000.866  0000009
0070.07  000.029  0000001  000.100  0000000  000.828  0000006
0080.08  000.025  0000000  000.112  0000002  000.837  0000009
0090.10  000.022  0000000  000.111  0000001  000.832  0000008
0100.12  000.020  0000000  000.100  0000000  000.789  0000004
0110.12  000.018  0000000  000.091  0000000  000.781  0000007
0120.12  000.017  0000000  000.092  0000001  000.799  0000010
0130.15  000.015  0000000  000.085  0000000  000.768  0000004
0140.15  000.014  0000000  000.086  0000001  000.756  0000006
0150.15  000.013  0000000  000.093  0000002  000.766  0000009
0160.17  000.012  0000000  000.094  0000001  000.768  0000008
0170.18  000.012  0000000  000.100  0000002  000.787  0000011
0180.18  000.011  0000000  000.100  0000001  000.777  0000006
0190.20  000.011  0000000  000.095  0000000  000.762  0000005
0200.20  000.010  0000000  000.090  0000000  000.769  0000009
0210.23  000.014  0000001  000.090  0000001  000.794  0000013
0220.25  000.014  0000000  000.095  0000002  000.831  0000016
0230.27  000.017  0000001  000.091  0000000  000.856  0000014
0240.25  000.017  0000000  000.092  0000001  000.878  0000014
0250.28  000.020  0000001  000.088  0000000  000.891  0000012
0260.27  000.023  0000001  000.096  0000003  000.934  0000020
0270.28  000.022  0000000  000.096  0000001  000.929  0000008
0280.30  000.021  0000000  000.096  0000001  000.928  0000009
0290.32  000.021  0000000  000.103  0000003  000.951  0000016
0300.32  000.020  0000000  000.107  0000002  000.976  0000017
0310.33  000.019  0000000  000.119  0000005  001.025  0000025
0320.33  000.019  0000000  000.122  0000002  001.052  0000019
0330.35  000.021  0000001  000.127  0000003  001.090  0000023
0340.37  000.021  0000000  000.123  0000000  001.090  0000011
0350.38  000.020  0000000  000.123  0000001  001.113  0000019
0360.40  000.019  0000000  000.122  0000001  001.113  0000011
0370.40  000.019  0000000  000.119  0000000  001.126  0000016
0380.40  000.018  0000000  000.118  0000001  001.128  0000012
0390.42  000.020  0000001  000.115  0000000  001.130  0000012
0400.43  000.020  0000000  000.115  0000001  001.126  0000010
0410.43  000.019  0000000  000.112  0000000  001.118  0000008
0420.45  000.019  0000000  000.114  0000002  001.134  0000018
0430.47  000.019  0000000  000.112  0000000  001.136  0000012
0440.48  000.018  0000000  000.114  0000002  001.135  0000011
0450.48  000.018  0000000  000.113  0000001  001.145  0000016
0460.48  000.017  0000000  000.111  0000000  001.164  0000020
0470.50  000.017  0000000  000.111  0000001  001.190  0000024
0480.52  000.017  0000000  000.110  0000001  001.195  0000014
0490.52  000.016  0000000  000.108  0000000  001.189  0000009
0500.53  000.016  0000000  000.106  0000000  001.183  0000009
0510.55  000.016  0000000  000.108  0000002  001.183  0000012
0520.57  000.015  0000000  000.111  0000003  001.187  0000014
0530.57  000.015  0000000  000.111  0000001  001.191  0000014
0540.57  000.015  0000000  000.113  0000002  001.195  0000014
0550.58  000.015  0000000  000.111  0000000  001.201  0000015
0560.60  000.014  0000000  000.111  0000001  001.204  0000014
0570.62  000.016  0000001  000.110  0000001  001.207  0000014
0580.63  000.016  0000000  000.110  0000001  001.212  0000015
0590.63  000.015  0000000  000.112  0000002  001.214  0000013
0600.63  000.015  0000000  000.113  0000002  001.212  0000011
Group 4 Stopped 1/19/2018  04:06:22
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0609.55  000.015  000009  000.113  000069  001.207  000736
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

