C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3600B-180514-thor.txt
Start Time 5/14/2018  08:51:16
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.100  0000001  001.400  0000014
0020.02  000.050  0000000  000.100  0000001  001.699  0000020
0030.02  000.067  0000001  000.200  0000004  001.966  0000025
0040.03  000.050  0000000  000.225  0000003  001.923  0000018
0050.03  000.040  0000000  000.220  0000002  001.939  0000020
0060.05  000.033  0000000  000.200  0000001  002.048  0000026
0070.05  000.043  0000001  000.214  0000003  002.027  0000019
0080.07  000.037  0000000  000.187  0000000  001.898  0000010
0090.08  000.044  0000001  000.200  0000003  001.887  0000018
0100.10  000.040  0000000  000.190  0000001  001.828  0000013
0110.10  000.045  0000001  000.200  0000003  001.898  0000026
0120.12  000.050  0000001  000.225  0000005  001.948  0000025
0130.12  000.046  0000000  000.223  0000002  001.983  0000024
0140.13  000.043  0000000  000.228  0000003  001.962  0000017
0150.15  000.040  0000000  000.253  0000006  001.991  0000024
0160.17  000.037  0000000  000.250  0000002  001.992  0000020
0170.17  000.035  0000000  000.264  0000005  001.986  0000019
0180.18  000.033  0000000  000.261  0000002  001.959  0000015
0190.18  000.032  0000000  000.258  0000002  001.972  0000022
0200.20  000.030  0000000  000.250  0000001  001.988  0000023
0210.20  000.029  0000000  000.247  0000002  002.012  0000025
0220.22  000.032  0000001  000.254  0000004  002.112  0000042
0230.22  000.030  0000000  000.252  0000002  002.154  0000031
0240.23  000.029  0000000  000.250  0000002  002.169  0000025
0250.25  000.028  0000000  000.252  0000003  002.206  0000031
0260.27  000.027  0000000  000.250  0000002  002.209  0000023
0270.27  000.026  0000000  000.252  0000003  002.261  0000036
0280.27  000.025  0000000  000.250  0000002  002.276  0000027
0290.28  000.028  0000001  000.262  0000006  002.325  0000037
0300.30  000.030  0000001  000.253  0000000  002.348  0000030
0310.32  000.032  0000001  000.248  0000001  002.388  0000036
0320.32  000.031  0000000  000.250  0000003  002.413  0000032
0330.33  000.030  0000000  000.245  0000001  002.467  0000042
0340.35  000.029  0000000  000.238  0000000  002.486  0000031
0350.35  000.031  0000001  000.237  0000002  002.512  0000034
0360.37  000.031  0000000  000.241  0000004  002.539  0000035
0370.37  000.030  0000000  000.235  0000000  002.535  0000024
0380.38  000.034  0000002  000.234  0000002  002.561  0000035
0390.40  000.033  0000000  000.233  0000002  002.574  0000031
0400.40  000.032  0000000  000.235  0000003  002.625  0000046
0410.40  000.034  0000001  000.234  0000002  002.627  0000027
0420.43  000.038  0000002  000.228  0000000  002.638  0000031
0430.43  000.037  0000000  000.223  0000000  002.665  0000038
0440.45  000.036  0000000  000.234  0000007  002.693  0000039
0450.45  000.036  0000000  000.238  0000004  002.728  0000043
0460.47  000.035  0000000  000.232  0000000  002.741  0000033
0470.48  000.034  0000000  000.232  0000002  002.763  0000038
0480.48  000.033  0000000  000.237  0000005  002.791  0000041
0490.50  000.037  0000002  000.239  0000003  002.830  0000047
0500.52  000.036  0000000  000.244  0000005  002.881  0000054
0510.52  000.037  0000001  000.245  0000003  002.921  0000049
0520.53  000.038  0000001  000.250  0000005  002.976  0000058
0530.53  000.038  0000000  000.251  0000003  003.008  0000047
0540.55  000.039  0000001  000.252  0000003  003.032  0000043
0550.55  000.040  0000001  000.254  0000004  003.059  0000045
0560.58  000.041  0000001  000.257  0000004  003.070  0000037
0570.58  000.040  0000000  000.259  0000004  003.067  0000029
0580.58  000.041  0000001  000.260  0000003  003.080  0000038
0590.60  000.041  0000000  000.262  0000004  003.119  0000054
Group 5 Stopped 5/14/2018  18:45:03
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0593.78  000.040  000024  000.266  000158  003.126  001856
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

