C:\Users\RaDeCC\Desktop\FRidge\4-saps009-3200B-180514-capn.txt
Start Time 5/14/2018  08:48:47
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.100  0000001  001.400  0000014
0020.02  000.050  0000000  000.100  0000001  000.999  0000006
0030.03  000.033  0000000  000.067  0000000  000.932  0000008
0040.03  000.025  0000000  000.100  0000002  000.949  0000010
0050.07  000.020  0000000  000.120  0000002  000.959  0000010
0060.07  000.017  0000000  000.117  0000001  000.932  0000008
0070.07  000.014  0000000  000.100  0000000  000.856  0000004
0080.08  000.012  0000000  000.087  0000000  000.862  0000009
0090.10  000.011  0000000  000.089  0000001  000.821  0000005
0100.10  000.010  0000000  000.080  0000000  000.799  0000006
0110.12  000.009  0000000  000.073  0000000  000.799  0000008
0120.13  000.008  0000000  000.075  0000001  000.816  0000010
0130.13  000.008  0000000  000.069  0000000  000.807  0000007
0140.15  000.007  0000000  000.078  0000002  000.792  0000006
0150.17  000.007  0000000  000.080  0000001  000.806  0000010
0160.17  000.006  0000000  000.075  0000000  000.799  0000007
0170.17  000.006  0000000  000.076  0000001  000.858  0000018
0180.18  000.006  0000000  000.072  0000000  000.860  0000009
0190.18  000.005  0000000  000.074  0000001  000.852  0000007
0200.20  000.005  0000000  000.070  0000000  000.844  0000007
0210.22  000.005  0000000  000.071  0000001  000.842  0000008
0220.23  000.005  0000000  000.073  0000001  000.858  0000012
0230.25  000.004  0000000  000.069  0000000  000.851  0000007
0240.25  000.004  0000000  000.067  0000000  000.832  0000004
0250.25  000.004  0000000  000.072  0000002  000.839  0000010
0260.28  000.008  0000001  000.069  0000000  000.838  0000008
0270.28  000.011  0000001  000.067  0000000  000.825  0000005
0280.30  000.011  0000000  000.068  0000001  000.846  0000014
0290.30  000.010  0000000  000.065  0000000  000.841  0000007
0300.32  000.010  0000000  000.067  0000001  000.849  0000011
0310.32  000.010  0000000  000.064  0000000  000.831  0000003
0320.33  000.012  0000001  000.066  0000001  000.830  0000008
0330.35  000.012  0000000  000.067  0000001  000.848  0000014
0340.35  000.012  0000000  000.068  0000001  000.864  0000014
0350.37  000.011  0000000  000.068  0000001  000.871  0000011
0360.37  000.011  0000000  000.067  0000000  000.866  0000007
0370.38  000.011  0000000  000.065  0000000  000.869  0000010
0380.40  000.011  0000000  000.074  0000004  000.891  0000017
0390.40  000.010  0000000  000.072  0000000  000.891  0000009
0400.42  000.010  0000000  000.075  0000002  000.897  0000011
0410.43  000.010  0000000  000.080  0000003  000.914  0000016
0420.43  000.012  0000001  000.081  0000001  000.930  0000016
0430.45  000.012  0000000  000.079  0000000  000.929  0000009
0440.45  000.011  0000000  000.082  0000002  000.944  0000016
0450.47  000.011  0000000  000.089  0000004  000.961  0000017
0460.47  000.011  0000000  000.087  0000000  000.969  0000013
0470.48  000.011  0000000  000.089  0000002  000.990  0000020
0480.50  000.010  0000000  000.092  0000002  000.989  0000009
0490.52  000.010  0000000  000.092  0000001  000.987  0000009
0500.52  000.010  0000000  000.094  0000002  001.013  0000023
0510.52  000.010  0000000  000.096  0000002  001.019  0000013
0520.55  000.010  0000000  000.094  0000000  001.022  0000012
0530.57  000.009  0000000  000.094  0000001  001.022  0000010
0540.57  000.009  0000000  000.094  0000001  001.016  0000007
0550.58  000.009  0000000  000.098  0000003  001.021  0000013
0560.58  000.012  0000002  000.098  0000001  001.033  0000017
0570.60  000.012  0000000  000.098  0000001  001.041  0000015
0580.60  000.012  0000000  000.098  0000001  001.051  0000016
0590.62  000.014  0000001  000.098  0000001  001.060  0000016
Group 4 Stopped 5/14/2018  18:45:06
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0596.32  000.013  000008  000.099  000059  001.056  000630
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

