C:\Documents and Settings\RaDeCC user 1\Desktop\ICY-LAB\fish-blank-170706.txt
Start Time 06/07/2017  23:30:10
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0009.98  000.000  0000000  000.000  0000000  000.701  0000007
0019.98  000.000  0000000  000.000  0000000  000.500  0000003
0029.98  000.000  0000000  000.000  0000000  000.434  0000003
0039.98  000.000  0000000  000.000  0000000  000.375  0000002
0049.98  000.000  0000000  000.000  0000000  000.360  0000003
0059.98  000.000  0000000  000.000  0000000  000.333  0000002
0069.98  000.000  0000000  000.000  0000000  000.329  0000003
0079.98  000.000  0000000  000.000  0000000  000.300  0000001
0089.98  000.000  0000000  000.011  0000001  000.333  0000006
0099.98  000.000  0000000  000.010  0000000  000.300  0000000
0109.98  000.000  0000000  000.009  0000000  000.282  0000001
0119.98  000.000  0000000  000.008  0000000  000.283  0000003
0129.98  000.000  0000000  000.008  0000000  000.269  0000001
0139.98  000.000  0000000  000.014  0000001  000.279  0000004
0149.98  000.000  0000000  000.013  0000000  000.287  0000004
0159.98  000.000  0000000  000.013  0000000  000.281  0000002
0169.98  000.000  0000000  000.012  0000000  000.282  0000003
0179.98  000.000  0000000  000.011  0000000  000.272  0000001
0189.98  000.000  0000000  000.011  0000000  000.268  0000002
0199.98  000.000  0000000  000.010  0000000  000.280  0000005
0209.98  000.000  0000000  000.010  0000000  000.281  0000003
0219.98  000.000  0000000  000.009  0000000  000.268  0000000
0229.98  000.000  0000000  000.009  0000000  000.265  0000002
0239.98  000.000  0000000  000.008  0000000  000.271  0000004
0249.98  000.000  0000000  000.008  0000000  000.268  0000002
0259.98  000.000  0000000  000.008  0000000  000.262  0000001
0269.98  000.000  0000000  000.007  0000000  000.252  0000000
0280.00  000.000  0000000  000.007  0000000  000.257  0000004
0290.00  000.000  0000000  000.007  0000000  000.252  0000001
0300.00  000.000  0000000  000.007  0000000  000.247  0000001
0310.00  000.000  0000000  000.006  0000000  000.245  0000002
0320.00  000.000  0000000  000.006  0000000  000.244  0000002
0330.00  000.000  0000000  000.006  0000000  000.248  0000004
0340.00  000.000  0000000  000.009  0000001  000.247  0000002
0350.00  000.000  0000000  000.009  0000000  000.243  0000001
0360.00  000.000  0000000  000.008  0000000  000.242  0000002
0370.00  000.000  0000000  000.008  0000000  000.238  0000001
0380.00  000.000  0000000  000.008  0000000  000.245  0000005
0390.00  000.000  0000000  000.008  0000000  000.249  0000004
0400.00  000.000  0000000  000.008  0000000  000.245  0000001
0410.00  000.000  0000000  000.007  0000000  000.246  0000003
0420.00  000.000  0000000  000.007  0000000  000.243  0000001
0430.00  000.000  0000000  000.007  0000000  000.242  0000002
0440.00  000.000  0000000  000.007  0000000  000.245  0000004
0450.00  000.000  0000000  000.007  0000000  000.247  0000003
0460.00  000.000  0000000  000.007  0000000  000.241  0000000
0470.00  000.000  0000000  000.006  0000000  000.236  0000000
0480.00  000.000  0000000  000.006  0000000  000.233  0000001
0490.00  000.000  0000000  000.006  0000000  000.229  0000000
0500.00  000.000  0000000  000.006  0000000  000.226  0000001
Group 1 Stopped 07/07/2017  07:58:31
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0508.35  000.000  000000  000.006  000003  000.226  000115
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

