C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3800A-180118-he.txt
Start Time 1/18/2018  05:54:21
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  001.100  0000011  000.500  0000005  004.000  0000040
0020.00  000.850  0000006  000.400  0000003  003.250  0000025
0030.03  000.866  0000009  000.599  0000010  003.496  0000040
0040.03  000.849  0000008  000.575  0000005  003.522  0000036
0050.05  000.899  0000011  000.659  0000010  003.776  0000048
0060.07  000.966  0000013  000.666  0000007  003.896  0000045
0070.07  000.971  0000010  000.628  0000004  003.925  0000041
0080.07  000.987  0000011  000.674  0000010  004.122  0000055
0090.08  000.921  0000004  000.677  0000007  004.030  0000033
0100.08  000.879  0000005  000.609  0000000  003.837  0000021
0110.10  000.899  0000011  000.599  0000005  003.878  0000043
0120.12  000.882  0000007  000.591  0000005  003.838  0000034
0130.12  000.876  0000008  000.599  0000007  003.912  0000048
0140.13  000.856  0000006  000.585  0000004  003.853  0000031
0150.13  000.833  0000005  000.553  0000001  003.730  0000020
0160.17  000.799  0000003  000.549  0000005  003.646  0000024
0170.17  000.799  0000008  000.547  0000005  003.643  0000036
0180.18  000.777  0000004  000.549  0000006  003.591  0000027
0190.18  000.773  0000007  000.552  0000006  003.570  0000032
0200.20  000.764  0000006  000.554  0000006  003.536  0000029
0210.20  000.766  0000008  000.552  0000005  003.516  0000031
0220.22  000.763  0000007  000.540  0000003  003.478  0000027
0230.23  000.764  0000008  000.539  0000005  003.479  0000035
0240.23  000.762  0000007  000.541  0000006  003.463  0000031
0250.25  000.747  0000004  000.551  0000008  003.477  0000038
0260.27  000.753  0000009  000.538  0000002  003.466  0000032
0270.27  000.747  0000006  000.555  0000010  003.489  0000041
0280.28  000.728  0000002  000.553  0000005  003.461  0000027
0290.28  000.744  0000012  000.548  0000004  003.483  0000041
0300.30  000.739  0000006  000.543  0000004  003.493  0000038
0310.32  000.732  0000005  000.554  0000009  003.493  0000035
0320.32  000.740  0000010  000.562  0000008  003.540  0000050
0330.33  000.742  0000008  000.563  0000006  003.545  0000037
0340.35  000.737  0000006  000.573  0000009  003.538  0000033
0350.37  000.742  0000009  000.568  0000004  003.545  0000038
0360.37  000.738  0000006  000.566  0000005  003.516  0000025
0370.38  000.734  0000006  000.559  0000003  003.510  0000033
0380.38  000.731  0000006  000.560  0000006  003.494  0000029
0390.40  000.730  0000007  000.556  0000004  003.494  0000035
0400.40  000.727  0000006  000.547  0000002  003.482  0000030
0410.42  000.719  0000004  000.553  0000008  003.487  0000037
0420.43  000.716  0000006  000.552  0000005  003.494  0000038
0430.45  000.713  0000006  000.553  0000006  003.487  0000032
0440.45  000.713  0000007  000.549  0000004  003.476  0000030
0450.47  000.706  0000004  000.542  0000002  003.441  0000019
0460.48  000.704  0000006  000.543  0000006  003.449  0000038
0470.50  000.695  0000003  000.538  0000003  003.420  0000021
0480.52  000.693  0000006  000.531  0000002  003.407  0000028
0490.53  000.687  0000004  000.532  0000006  003.404  0000033
0500.53  000.689  0000008  000.541  0000010  003.424  0000044
0510.55  000.689  0000007  000.537  0000003  003.420  0000032
0520.55  000.699  0000012  000.540  0000007  003.448  0000049
0530.57  000.695  0000005  000.537  0000004  003.442  0000031
0540.58  000.697  0000008  000.533  0000003  003.443  0000035
0550.58  000.699  0000008  000.536  0000007  003.464  0000046
0560.60  000.699  0000007  000.537  0000006  003.468  0000037
Group 1 Stopped 1/18/2018  15:24:27
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0570.10  000.705  000402  000.546  000311  003.492  001991
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

