C:\Users\RaDeCC\Desktop\FRidge\5-saps009-3200a-190812-loki.txt
Start Time 8/12/2019  18:19:51
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.02  000.000  0000000  000.300  0000003  001.098  0000011
0020.02  000.050  0000001  000.250  0000002  000.999  0000009
0030.02  000.033  0000000  000.300  0000004  000.966  0000009
0040.02  000.050  0000001  000.275  0000002  001.299  0000023
0050.05  000.060  0000001  000.300  0000004  001.319  0000014
0060.05  000.050  0000000  000.250  0000000  001.182  0000005
0070.05  000.043  0000000  000.271  0000004  001.199  0000013
0080.08  000.037  0000000  000.275  0000003  001.249  0000016
0090.08  000.033  0000000  000.300  0000005  001.343  0000021
0100.08  000.030  0000000  000.280  0000001  001.339  0000013
0110.12  000.027  0000000  000.282  0000003  001.371  0000017
0120.12  000.025  0000000  000.308  0000006  001.465  0000025
0130.12  000.023  0000000  000.292  0000001  001.460  0000014
0140.13  000.021  0000000  000.293  0000003  001.570  0000030
0150.15  000.020  0000000  000.280  0000001  001.578  0000017
0160.15  000.019  0000000  000.268  0000001  001.555  0000012
0170.15  000.018  0000000  000.264  0000002  001.563  0000017
0180.18  000.022  0000001  000.266  0000003  001.582  0000019
0190.18  000.021  0000000  000.268  0000003  001.625  0000024
0200.18  000.020  0000000  000.270  0000003  001.688  0000029
0210.22  000.024  0000001  000.271  0000003  001.760  0000032
0220.22  000.023  0000000  000.268  0000002  001.794  0000025
0230.22  000.026  0000001  000.261  0000001  001.803  0000020
0240.23  000.029  0000001  000.262  0000003  001.861  0000032
0250.25  000.028  0000000  000.264  0000003  001.902  0000029
0260.25  000.031  0000001  000.269  0000004  001.956  0000033
0270.25  000.030  0000000  000.289  0000008  001.991  0000029
0280.28  000.029  0000000  000.293  0000004  002.048  0000036
0290.28  000.028  0000000  000.286  0000001  002.070  0000027
0300.28  000.027  0000000  000.296  0000006  002.145  0000043
0310.32  000.026  0000000  000.290  0000001  002.172  0000030
0320.32  000.028  0000001  000.290  0000003  002.229  0000040
0330.32  000.030  0000001  000.297  0000005  002.286  0000041
0340.35  000.029  0000000  000.294  0000002  002.321  0000035
0350.35  000.029  0000000  000.294  0000003  002.335  0000028
0360.35  000.031  0000001  000.297  0000004  002.389  0000043
0370.35  000.030  0000000  000.292  0000001  002.414  0000033
0380.38  000.029  0000000  000.294  0000004  002.474  0000047
0390.38  000.033  0000002  000.297  0000004  002.513  0000040
0400.38  000.035  0000001  000.302  0000005  002.548  0000039
0410.42  000.034  0000000  000.309  0000006  002.551  0000027
0420.42  000.033  0000000  000.307  0000002  002.552  0000026
0430.42  000.033  0000000  000.311  0000005  002.581  0000038
0440.45  000.032  0000000  000.320  0000007  002.611  0000039
0450.45  000.031  0000000  000.320  0000003  002.684  0000059
0460.45  000.030  0000000  000.321  0000004  002.734  0000050
0470.45  000.030  0000000  000.319  0000002  002.765  0000042
0480.48  000.029  0000000  000.318  0000003  002.799  0000044
0490.48  000.029  0000000  000.318  0000003  002.854  0000055
0500.48  000.030  0000001  000.322  0000005  002.905  0000054
0510.52  000.029  0000000  000.325  0000005  002.960  0000057
0520.52  000.033  0000002  000.327  0000004  003.018  0000060
0530.52  000.032  0000000  000.330  0000005  003.078  0000062
0540.55  000.031  0000000  000.333  0000005  003.108  0000047
0550.55  000.031  0000000  000.343  0000009  003.151  0000055
0560.55  000.030  0000000  000.341  0000002  003.175  0000045
0570.57  000.032  0000001  000.342  0000004  003.230  0000063
0580.58  000.031  0000000  000.346  0000006  003.276  0000059
0590.58  000.034  0000002  000.357  0000010  003.315  0000056
0600.58  000.033  0000000  000.365  0000008  003.353  0000056
0610.62  000.036  0000002  000.367  0000005  003.400  0000062
0620.62  000.035  0000000  000.369  0000005  003.440  0000059
0630.62  000.038  0000002  000.371  0000005  003.489  0000065
