C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3600A-180118-iron.txt
Start Time 1/18/2018  06:05:19
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.700  0000007  000.400  0000004  004.800  0000048
0020.00  000.900  0000011  000.500  0000006  004.850  0000049
0030.02  000.766  0000005  000.700  0000011  005.031  0000054
0040.03  000.799  0000009  000.674  0000006  004.946  0000047
0050.05  000.819  0000009  000.619  0000004  004.635  0000034
0060.05  000.783  0000006  000.649  0000008  004.563  0000042
0070.07  000.756  0000006  000.614  0000004  004.624  0000050
0080.07  000.762  0000008  000.612  0000006  004.659  0000049
0090.08  000.788  0000010  000.666  0000011  004.707  0000051
0100.08  000.799  0000009  000.669  0000007  004.756  0000052
0110.10  000.772  0000005  000.672  0000007  004.759  0000048
0120.10  000.741  0000004  000.691  0000009  004.838  0000057
0130.12  000.722  0000005  000.699  0000008  004.896  0000056
0140.13  000.728  0000008  000.728  0000011  005.031  0000068
0150.15  000.719  0000006  000.746  0000010  005.175  0000072
0160.15  000.706  0000005  000.737  0000006  005.189  0000054
0170.17  000.752  0000015  000.746  0000009  005.330  0000076
0180.18  000.760  0000009  000.755  0000009  005.389  0000064
0190.18  000.747  0000005  000.736  0000004  005.426  0000061
0200.20  000.754  0000009  000.744  0000009  005.504  0000070
0210.20  000.761  0000009  000.742  0000007  005.542  0000063
0220.22  000.763  0000008  000.745  0000008  005.644  0000078
0230.23  000.760  0000007  000.777  0000015  005.764  0000084
0240.23  000.758  0000007  000.787  0000010  005.824  0000072
0250.25  000.755  0000007  000.787  0000008  005.878  0000072
0260.27  000.761  0000009  000.799  0000011  005.967  0000082
0270.27  000.777  0000012  000.818  0000013  006.042  0000080
0280.28  000.796  0000013  000.821  0000009  006.094  0000075
0290.28  000.803  0000010  000.830  0000011  006.184  0000087
0300.30  000.806  0000009  000.839  0000011  006.240  0000079
0310.32  000.796  0000005  000.835  0000007  006.245  0000064
0320.32  000.815  0000014  000.846  0000012  006.359  0000099
0330.33  000.820  0000010  000.860  0000013  006.421  0000084
0340.35  000.805  0000003  000.884  0000017  006.464  0000079
0350.37  000.802  0000007  000.893  0000012  006.559  0000098
0360.35  000.819  0000014  000.907  0000014  006.655  0000100
0370.37  000.824  0000010  000.926  0000016  006.739  0000098
0380.38  000.820  0000007  000.936  0000013  006.759  0000075
0390.40  000.809  0000004  000.943  0000012  006.837  0000098
0400.40  000.817  0000011  000.942  0000009  006.921  0000102
0410.42  000.811  0000006  000.936  0000007  006.920  0000069
0420.43  000.818  0000011  000.944  0000013  006.988  0000098
0430.43  000.815  0000007  000.950  0000012  007.021  0000084
0440.43  000.817  0000009  000.940  0000005  007.034  0000076
0450.45  000.833  0000015  000.968  0000022  007.126  0000112
0460.47  000.832  0000008  000.971  0000011  007.206  0000108
0470.48  000.840  0000012  000.978  0000013  007.261  0000098
0480.48  000.835  0000006  000.984  0000013  007.307  0000095
0490.50  000.832  0000007  000.993  0000014  007.388  0000113
0500.52  000.821  0000003  000.989  0000008  007.398  0000079
0510.53  000.813  0000004  000.989  0000010  007.441  0000096
0520.53  000.815  0000009  001.011  0000021  007.504  0000107
0530.55  000.809  0000005  001.012  0000011  007.522  0000085
0540.57  000.803  0000005  001.012  0000010  007.559  0000095
0550.57  000.803  0000008  001.015  0000012  007.590  0000093
Group 6 Stopped 1/18/2018  15:24:35
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0559.27  000.797  000446  001.032  000577  007.644  004275
System Number 6
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

