C:\Users\RaDeCC\Desktop\FRidge\1-Saps09-3400B-180118-thor.txt
Start Time 1/18/2018  17:58:58
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0010.00  000.100  0000001  000.200  0000002  001.200  0000012
0020.02  000.050  0000000  000.150  0000001  000.699  0000002
0030.02  000.033  0000000  000.133  0000001  000.833  0000011
0040.03  000.050  0000001  000.125  0000001  000.974  0000014
0050.05  000.040  0000000  000.120  0000001  001.079  0000015
0060.05  000.033  0000000  000.117  0000001  001.132  0000014
0070.07  000.043  0000001  000.100  0000000  001.156  0000013
0080.07  000.050  0000001  000.100  0000001  001.112  0000008
0090.08  000.044  0000000  000.100  0000001  001.154  0000015
0100.12  000.040  0000000  000.090  0000000  001.119  0000008
0110.12  000.036  0000000  000.091  0000001  001.099  0000009
0120.12  000.033  0000000  000.092  0000001  001.074  0000008
0130.15  000.031  0000000  000.100  0000002  001.083  0000012
0140.15  000.029  0000000  000.107  0000002  001.127  0000017
0150.17  000.027  0000000  000.107  0000001  001.119  0000010
0160.17  000.025  0000000  000.100  0000000  001.093  0000007
0170.18  000.024  0000000  000.100  0000001  001.105  0000013
0180.20  000.022  0000000  000.100  0000001  001.104  0000011
0190.20  000.032  0000002  000.100  0000001  001.157  0000021
0200.20  000.030  0000000  000.095  0000000  001.139  0000008
0210.23  000.029  0000000  000.090  0000000  001.132  0000010
0220.23  000.027  0000000  000.095  0000002  001.167  0000019
0230.23  000.026  0000000  000.096  0000001  001.199  0000019
0240.25  000.025  0000000  000.092  0000000  001.182  0000008
0250.27  000.024  0000000  000.088  0000000  001.183  0000012
0260.27  000.027  0000001  000.088  0000001  001.218  0000021
0270.28  000.026  0000000  000.085  0000000  001.228  0000015
0280.28  000.029  0000001  000.093  0000003  001.277  0000026
0290.30  000.028  0000000  000.093  0000001  001.302  0000020
0300.32  000.030  0000001  000.093  0000001  001.319  0000018
0310.32  000.032  0000001  000.090  0000000  001.328  0000016
0320.33  000.031  0000000  000.087  0000000  001.361  0000024
0330.35  000.030  0000000  000.088  0000001  001.353  0000011
0340.35  000.029  0000000  000.088  0000001  001.343  0000010
0350.37  000.037  0000003  000.097  0000004  001.384  0000028
0360.38  000.036  0000000  000.094  0000000  001.382  0000013
0370.38  000.035  0000000  000.097  0000002  001.393  0000018
0380.40  000.034  0000000  000.103  0000003  001.399  0000016
0390.40  000.038  0000002  000.105  0000002  001.411  0000019
0400.42  000.040  0000001  000.105  0000001  001.416  0000016
0410.43  000.039  0000000  000.105  0000001  001.413  0000013
0420.45  000.040  0000001  000.107  0000002  001.429  0000021
0430.47  000.039  0000000  000.107  0000001  001.422  0000011
0440.45  000.039  0000000  000.111  0000003  001.455  0000029
0450.47  000.040  0000001  000.113  0000002  001.454  0000014
0460.48  000.039  0000000  000.111  0000000  001.444  0000010
0470.50  000.040  0000001  000.111  0000001  001.456  0000020
0480.52  000.040  0000000  000.110  0000001  001.457  0000015
0490.52  000.041  0000001  000.116  0000004  001.494  0000033
0500.53  000.042  0000001  000.114  0000000  001.494  0000015
0510.55  000.043  0000001  000.114  0000001  001.496  0000016
0520.53  000.042  0000000  000.111  0000000  001.491  0000012
0530.55  000.041  0000000  000.111  0000001  001.504  0000022
0540.57  000.041  0000000  000.113  0000002  001.517  0000022
0550.58  000.040  0000000  000.113  0000001  001.533  0000024
0560.60  000.039  0000000  000.111  0000000  001.525  0000011
0570.60  000.039  0000000  000.110  0000001  001.535  0000021
0580.62  000.038  0000000  000.112  0000002  001.541  0000019
0590.62  000.039  0000001  000.113  0000002  001.548  0000019
0600.63  000.040  0000001  000.115  0000002  001.558  0000022
Group 5 Stopped 1/19/2018  04:06:24
 
Count Summary
C:\RaDeCC\Data\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0607.43  000.041  000025  000.114  000069  001.571  000954
System Number 5
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

